Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2806,-1_health_people_amp_care,"[('health', 0.003877090525308153), ('people', 0.0030808966749973376), ('amp', 0.002820729220547189), ('care', 0.0027887445003307297), ('dont', 0.0027416176964374737), ('covid19', 0.002652830398060444), ('covid', 0.0025875660447098065), ('india', 0.0022621200450144807), ('one', 0.002207255467518912), ('need', 0.0021630839075659435)]",negative,"['health', 'people', 'amp', 'care', 'dont', 'covid', 'covid', 'india', 'one', 'need ']"
1,0,2090,0_mental_mental health_health_people,"[('mental', 0.006044360120074793), ('mental health', 0.0058399173198930504), ('health', 0.004952323453799196), ('people', 0.0036938176634912375), ('nurse', 0.0035543165457106807), ('covid19', 0.0030648622294622875), ('nurses', 0.003043389421611011), ('qatar', 0.002692602064345609), ('amp', 0.0026868592429035304), ('one', 0.002476320425708675)]",negative,"['mental', 'mental health', 'health', 'people', 'nurse', 'covid', 'nurses', 'qatar', 'amp', 'one ']"
2,1,433,1_vaccine_vaccines_vaccinated_covid19 vaccine,"[('vaccine', 0.02622687085466615), ('vaccines', 0.011128072635302348), ('vaccinated', 0.008552726913795055), ('covid19 vaccine', 0.008360239721221267), ('doses', 0.00802519491129484), ('vaccination', 0.0072006913369061345), ('dose', 0.006228453511206959), ('chinese', 0.004944686981512349), ('covid', 0.0045149006637957255), ('trial', 0.004423244763207046)]",negative,"['vaccine', 'vaccines', 'vaccinated', 'covid vaccine', 'doses', 'vaccination', 'dose', 'chinese', 'covid', 'trial ']"
3,2,179,2_mask_masks_wearing_wear,"[('mask', 0.03710322016766411), ('masks', 0.02084015515259927), ('wearing', 0.018694653452200664), ('wear', 0.01802448897225591), ('wear mask', 0.013577956289457457), ('face', 0.013205059391987154), ('wearing mask', 0.012218555493434603), ('face mask', 0.008798667679161442), ('n95', 0.007445675097481441), ('face masks', 0.006382007226412664)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'face', 'wearing mask', 'face mask', 'n', 'face masks ']"
4,3,107,3_smoking_tobacco_quit_quit smoking,"[('smoking', 0.046462963432587774), ('tobacco', 0.04520159586896857), ('quit', 0.020549260626584912), ('quit smoking', 0.016853957264759856), ('cigarettes', 0.012935372897767777), ('say tobacco', 0.012113753664549008), ('worldnotobaccoday', 0.011277127047130391), ('tobacco day', 0.010424114693022467), ('lungs', 0.009902063691715866), ('tobacco kills', 0.009553061298879083)]",negative,"['smoking', 'tobacco', 'quit', 'quit smoking', 'cigarettes', 'say tobacco', 'worldnotobaccoday', 'tobacco day', 'lungs', 'tobacco kills ']"
5,4,107,4_ministry health recorded_health recorded coronavirus_coronavirus cases sultanate_recorded coronavirus cases,"[('ministry health recorded', 0.07228261946183943), ('health recorded coronavirus', 0.07228261946183943), ('coronavirus cases sultanate', 0.07228261946183943), ('recorded coronavirus cases', 0.07228261946183943), ('health recorded', 0.07228261946183943), ('recorded coronavirus', 0.07228261946183943), ('cases sultanate', 0.07030336382029582), ('recorded', 0.0650653635872934), ('oman', 0.06457982581107423), ('latest update ministry', 0.06299908270354375)]",negative,"['ministry health recorded', 'health recorded coronavirus', 'coronavirus cases sultanate', 'recorded coronavirus cases', 'health recorded', 'recorded coronavirus', 'cases sultanate', 'recorded', 'oman', 'latest update ministry ']"
6,5,105,5_passengers_airlines_flights_measures,"[('passengers', 0.020338622964567506), ('airlines', 0.013895825135303729), ('flights', 0.013395702167631484), ('measures', 0.010375384402920957), ('quarantine', 0.010373072162354629), ('workforce', 0.00878237099297826), ('airline', 0.00870564565175106), ('arriving', 0.008659414941398845), ('singapore', 0.008310748115060117), ('air', 0.008303006109856475)]",negative,"['passengers', 'airlines', 'flights', 'measures', 'quarantine', 'workforce', 'airline', 'arriving', 'singapore', 'air ']"
7,6,99,6_reached_cases_reported today_saudiarabia ministry health,"[('reached', 0.06041841464737002), ('cases', 0.05255311888200798), ('reported today', 0.03941496210241859), ('saudiarabia ministry health', 0.0381285593936223), ('cases novel', 0.0381285593936223), ('saudiarabia ministry', 0.0381285593936223), ('cases novel coronavirus', 0.0381285593936223), ('health reported today', 0.0381285593936223), ('new cases novel', 0.0381285593936223), ('cases kingdom', 0.03780362915737784)]",negative,"['reached', 'cases', 'reported today', 'saudiarabia ministry health', 'cases novel', 'saudiarabia ministry', 'cases novel coronavirus', 'health reported today', 'new cases novel', 'cases kingdom ']"
8,7,87,7_dubai_uae_dubai uae_arab health,"[('dubai', 0.028298591415556733), ('uae', 0.018184554042113412), ('dubai uae', 0.01810802999907646), ('arab health', 0.01544488962756691), ('arabhealth', 0.014872238612022593), ('arabhealth2020', 0.013915268066098241), ('booth', 0.01294091269962832), ('arab', 0.012735601957329054), ('hall', 0.012584201902480656), ('arab health 2020', 0.012148255336164966)]",negative,"['dubai', 'uae', 'dubai uae', 'arab health', 'arabhealth', 'arabhealth', 'booth', 'arab', 'hall', 'arab health', '']"
9,8,85,8_positive_test_negative_testing,"[('positive', 0.02379859950808623), ('test', 0.023678203487817732), ('negative', 0.021468854203489054), ('testing', 0.019750834922169707), ('positive covid19', 0.01469104723238316), ('covid19 negative', 0.014178379463498637), ('testing positive', 0.013973338191110143), ('tested', 0.013778678432106598), ('testing positive covid19', 0.013547754597876145), ('miss', 0.01066614524810929)]",negative,"['positive', 'test', 'negative', 'testing', 'positive covid', 'covid negative', 'testing positive', 'tested', 'testing positive covid', 'miss ']"
10,9,84,9_protest_farmers_protests_workers farmers,"[('protest', 0.045981107123558344), ('farmers', 0.018369449662424008), ('protests', 0.0155477680093741), ('workers farmers', 0.006954382735824912), ('public property', 0.006954382735824912), ('govt', 0.0068686195890937185), ('property', 0.006492925186842412), ('destroying', 0.005846052344004497), ('peaceful', 0.005771920909669115), ('see', 0.0056575890906207325)]",negative,"['protest', 'farmers', 'protests', 'workers farmers', 'public property', 'govt', 'property', 'destroying', 'peaceful', 'see ']"
11,10,82,10_oman total_oman total cases_cases oman total_total cases country,"[('oman total', 0.046441426633275947), ('oman total cases', 0.046441426633275947), ('cases oman total', 0.046441426633275947), ('total cases country', 0.04600631274355318), ('according moh', 0.04600631274355318), ('cases country touched', 0.04600631274355318), ('country touched', 0.04600631274355318), ('ministry health registered', 0.04572471344368698), ('health registered', 0.04572471344368698), ('touched', 0.04572471344368698)]",negative,"['oman total', 'oman total cases', 'cases oman total', 'total cases country', 'according moh', 'cases country touched', 'country touched', 'ministry health registered', 'health registered', 'touched ']"
12,11,81,11_key messages_key messages ministry_conference covid19_public healths,"[('key messages', 0.021089366944181606), ('key messages ministry', 0.021089366944181606), ('conference covid19', 0.021089366944181606), ('public healths', 0.021089366944181606), ('healths press conference', 0.021089366944181606), ('ministry public healths', 0.021089366944181606), ('public healths press', 0.021089366944181606), ('messages ministry public', 0.021089366944181606), ('messages ministry', 0.021089366944181606), ('healths press', 0.021089366944181606)]",negative,"['key messages', 'key messages ministry', 'conference covid', 'public healths', 'healths press conference', 'ministry public healths', 'public healths press', 'messages ministry public', 'messages ministry', 'healths press ']"
13,12,79,12_nigeria_nigerian_newsbits_lagos,"[('nigeria', 0.03977765311210769), ('nigerian', 0.023422926320285288), ('newsbits', 0.012932832653245623), ('lagos', 0.008834557637619403), ('nigerians', 0.008715804291266572), ('case', 0.00862188843549708), ('nigerian govt', 0.008599262258765191), ('nigerian government', 0.0075564719738208715), ('newsbits nigeria', 0.007370796221798736), ('covid19 newsbits', 0.007370796221798736)]",negative,"['nigeria', 'nigerian', 'newsbits', 'lagos', 'nigerians', 'case', 'nigerian govt', 'nigerian government', 'newsbits nigeria', 'covid newsbits ']"
14,13,69,13_schools_students_education_colleges,"[('schools', 0.02355162857426103), ('students', 0.011931433667107885), ('education', 0.01128571862414428), ('colleges', 0.009530509118187078), ('teachers', 0.008974226843240065), ('lockdown imposed', 0.008151740924883582), ('etc etc', 0.007951438372083662), ('classes', 0.0077656064493263465), ('school', 0.007763667587088935), ('imposed', 0.007147881838640308)]",negative,"['schools', 'students', 'education', 'colleges', 'teachers', 'lockdown imposed', 'etc etc', 'classes', 'school', 'imposed ']"
15,14,63,14_nasser_alyamani_mohammed_imam,"[('nasser', 0.05336644333129458), ('alyamani', 0.05130112850799934), ('mohammed', 0.0507645514635498), ('imam', 0.0501753162062623), ('nasser mohammed', 0.04972263224621474), ('nasser mohammed alyamani', 0.04930935640992892), ('mohammed alyamani', 0.04930935640992892), ('allaah', 0.03626442964626261), ('mahdi', 0.03159775679323954), ('imam mahdi', 0.03159775679323954)]",negative,"['nasser', 'alyamani', 'mohammed', 'imam', 'nasser mohammed', 'nasser mohammed alyamani', 'mohammed alyamani', 'allaah', 'mahdi', 'imam mahdi ']"
16,15,62,15_dental_dentist_periodontology periodontist dentist_implants dental periodontology,"[('dental', 0.06694586313774402), ('dentist', 0.0572798376841231), ('periodontology periodontist dentist', 0.054909639545095194), ('implants dental periodontology', 0.054909639545095194), ('implants dental', 0.054909639545095194), ('implants', 0.054909639545095194), ('periodontist', 0.054909639545095194), ('periodontist dentist', 0.054909639545095194), ('periodontist dentist dubaidentist', 0.054909639545095194), ('periodontology', 0.054909639545095194)]",negative,"['dental', 'dentist', 'periodontology periodontist dentist', 'implants dental periodontology', 'implants dental', 'implants', 'periodontist', 'periodontist dentist', 'periodontist dentist dubaidentist', 'periodontology ']"
17,16,60,16_fitness_fit_gym_training,"[('fitness', 0.05063255091200243), ('fit', 0.03473274293012134), ('gym', 0.03138711818296483), ('training', 0.029471027034910734), ('fitfam', 0.02914266421071129), ('workout', 0.02662215352353409), ('workout fit', 0.024580244966131346), ('bodybuilding', 0.024580244966131346), ('gym workout fit', 0.024580244966131346), ('gym workout', 0.024580244966131346)]",negative,"['fitness', 'fit', 'gym', 'training', 'fitfam', 'workout', 'workout fit', 'bodybuilding', 'gym workout fit', 'gym workout ']"
18,17,59,17_stay_stay home_home_home stay safe,"[('stay', 0.028383215016437573), ('stay home', 0.024247226920636824), ('home', 0.02040186642123827), ('home stay safe', 0.018286424391664342), ('stay home stay', 0.01767268447028355), ('home stay', 0.01767268447028355), ('eat healthy', 0.015916414840228755), ('safe', 0.014427707561693455), ('stay safe', 0.013821154734715284), ('stayhome', 0.011996789571401658)]",negative,"['stay', 'stay home', 'home', 'home stay safe', 'stay home stay', 'home stay', 'eat healthy', 'safe', 'stay safe', 'stayhome ']"
19,18,57,18_lockdown_service providers_difficult_providers,"[('lockdown', 0.02540480412564938), ('service providers', 0.015094446394069542), ('difficult', 0.014517213359110269), ('providers', 0.012919160049570702), ('bts', 0.012021072184567428), ('lock', 0.011118922559737662), ('service', 0.008859969939008405), ('residents nurses', 0.00874719841958276), ('concern security service', 0.00874719841958276), ('care concern security', 0.00874719841958276)]",negative,"['lockdown', 'service providers', 'difficult', 'providers', 'bts', 'lock', 'service', 'residents nurses', 'concern security service', 'care concern security ']"
20,19,54,19_stayhome_quarantine_socialdistancing_keepsafe,"[('stayhome', 0.022289971662138305), ('quarantine', 0.02039769487222706), ('socialdistancing', 0.018671617307586593), ('keepsafe', 0.017640432617549596), ('stayhealthy', 0.01629163165612428), ('covid19 quarantine', 0.015779598629871456), ('staypositive', 0.014176588185143257), ('besafe', 0.013525370254175533), ('behappy', 0.013230324463162196), ('lgbtq', 0.01297015852981811)]",negative,"['stayhome', 'quarantine', 'socialdistancing', 'keepsafe', 'stayhealthy', 'covid quarantine', 'staypositive', 'besafe', 'behappy', 'lgbtq ']"
21,20,53,20_doctor_vs_follow_doctors,"[('doctor', 0.016472925823905183), ('vs', 0.014324691933548314), ('follow', 0.014016742219902158), ('doctors', 0.01282513354498166), ('currently', 0.012785549043327167), ('sorry', 0.012292401416512198), ('covid19', 0.012214178197924733), ('completely follow', 0.012107838684327089), ('covid19 ngha sorry', 0.012107838684327089), ('completely follow lockdown', 0.012107838684327089)]",negative,"['doctor', 'vs', 'follow', 'doctors', 'currently', 'sorry', 'covid', 'completely follow', 'covid ngha sorry', 'completely follow lockdown ']"
22,21,50,21_air travel_air_travel_health protection measures,"[('air travel', 0.052037553686453686), ('air', 0.04858041099643454), ('travel', 0.04193139619506804), ('health protection measures', 0.027168739234927596), ('protection measures', 0.027168739234927596), ('uk', 0.02676434801017988), ('health protection', 0.026656448429060932), ('measures', 0.025758530748941293), ('protection', 0.023283990813034797), ('holiday', 0.019642382489973725)]",negative,"['air travel', 'air', 'travel', 'health protection measures', 'protection measures', 'uk', 'health protection', 'measures', 'protection', 'holiday ']"
