Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,979,-1_health_italy_covid19_amp,"[('health', 0.008671199366421039), ('italy', 0.00468635046418294), ('covid19', 0.004430980450095777), ('amp', 0.003866168686311604), ('world', 0.003505240702415948), ('care', 0.0034222202630003916), ('people', 0.0033205718745197713), ('coronavirus', 0.0032215120715955235), ('us', 0.003138230449963007), ('rome', 0.0031321419679530616)]",positive,"['health', 'italy', 'covid', 'amp', 'world', 'care', 'people', 'coronavirus', 'us', 'rome ']"
1,0,427,0_italy_covid19_good_coronavirus,"[('italy', 0.016939081652793567), ('covid19', 0.013947511769533948), ('good', 0.01056967176807221), ('coronavirus', 0.009497264107156877), ('good morning', 0.006922311537996554), ('covid', 0.0068921698603446055), ('italian', 0.0066747417220241545), ('morning', 0.006415987195684289), ('health', 0.006250022795760955), ('stay', 0.005617086299647863)]",positive,"['italy', 'covid', 'good', 'coronavirus', 'good morning', 'covid', 'italian', 'morning', 'health', 'stay ']"
2,1,410,1_care safe_take care safe_care safe important_safe important,"[('care safe', 0.08257944608837718), ('take care safe', 0.08256664039976082), ('care safe important', 0.06371960411410049), ('safe important', 0.060605697140063836), ('take care', 0.058556827325265993), ('take', 0.05708660611582765), ('safe', 0.054562834791239634), ('care', 0.052813110270068055), ('important', 0.05071840430356959), ('safe important take', 0.0435037350961429)]",positive,"['care safe', 'take care safe', 'care safe important', 'safe important', 'take care', 'take', 'safe', 'care', 'important', 'safe important take ']"
3,2,236,2_fun_ciao_fun sun_sun safe,"[('fun', 0.05094839794562067), ('ciao', 0.046305475600801435), ('fun sun', 0.045794227715494656), ('sun safe', 0.04536041184205112), ('sun', 0.04533861270964799), ('fun sun safe', 0.04509585549018162), ('beauty', 0.044832175152326945), ('mrnelson1963', 0.040545460063267154), ('lovely', 0.037294767476928864), ('take care', 0.03693084226535875)]",positive,"['fun', 'ciao', 'fun sun', 'sun safe', 'sun', 'fun sun safe', 'beauty', 'mrnelson', 'lovely', 'take care ']"
4,3,219,3_food_food safety_worldfoodsafetyday_health,"[('food', 0.04162711915019825), ('food safety', 0.017184148456504886), ('worldfoodsafetyday', 0.017034781325845728), ('health', 0.013454846410351287), ('healthy', 0.012685974023679622), ('amp', 0.01111070854700424), ('safety', 0.010424857799049283), ('better health', 0.009379777913122379), ('world food', 0.009305173246611906), ('world food safety', 0.009305173246611906)]",positive,"['food', 'food safety', 'worldfoodsafetyday', 'health', 'healthy', 'amp', 'safety', 'better health', 'world food', 'world food safety ']"
5,4,207,4_vaccine_vaccines_covid19_vaccinated,"[('vaccine', 0.026498794936864835), ('vaccines', 0.01406294865056015), ('covid19', 0.010885337851159482), ('vaccinated', 0.009172338165915762), ('vaccination', 0.008721888845643707), ('access', 0.00749982249009276), ('medicines', 0.007023746009786154), ('covid', 0.006413792704753393), ('positive', 0.006405562904492751), ('covid19 vaccine', 0.006392732895913165)]",positive,"['vaccine', 'vaccines', 'covid', 'vaccinated', 'vaccination', 'access', 'medicines', 'covid', 'positive', 'covid vaccine ']"
6,5,125,5_tourism_lariccia_nelson lariccia_nelson,"[('tourism', 0.030070638292225234), ('lariccia', 0.02708019953332298), ('nelson lariccia', 0.02516148936061449), ('nelson', 0.02508869248926595), ('facebook', 0.024597983203469505), ('facebook nelson lariccia', 0.02449288584690548), ('facebook nelson', 0.024420992380059393), ('tourism industry', 0.022105709987876067), ('safety', 0.02157594114301631), ('industry', 0.021052798874883292)]",positive,"['tourism', 'lariccia', 'nelson lariccia', 'nelson', 'facebook', 'facebook nelson lariccia', 'facebook nelson', 'tourism industry', 'safety', 'industry ']"
7,6,121,6_healthcare_digital_health_innovation,"[('healthcare', 0.025444570513536446), ('digital', 0.014606471461058599), ('health', 0.013676388743602648), ('innovation', 0.011962025783143084), ('health care', 0.011805565284537781), ('system', 0.010858646722926172), ('hospitals', 0.008745104569576648), ('could', 0.007157875325496628), ('digitalhealth', 0.00704384265843635), ('digital health', 0.0066161101825229895)]",positive,"['healthcare', 'digital', 'health', 'innovation', 'health care', 'system', 'hospitals', 'could', 'digitalhealth', 'digital health ']"
8,7,95,7_mental_mental health_health_selfcare,"[('mental', 0.07014994703598249), ('mental health', 0.06821018632598504), ('health', 0.025067723288522303), ('selfcare', 0.015256359838797019), ('health mental health', 0.009937425708541212), ('health mental', 0.009937425708541212), ('mental health mental', 0.009937425708541212), ('stress', 0.008427738399239805), ('im', 0.00779212428277167), ('get', 0.007378998519014689)]",positive,"['mental', 'mental health', 'health', 'selfcare', 'health mental health', 'health mental', 'mental health mental', 'stress', 'im', 'get ']"
9,8,93,8_nurse_nurses_nursing_doctors,"[('nurse', 0.046396522440853225), ('nurses', 0.03133498334231518), ('nursing', 0.021938944953614807), ('doctors', 0.013904804840891993), ('doctors nurses', 0.013167232237816982), ('conference', 0.010236864702344863), ('italian nurses', 0.01013869002668888), ('abstract', 0.01013869002668888), ('edition', 0.009119133837062228), ('healthcare', 0.009083916635350457)]",positive,"['nurse', 'nurses', 'nursing', 'doctors', 'doctors nurses', 'conference', 'italian nurses', 'abstract', 'edition', 'healthcare ']"
