Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,8876,-1_health_mental_mental health_amp,"[('health', 0.0029561329256019065), ('mental', 0.0026727697185978025), ('mental health', 0.0025774373031607076), ('amp', 0.002459530127579691), ('care', 0.0022646991341929673), ('healthcare', 0.00203700263730842), ('covid19', 0.0020192823603899404), ('safe', 0.0020029014801179034), ('people', 0.0017520628216177408), ('time', 0.0017424600656485711)]",positive,"['health', 'mental', 'mental health', 'amp', 'care', 'healthcare', 'covid', 'safe', 'people', 'time ']"
1,0,949,0_vaccine_vaccines_covid19 vaccine_vaccination,"[('vaccine', 0.02041967634687671), ('vaccines', 0.010569462856773989), ('covid19 vaccine', 0.009008537724759938), ('vaccination', 0.005936996722766687), ('covid19', 0.005611018474652084), ('vaccinated', 0.0052675871234535016), ('covid', 0.004995163525811071), ('dose', 0.0046346008105896015), ('covid vaccine', 0.004518095615539375), ('pfizer', 0.004329937363248126)]",positive,"['vaccine', 'vaccines', 'covid vaccine', 'vaccination', 'covid', 'vaccinated', 'covid', 'dose', 'covid vaccine', 'pfizer ']"
2,1,689,1_mask_wear_masks_wear mask,"[('mask', 0.02872601810815029), ('wear', 0.014874845802761844), ('masks', 0.013999388670823117), ('wear mask', 0.011393881394876028), ('wearing', 0.010800106570374918), ('face', 0.009107601802863565), ('wearing mask', 0.0070192182162021315), ('face mask', 0.00548975218548555), ('still', 0.003416822098616879), ('wearing masks', 0.003282674546554773)]",positive,"['mask', 'wear', 'masks', 'wear mask', 'wearing', 'face', 'wearing mask', 'face mask', 'still', 'wearing masks ']"
3,2,553,2_nurse_rn_workers_nurses,"[('nurse', 0.012199416586684825), ('rn', 0.009931007374473779), ('workers', 0.008101843005492226), ('nurses', 0.008068465015989033), ('hospital', 0.007595098198400444), ('methodist', 0.007215038138420691), ('nursing', 0.006799800948858652), ('link bio', 0.00673943277872055), ('nurse rn', 0.006540045976063496), ('bio', 0.006527612475423616)]",positive,"['nurse', 'rn', 'workers', 'nurses', 'hospital', 'methodist', 'nursing', 'link bio', 'nurse rn', 'bio ']"
4,3,316,3_food_brain_nutrition_eating,"[('food', 0.014530724612254782), ('brain', 0.009341034570600358), ('nutrition', 0.0067250242209605906), ('eating', 0.00647824159776411), ('memory', 0.006141867440946339), ('brain health', 0.0058504962811227095), ('alzheimers', 0.005812669455559556), ('worldfoodsafetyday', 0.005662746601474597), ('diet', 0.005593102655695722), ('meat', 0.005403931300518082)]",positive,"['food', 'brain', 'nutrition', 'eating', 'memory', 'brain health', 'alzheimers', 'worldfoodsafetyday', 'diet', 'meat ']"
5,4,300,4_mental health_mental_mental health important_health,"[('mental health', 0.03055000614975139), ('mental', 0.030369622953911955), ('mental health important', 0.009184740750768777), ('health', 0.00861562251665882), ('health important', 0.007473451276416905), ('mental health matters', 0.006860756507862716), ('health matters', 0.006418511592860462), ('important', 0.0060451665560818345), ('mental health mental', 0.005011996932143524), ('matters', 0.004940074201165241)]",positive,"['mental health', 'mental', 'mental health important', 'health', 'health important', 'mental health matters', 'health matters', 'important', 'mental health mental', 'matters ']"
6,5,277,5_happiness_good health_good_health,"[('happiness', 0.014116951232883174), ('good health', 0.013920120765068055), ('good', 0.012086988047584728), ('health', 0.010588178906628363), ('health health', 0.009899977026140849), ('love', 0.009082715850140966), ('life', 0.008351007773596616), ('physical health', 0.007827843597029273), ('success', 0.007204677299123093), ('wealth', 0.007139818104334148)]",positive,"['happiness', 'good health', 'good', 'health', 'health health', 'love', 'life', 'physical health', 'success', 'wealth ']"
7,6,268,6_prayers_pray_god_praying,"[('prayers', 0.0210550850026222), ('pray', 0.018568855644165876), ('god', 0.016003283955078454), ('praying', 0.01442848357860376), ('prayer', 0.011991410157752765), ('jesus', 0.008765000287552418), ('lord', 0.006479738475302713), ('family', 0.006134340449074422), ('bless', 0.005075962556390324), ('good health', 0.005006973724824802)]",positive,"['prayers', 'pray', 'god', 'praying', 'prayer', 'jesus', 'lord', 'family', 'bless', 'good health ']"
8,7,263,7_texas_campaign_county_cases,"[('texas', 0.013956508640198147), ('campaign', 0.008495162827223323), ('county', 0.007572387845437874), ('cases', 0.006117695857846883), ('txlege', 0.005852556642707924), ('galveston county', 0.005463802601098418), ('covid19', 0.005158378074225737), ('texans', 0.005001027269754982), ('san', 0.004991360513168403), ('san antonio', 0.004957410125508221)]",positive,"['texas', 'campaign', 'county', 'cases', 'txlege', 'galveston county', 'covid', 'texans', 'san', 'san antonio ']"
9,8,213,8_stay safe_safe_stay_safe healthy,"[('stay safe', 0.04182277856603505), ('safe', 0.04175622275020896), ('stay', 0.03884026577457304), ('safe healthy', 0.02899821413879039), ('stay safe healthy', 0.023904750036371335), ('healthy', 0.023599029765866718), ('care stay', 0.020853195257805945), ('take care stay', 0.02059130885023756), ('take care', 0.020074060310365446), ('care stay safe', 0.01966929332792409)]",positive,"['stay safe', 'safe', 'stay', 'safe healthy', 'stay safe healthy', 'healthy', 'care stay', 'take care stay', 'take care', 'care stay safe ']"
