Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,8277,-1_health_mental_amp_mental health,"[('health', 0.002472330496739368), ('mental', 0.0022484483763691213), ('amp', 0.0021928426967910237), ('mental health', 0.0021636558717076865), ('care', 0.0020534909003929757), ('safe', 0.0019673745460984434), ('take', 0.0019236034930127728), ('singapore', 0.001867061826226431), ('stay', 0.0018224516466994974), ('good', 0.0017898959383931404)]",positive,"['health', 'mental', 'amp', 'mental health', 'care', 'safe', 'take', 'singapore', 'stay', 'good ']"
1,0,673,0_birthday_happy birthday_happy_good health,"[('birthday', 0.028830528043972656), ('happy birthday', 0.024948570203138475), ('happy', 0.016294626338025475), ('good health', 0.010129889853940637), ('may', 0.010051775894649298), ('happiness', 0.009433733464095423), ('bless', 0.008900730361595825), ('good', 0.00775367090975397), ('always', 0.0077411363597238965), ('allah', 0.007251457068616032)]",positive,"['birthday', 'happy birthday', 'happy', 'good health', 'may', 'happiness', 'bless', 'good', 'always', 'allah ']"
2,1,587,1_safe take_safe take care_take care_take,"[('safe take', 0.03169486604693609), ('safe take care', 0.03121591335047391), ('take care', 0.030020593510531546), ('take', 0.026488400085073558), ('stay safe take', 0.024986799425158208), ('care stay safe', 0.024745857011227532), ('care stay', 0.02466750919650418), ('take care stay', 0.024218275918292703), ('care', 0.023962194876932824), ('stay safe', 0.0217611283717659)]",positive,"['safe take', 'safe take care', 'take care', 'take', 'stay safe take', 'care stay safe', 'care stay', 'take care stay', 'care', 'stay safe ']"
3,2,556,2_selangor_minister_selangor journal_journal,"[('selangor', 0.017980973286859186), ('minister', 0.012032847953796765), ('selangor journal', 0.011987010655693516), ('journal', 0.011514500396498277), ('ampang', 0.010989236567754064), ('health minister', 0.009977674432600333), ('malaysia', 0.009809602138017171), ('ampang selangor', 0.006943995921138814), ('dg', 0.0069210633629769105), ('hospital ampang', 0.006857683947424345)]",positive,"['selangor', 'minister', 'selangor journal', 'journal', 'ampang', 'health minister', 'malaysia', 'ampang selangor', 'dg', 'hospital ampang ']"
4,3,483,3_nurses_nurse_nurses day_happy nurses,"[('nurses', 0.03237062699246463), ('nurse', 0.029736289311988243), ('nurses day', 0.023377309129893976), ('happy nurses', 0.018210929540433025), ('happy nurses day', 0.01783083991300989), ('day', 0.011173462471556685), ('international nurses day', 0.008475211075926909), ('international nurses', 0.008475211075926909), ('happy international nurses', 0.00841245221655235), ('happy international', 0.00841245221655235)]",positive,"['nurses', 'nurse', 'nurses day', 'happy nurses', 'happy nurses day', 'day', 'international nurses day', 'international nurses', 'happy international nurses', 'happy international ']"
5,4,392,4_vaccine_vaccination_vaccines_vaccinated,"[('vaccine', 0.02228096722964074), ('vaccination', 0.015724028853147942), ('vaccines', 0.013626498707597632), ('vaccinated', 0.00921956097838256), ('dose', 0.007282624881927748), ('covid19 vaccines', 0.007186071347466137), ('covid19 vaccine', 0.0071333643413712625), ('2nd', 0.004493605728903932), ('moderna', 0.004484320320579251), ('first', 0.004102402189555175)]",positive,"['vaccine', 'vaccination', 'vaccines', 'vaccinated', 'dose', 'covid vaccines', 'covid vaccine', 'nd', 'moderna', 'first ']"
6,5,341,5_mental_mental health_health_health mental,"[('mental', 0.03409231144224174), ('mental health', 0.03372835796618543), ('health', 0.008384441340946397), ('health mental', 0.006590488908360232), ('health mental health', 0.006439243763639276), ('mental health mental', 0.005389981323195228), ('important', 0.005268187942668667), ('mental health important', 0.004790477839407), ('mentalhealth', 0.004478553529283794), ('good mental', 0.0044261850624429085)]",positive,"['mental', 'mental health', 'health', 'health mental', 'health mental health', 'mental health mental', 'important', 'mental health important', 'mentalhealth', 'good mental ']"
7,6,299,6_healthy_stay_safe healthy_healthy stay,"[('healthy', 0.03109527311479316), ('stay', 0.026782469611829587), ('safe healthy', 0.026489494165776332), ('healthy stay', 0.025250876222526978), ('stay healthy', 0.024920013283227467), ('stay safe healthy', 0.02476883325632716), ('safe stay', 0.02351289722345513), ('stay safe', 0.020913885093864167), ('safe stay healthy', 0.0202676274429248), ('stay healthy stay', 0.020033919458793327)]",positive,"['healthy', 'stay', 'safe healthy', 'healthy stay', 'stay healthy', 'stay safe healthy', 'safe stay', 'stay safe', 'safe stay healthy', 'stay healthy stay ']"
8,7,268,7_allah_may allah_allah bless_alhamdulillah,"[('allah', 0.03323007269872245), ('may allah', 0.022447799215871197), ('allah bless', 0.013852306074314752), ('alhamdulillah', 0.013542816602084378), ('may', 0.012408497909771662), ('bless', 0.011439765413542797), ('may allah bless', 0.011392698987839218), ('grant', 0.011255385014852199), ('ya allah', 0.010375054413378729), ('ya', 0.00868539751192089)]",positive,"['allah', 'may allah', 'allah bless', 'alhamdulillah', 'may', 'bless', 'may allah bless', 'grant', 'ya allah', 'ya ']"
9,8,263,8_amp_amp stay_safe amp_care amp,"[('amp', 0.02020400487827205), ('amp stay', 0.015143195472141267), ('safe amp', 0.014662422365073126), ('care amp', 0.013013503600648658), ('take care amp', 0.012873335424149394), ('amp stay safe', 0.011953421330123915), ('care amp stay', 0.011597675295985193), ('stay safe amp', 0.010765288695298709), ('amp take care', 0.008752881841978314), ('amp take', 0.008749832283346025)]",positive,"['amp', 'amp stay', 'safe amp', 'care amp', 'take care amp', 'amp stay safe', 'care amp stay', 'stay safe amp', 'amp take care', 'amp take ']"
10,9,245,9_frontliners_workers_frontline_frontliner,"[('frontliners', 0.023950832689328124), ('workers', 0.014775054247013966), ('frontline', 0.013036514378835518), ('frontliner', 0.012491948374069325), ('frontline workers', 0.007839454216082935), ('staff', 0.006824804625984904), ('covid19', 0.005688029124307527), ('doctors', 0.005469699220698908), ('doctors nurses', 0.0054548271572676214), ('medical', 0.005262085886232261)]",positive,"['frontliners', 'workers', 'frontline', 'frontliner', 'frontline workers', 'staff', 'covid', 'doctors', 'doctors nurses', 'medical ']"
11,10,209,10_mask_masks_wear_wear mask,"[('mask', 0.028813834507735853), ('masks', 0.023072137815416546), ('wear', 0.0185006453521858), ('wear mask', 0.014550110614663487), ('face', 0.008650106044185455), ('reusable', 0.008320434674187485), ('wearing', 0.007782205441229921), ('wearing mask', 0.006370033249204285), ('face masks', 0.005496389403787061), ('singapore', 0.0052222883815686415)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'face', 'reusable', 'wearing', 'wearing mask', 'face masks', 'singapore ']"
12,11,206,11_year_new year_happy new year_happy new,"[('year', 0.02939876130242629), ('new year', 0.027405351100450205), ('happy new year', 0.024952788827523806), ('happy new', 0.024606603224218187), ('2021', 0.02144464801618378), ('new', 0.01719931690861641), ('happiness', 0.01117078066057377), ('2022', 0.011132579508317473), ('happy', 0.010115208345470016), ('may', 0.0077843056757361155)]",positive,"['year', 'new year', 'happy new year', 'happy new', '', 'new', 'happiness', '', 'happy', 'may ']"
13,12,195,12_chocolate_cake_velvet_red velvet,"[('chocolate', 0.026791573555903794), ('cake', 0.016853662439910398), ('velvet', 0.012662316510386245), ('red velvet', 0.01224651346077137), ('pudding', 0.011885119019319993), ('red', 0.011603830453096823), ('50sen', 0.010520182647202479), ('cheese', 0.00985003807676485), ('vanilla', 0.009688372450605713), ('flavour', 0.009401829528169961)]",positive,"['chocolate', 'cake', 'velvet', 'red velvet', 'pudding', 'red', 'sen', 'cheese', 'vanilla', 'flavour ']"
14,13,183,13_singapore foodwaste_singapore foodwaste free_foodwaste_foodwaste free,"[('singapore foodwaste', 0.1020571931886047), ('singapore foodwaste free', 0.1020571931886047), ('foodwaste', 0.1020571931886047), ('foodwaste free', 0.1020571931886047), ('singapore singapore foodwaste', 0.10093996235443833), ('singapore singapore', 0.07936681369640441), ('free', 0.057447613309394206), ('chocolate', 0.04802574331953321), ('singapore', 0.040164587506070625), ('foodwaste free chocolate', 0.03812689146645859)]",positive,"['singapore foodwaste', 'singapore foodwaste free', 'foodwaste', 'foodwaste free', 'singapore singapore foodwaste', 'singapore singapore', 'free', 'chocolate', 'singapore', 'foodwaste free chocolate ']"
15,14,182,14_cases_covid19 cases_cases singapore_covid19 cases singapore,"[('cases', 0.02299433301000145), ('covid19 cases', 0.021974321440637264), ('cases singapore', 0.020426270504729612), ('covid19 cases singapore', 0.017364121849282536), ('singapore', 0.015327232376607772), ('new covid19', 0.01505096130592362), ('community covid19 cases', 0.01366666412868143), ('community covid19', 0.013378770005384859), ('new community covid19', 0.012125389432568827), ('new community', 0.012125389432568827)]",positive,"['cases', 'covid cases', 'cases singapore', 'covid cases singapore', 'singapore', 'new covid', 'community covid cases', 'community covid', 'new community covid', 'new community ']"
16,15,182,15_government_singapore government_singapore_sarawak,"[('government', 0.01880474322612753), ('singapore government', 0.01181245810651877), ('singapore', 0.00650667386401607), ('sarawak', 0.004940511881825797), ('singaporeans', 0.004511140265576019), ('govt', 0.004389235964711356), ('governments', 0.0038968325196574367), ('people', 0.0038443774489892485), ('job', 0.0037463155294059024), ('singaporean', 0.003735058495712588)]",positive,"['government', 'singapore government', 'singapore', 'sarawak', 'singaporeans', 'govt', 'governments', 'people', 'job', 'singaporean ']"
17,16,176,16_workout_fitness_exercise_gym,"[('workout', 0.03073561479895611), ('fitness', 0.024704548302951962), ('exercise', 0.018436714484715837), ('gym', 0.01621567647025738), ('fit', 0.010526410007732086), ('motivation', 0.010255536410993528), ('weight', 0.009567553789935922), ('homeworkout', 0.00910103044647351), ('body', 0.008275400181888432), ('fitnessgoals', 0.00745101309837837)]",positive,"['workout', 'fitness', 'exercise', 'gym', 'fit', 'motivation', 'weight', 'homeworkout', 'body', 'fitnessgoals ']"
18,17,175,17_chinese_year_chinese new_chinese new year,"[('chinese', 0.035390886780657355), ('year', 0.034283576130645865), ('chinese new', 0.03190737019265336), ('chinese new year', 0.031437047010148336), ('new year', 0.02981344338335286), ('happy chinese', 0.026053790844526938), ('happy chinese new', 0.025168270539985653), ('new', 0.01721376202360125), ('tiger', 0.016551135159324475), ('xi', 0.015329546138078506)]",positive,"['chinese', 'year', 'chinese new', 'chinese new year', 'new year', 'happy chinese', 'happy chinese new', 'new', 'tiger', 'xi ']"
19,18,171,18_visit intenz_intenz healthcare store_intenz_shop visit intenz,"[('visit intenz', 0.021598715469624663), ('intenz healthcare store', 0.021598715469624663), ('intenz', 0.021598715469624663), ('shop visit intenz', 0.021598715469624663), ('healthcare store', 0.021598715469624663), ('visit intenz healthcare', 0.021598715469624663), ('intenz healthcare', 0.021598715469624663), ('shop visit', 0.021598715469624663), ('supplements', 0.020742866242174366), ('healthcare store 21stcenturysg', 0.018321837112810956)]",positive,"['visit intenz', 'intenz healthcare store', 'intenz', 'shop visit intenz', 'healthcare store', 'visit intenz healthcare', 'intenz healthcare', 'shop visit', 'supplements', 'healthcare store stcenturysg ']"
