Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,274,-1_health_covid19_care_people,"[('health', 0.010233640503910462), ('covid19', 0.0068997068542489106), ('care', 0.0065592698998639355), ('people', 0.005846250963891345), ('us', 0.005169801395680698), ('vaccine', 0.0047121767921182705), ('healthcare', 0.004704080642466904), ('world', 0.00468393536546873), ('covid', 0.004553423720659162), ('auspol', 0.0044792761682068945)]",negative,"['health', 'covid', 'care', 'people', 'us', 'vaccine', 'healthcare', 'world', 'covid', 'auspol ']"
1,0,51,0_cambodia_dollars_covid19_measures,"[('cambodia', 0.03160192011758755), ('dollars', 0.027242098936541167), ('covid19', 0.021073494639705658), ('measures', 0.017585723370905103), ('3m dollars', 0.017210698310239747), ('3m', 0.016938453406001912), ('donated', 0.01458900624530977), ('place', 0.014513901937608145), ('people', 0.014404813766993358), ('government', 0.011574013411143128)]",negative,"['cambodia', 'dollars', 'covid', 'measures', 'm dollars', 'm', 'donated', 'place', 'people', 'government ']"
2,1,50,1_home_covid_coming_yet,"[('home', 0.034349071735039614), ('covid', 0.025082666453811724), ('coming', 0.02420595544473058), ('yet', 0.02224598083885045), ('coming home', 0.022059470959556623), ('prevented coming home', 0.022059470959556623), ('prevented coming', 0.022059470959556623), ('prevented', 0.022059470959556623), ('citizens', 0.02193986983173299), ('strandedaussies', 0.0215340532247871)]",negative,"['home', 'covid', 'coming', 'yet', 'coming home', 'prevented coming home', 'prevented coming', 'prevented', 'citizens', 'strandedaussies ']"
3,2,48,2_covid19_quarantine_health_need,"[('covid19', 0.017119099832505362), ('quarantine', 0.016691348151234672), ('health', 0.01644371933244147), ('need', 0.016238547715454524), ('visitors', 0.014096195346962225), ('insurance', 0.013670740607140776), ('declaration', 0.012636306232181801), ('insurance coverage', 0.012636306232181801), ('test result', 0.012636306232181801), ('shenzhen', 0.012636306232181801)]",negative,"['covid', 'quarantine', 'health', 'need', 'visitors', 'insurance', 'declaration', 'insurance coverage', 'test result', 'shenzhen ']"
4,3,42,3_mental health_mental_health_one,"[('mental health', 0.06636771052052197), ('mental', 0.06636771052052197), ('health', 0.028511311119062584), ('one', 0.015672022744226504), ('issues', 0.012452236642881568), ('psychiatric', 0.012325776067267336), ('problem', 0.011029554599663854), ('know', 0.009827232343072673), ('phone', 0.009678066444213465), ('team phone', 0.009678066444213465)]",negative,"['mental health', 'mental', 'health', 'one', 'issues', 'psychiatric', 'problem', 'know', 'phone', 'team phone ']"
5,4,40,4_vaccine_auspol_strandedaussies_australian,"[('vaccine', 0.027020456795311093), ('auspol', 0.026636258282951828), ('strandedaussies', 0.02277771294425661), ('australian', 0.022271995521154657), ('citizens', 0.02075654168450688), ('overseas', 0.01919124312834868), ('took', 0.01867023895298232), ('australia', 0.018605040509361737), ('says', 0.017817596416923726), ('stranded', 0.0172147417186508)]",negative,"['vaccine', 'auspol', 'strandedaussies', 'australian', 'citizens', 'overseas', 'took', 'australia', 'says', 'stranded ']"
6,5,40,5_vaccine_covid_deadly_md,"[('vaccine', 0.02721402247657911), ('covid', 0.022491968510225537), ('deadly', 0.02221960864906486), ('md', 0.021439115057682808), ('ahmad md', 0.020068899127047037), ('dr', 0.01938925355971319), ('disease', 0.019138770204157624), ('ahmad', 0.019100481819971923), ('gp', 0.018442137619029863), ('surge', 0.018353110491243607)]",negative,"['vaccine', 'covid', 'deadly', 'md', 'ahmad md', 'dr', 'disease', 'ahmad', 'gp', 'surge ']"
7,6,38,6_danang_quarantine_contain_danang quarantine contain,"[('danang', 0.039554196618270566), ('quarantine', 0.03184827317055219), ('contain', 0.028561361740387974), ('danang quarantine contain', 0.027037075886983158), ('hometown danang', 0.027037075886983158), ('hometown danang quarantine', 0.027037075886983158), ('quarantine contain', 0.027037075886983158), ('hometown', 0.027037075886983158), ('danang quarantine', 0.027037075886983158), ('15', 0.026302181337331042)]",negative,"['danang', 'quarantine', 'contain', 'danang quarantine contain', 'hometown danang', 'hometown danang quarantine', 'quarantine contain', 'hometown', 'danang quarantine', ' ']"
8,7,37,7_nurse_doctors nurses_doctors_nurses,"[('nurse', 0.0357147621398796), ('doctors nurses', 0.023209075001926593), ('doctors', 0.02300183830213524), ('nurses', 0.022838591508699733), ('always', 0.020201849206994246), ('either', 0.015437042429939322), ('doctors nurses perpetuating', 0.015280269206986847), ('hat', 0.015280269206986847), ('bogeyman covid19', 0.015280269206986847), ('even tinfoil hat', 0.015280269206986847)]",negative,"['nurse', 'doctors nurses', 'doctors', 'nurses', 'always', 'either', 'doctors nurses perpetuating', 'hat', 'bogeyman covid', 'even tinfoil hat ']"
9,8,35,8_whatshappeninginmyanmar_later_near_shot stomach,"[('whatshappeninginmyanmar', 0.03156508139884526), ('later', 0.031228094063727677), ('near', 0.029811465765576077), ('shot stomach', 0.02942974821845389), ('myat', 0.02942974821845389), ('participating', 0.02942974821845389), ('participating peaceful', 0.02942974821845389), ('dead time', 0.02942974821845389), ('city monywar later', 0.02942974821845389), ('peaceful protest', 0.02942974821845389)]",negative,"['whatshappeninginmyanmar', 'later', 'near', 'shot stomach', 'myat', 'participating', 'participating peaceful', 'dead time', 'city monywar later', 'peaceful protest ']"
10,9,33,9_crisis_amp_covid19_effect,"[('crisis', 0.027249533339549353), ('amp', 0.0254639415756658), ('covid19', 0.025329989627742376), ('effect', 0.017048952760388165), ('reshuffle', 0.0160307735884695), ('killing people', 0.015447685311425647), ('killing', 0.014971530086442838), ('people', 0.01469096047138026), ('drugs', 0.013639162208310534), ('ive', 0.013390930683317731)]",negative,"['crisis', 'amp', 'covid', 'effect', 'reshuffle', 'killing people', 'killing', 'people', 'drugs', 'ive ']"
11,10,30,10_diabetes_bangkok_drfrankahmad_zia,"[('diabetes', 0.025263222576528604), ('bangkok', 0.02253783302228052), ('drfrankahmad', 0.02018924668097616), ('zia', 0.018890082242286332), ('sepsisfree', 0.018040241704554295), ('bad', 0.01654889433839362), ('emailto', 0.01619149906481686), ('emailto drfrankahmad', 0.01619149906481686), ('surgical', 0.01609907896993843), ('medical', 0.015462776688608145)]",negative,"['diabetes', 'bangkok', 'drfrankahmad', 'zia', 'sepsisfree', 'bad', 'emailto', 'emailto drfrankahmad', 'surgical', 'medical ']"
12,11,29,11_vaccination_factors_suggesting_vaccines,"[('vaccination', 0.028119094197175044), ('factors', 0.021207352914655114), ('suggesting', 0.021207352914655114), ('vaccines', 0.020796627899278167), ('vax', 0.020143960048233125), ('times', 0.018352609998339736), ('vaccinating', 0.015138522739389567), ('us', 0.014896920427734045), ('level', 0.014138235276436742), ('decision', 0.013758268222052172)]",negative,"['vaccination', 'factors', 'suggesting', 'vaccines', 'vax', 'times', 'vaccinating', 'us', 'level', 'decision ']"
13,12,29,12_cambodia_ministry_vaccination_ministry health,"[('cambodia', 0.042314246478434694), ('ministry', 0.042166106183147006), ('vaccination', 0.03274485876726588), ('ministry health', 0.02824153219734695), ('doses', 0.02571234653344467), ('public vaccination', 0.024032382408242053), ('vaccine', 0.021264374811329114), ('health ministry', 0.02122787667029546), ('health', 0.02023580580594676), ('million', 0.019672454049252063)]",negative,"['cambodia', 'ministry', 'vaccination', 'ministry health', 'doses', 'public vaccination', 'vaccine', 'health ministry', 'health', 'million ']"
14,13,25,13_hospital_nhs_services_would,"[('hospital', 0.023577835104281714), ('nhs', 0.022584604541335884), ('services', 0.021936169154033135), ('would', 0.019773244321301172), ('system', 0.0196285160992458), ('care', 0.019030167857495294), ('price', 0.017706448900844184), ('uk hospital', 0.015968030834698582), ('covid19 3000 lives', 0.015968030834698582), ('hospital wars nhs', 0.015968030834698582)]",negative,"['hospital', 'nhs', 'services', 'would', 'system', 'care', 'price', 'uk hospital', 'covid', 'lives', 'hospital wars nhs ']"
15,14,24,14_pay_health care_care_cant pay,"[('pay', 0.0272987970903318), ('health care', 0.01963107905938939), ('care', 0.019566228923903615), ('cant pay', 0.019166269652916006), ('poor', 0.016852863536519137), ('day 200 deaths', 0.01641783452018305), ('day 200', 0.01641783452018305), ('200 deaths', 0.01641783452018305), ('cases day 200', 0.01641783452018305), ('2000', 0.01641783452018305)]",negative,"['pay', 'health care', 'care', 'cant pay', 'poor', 'day', 'deaths', 'day', '', 'deaths', 'cases day', '', '']"
16,15,23,15_cambodia_costs_pay_fees,"[('cambodia', 0.03865243668703169), ('costs', 0.034869347893014505), ('pay', 0.025696026806619136), ('fees', 0.020944433769285595), ('health', 0.02069571048335464), ('usd', 0.02008777072925365), ('potential', 0.019722175109400244), ('cover covid19related', 0.018888110547525407), ('usd 3000', 0.018888110547525407), ('usd 3000 cover', 0.018888110547525407)]",negative,"['cambodia', 'costs', 'pay', 'fees', 'health', 'usd', 'potential', 'cover covidrelated', 'usd', ' usd', 'cover ']"
