,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,71,-1_travel_nft_air_wish,"[('travel', 0.024325995059294347), ('nft', 0.022523265404389793), ('air', 0.02038223458031238), ('wish', 0.018939236391027292), ('covid', 0.01860187968175428), ('time', 0.016513094782886845), ('bid', 0.0139430751184669), ('air travel', 0.013563177074655873), ('covid19', 0.013072336539967007), ('star', 0.012732941610101562)]",negative
1,0,116,0_health_please_govt_get,"[('health', 0.018289365255133083), ('please', 0.011161183822507519), ('govt', 0.010881885171243583), ('get', 0.010476472980429995), ('message', 0.009952649331408495), ('amp', 0.009473819000673638), ('workers', 0.009239025269865125), ('sa', 0.009168381305678494), ('safe', 0.00872760564336714), ('nurses', 0.00845762260709831)]",negative
2,1,92,1_travel_covid19_health_measures,"[('travel', 0.024675386035248038), ('covid19', 0.022412892604887078), ('health', 0.019331328196073038), ('measures', 0.015235898324608973), ('amp', 0.014324263577050354), ('air travel', 0.014262730961566267), ('air', 0.013303550460391823), ('vaccine', 0.012744769121350696), ('aviation', 0.011895117846593984), ('latest', 0.011193279897662188)]",negative
3,2,38,2_press_covid19_conference_press conference,"[('press', 0.05134002485481493), ('covid19', 0.05128919972200417), ('conference', 0.05115322755900603), ('press conference', 0.05115322755900603), ('messages', 0.049570834374017596), ('ministry', 0.048115051607968584), ('healths', 0.04654532028202901), ('yoursafetyismysafety', 0.04654532028202901), ('messages ministry', 0.04654532028202901), ('messages ministry public', 0.04654532028202901)]",negative
4,3,17,3_amitabh_coronavirus_covid19_world,"[('amitabh', 0.05710533140894991), ('coronavirus', 0.04722466753918722), ('covid19', 0.045681412528812075), ('world', 0.028862309350266048), ('health', 0.028829738712980054), ('message', 0.028074116108368487), ('people', 0.025789677801439384), ('conditionstable', 0.02273858192187663), ('conditionstable amitabh4u', 0.02273858192187663), ('conditionstable amitabh4u abhishekbachchan', 0.02273858192187663)]",negative
5,4,17,4_travel_air_air travel_protection measures,"[('travel', 0.06687628209822614), ('air', 0.06432403921261781), ('air travel', 0.057468146591283846), ('protection measures', 0.03068240998859742), ('health protection measures', 0.03068240998859742), ('protection', 0.030458473125587682), ('health protection', 0.030458473125587682), ('winter', 0.03029243386567952), ('measures', 0.027625177697565402), ('covid19', 0.02700185490182317)]",negative
6,5,16,5_bonus_salary_abu_dhabi,"[('bonus', 0.03242233131867867), ('salary', 0.023562841553408105), ('abu', 0.021787040427744153), ('dhabi', 0.021787040427744153), ('abu dhabi', 0.021787040427744153), ('stranded smasco', 0.019121080252487165), ('rrddavao', 0.019121080252487165), ('suside giveing', 0.019121080252487165), ('suside', 0.019121080252487165), ('stranded smasco company', 0.019121080252487165)]",negative
7,6,15,6_kids_30388070_iloveqatar cosmeticdentistry_iloveqatar,"[('kids', 0.07050292277482559), ('30388070', 0.06926954244063852), ('iloveqatar cosmeticdentistry', 0.06926954244063852), ('iloveqatar', 0.06926954244063852), ('dentalsupplies', 0.06926954244063852), ('dentalsupplies instagram', 0.06926954244063852), ('dentalsupplies instagram iloveqatar', 0.06926954244063852), ('dentist', 0.06926954244063852), ('dentist quarantine', 0.06926954244063852), ('dentist quarantine stayhome', 0.06926954244063852)]",negative
8,7,13,7_uk_quarantine_travellers_exempt,"[('uk', 0.05929974050196797), ('quarantine', 0.05671410438926049), ('travellers', 0.052623870767398426), ('exempt', 0.04158223394108037), ('list', 0.041258218031675155), ('covid19', 0.0365900809824876), ('first', 0.0319467582659646), ('come first covid19', 0.03170153027321182), ('travellers summer actual', 0.03170153027321182), ('measures come first', 0.03170153027321182)]",negative
9,8,12,8_quarantine_sunset_travelling_home,"[('quarantine', 0.04943413601882619), ('sunset', 0.04237660455152475), ('travelling', 0.03080850638116679), ('home', 0.029976293219925437), ('staysafe', 0.027752762163191527), ('stayhome', 0.025406971952956953), ('uae jbr', 0.023616211399563096), ('dubai uae', 0.023616211399563096), ('travelgram wanderlust wanderer', 0.023616211399563096), ('travelgram wanderlust', 0.023616211399563096)]",negative
10,9,11,9_sar_register_2022_june,"[('sar', 0.09695709798765849), ('register', 0.08375728987920344), ('2022', 0.08270920883448783), ('june', 0.07356106494836163), ('950', 0.06990720087237731), ('june 2022', 0.06990720087237731), ('950 sar', 0.06990720087237731), ('discount', 0.04903504669933312), ('special discount medical', 0.03946840619994952), ('special discount', 0.03946840619994952)]",negative
