,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,480,-1_health_amp_travel_message,"[('health', 0.012354891984100221), ('amp', 0.011650287987759264), ('travel', 0.008819738264634147), ('message', 0.008055954040889107), ('people', 0.007801150431997618), ('covid19', 0.007307610725989112), ('get', 0.006380904235352107), ('workers', 0.005949994564386749), ('bonus', 0.005670935095667156), ('work', 0.005669096320174552)]",negative
1,0,379,0_health_travel_covid19_people,"[('health', 0.01593739097835753), ('travel', 0.015635282162777615), ('covid19', 0.0134979016395526), ('people', 0.01237348695586557), ('covid', 0.01113366841462882), ('ireland', 0.00962556878385383), ('public', 0.009413351096105343), ('message', 0.008593893816234256), ('public health', 0.008263755070633311), ('cases', 0.007215108803088745)]",negative
2,1,60,1_vaccine_passport_vaccination_health,"[('vaccine', 0.04941890508899387), ('passport', 0.01793400139183306), ('vaccination', 0.01499696221954035), ('health', 0.013595682262666692), ('travel', 0.011696367399033325), ('dose', 0.009657571009523002), ('vaccines', 0.009656769980217802), ('text', 0.009543521412434768), ('message', 0.009469438218123178), ('vaccinated', 0.009046348797803784)]",negative
3,2,44,2_voucher_refund_flights_got,"[('voucher', 0.05182694509400183), ('refund', 0.03600171724446975), ('flights', 0.018808445747674946), ('got', 0.018699949961376354), ('vouchers', 0.01706457178110433), ('use', 0.016824637427042387), ('flight', 0.014296125283440061), ('due', 0.012843265731207766), ('refunds', 0.012538815296969827), ('customer care', 0.012191670496384872)]",negative
4,3,42,3_workers_rewards_dublin_people,"[('workers', 0.027432469468627745), ('rewards', 0.017815280377732376), ('dublin', 0.015033557683169463), ('people', 0.01390485683205603), ('support', 0.013701131756923978), ('carers', 0.013525265080700241), ('allowance', 0.01159308435488592), ('work', 0.011531200231633202), ('nothing', 0.010556164598119153), ('health', 0.009847200938605416)]",negative
5,4,31,4_mask_masks_face mask_face,"[('mask', 0.05157538983117794), ('masks', 0.03328996532112105), ('face mask', 0.031328769985305045), ('face', 0.028267703780288343), ('wear', 0.02710184144440691), ('covid19', 0.018726484417511163), ('please', 0.01596290554064444), ('door', 0.015902662518197035), ('covid', 0.014460492878948588), ('covid19 covid19ireland', 0.013469782283040379)]",negative
6,5,26,5_hands_covid19_wash_home,"[('hands', 0.031165181846599336), ('covid19', 0.029893817817409372), ('wash', 0.025018127095078207), ('home', 0.02279496289206499), ('without', 0.021907420043687384), ('use', 0.021449367585269923), ('spread', 0.020564147855436976), ('wash hands', 0.01979315186213216), ('avoid', 0.019281122421247132), ('weekend', 0.01911406689335146)]",negative
7,6,22,6_food_covid19_vouchers_benefit applicants,"[('food', 0.05653335407314678), ('covid19', 0.050551723315499536), ('vouchers', 0.037986464786208686), ('benefit applicants', 0.0366378911650672), ('foodvouchers lockdown', 0.0366378911650672), ('lockdown smes cash', 0.0366378911650672), ('covid19 benefit', 0.0366378911650672), ('lockdown smes', 0.0366378911650672), ('foodvouchers', 0.0366378911650672), ('necessary covid19ireland foodvouchers', 0.0366378911650672)]",negative
8,7,21,7_message_messages_partner_covid19,"[('message', 0.029089411138735703), ('messages', 0.022407693974833862), ('partner', 0.021030841119609685), ('covid19', 0.02046699702680898), ('emails', 0.019302212139592802), ('contacted', 0.018889984066412287), ('clear', 0.018789564943803495), ('app', 0.017907406517010737), ('covid', 0.017763744047035766), ('one', 0.017158386288740283)]",negative
9,8,21,8_nurses_1000_bonus_workers eligible,"[('nurses', 0.05108173525470484), ('1000', 0.03858541566009358), ('bonus', 0.03381696296199254), ('workers eligible', 0.03196656004152114), ('eligible', 0.03119720037061687), ('pandemic bonus', 0.028773121666812), ('five months', 0.027397311423879075), ('five', 0.025997666975514054), ('calling', 0.02485739289447531), ('pandemic', 0.024236089511072558)]",negative
