,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,315,-1_health_travel_amp_people,"[('health', 0.012125822188217892), ('travel', 0.00961612369267942), ('amp', 0.00930214084978791), ('people', 0.00699499428635585), ('covid', 0.006820552685276686), ('system', 0.005582348977775639), ('message', 0.0055170760021630546), ('home', 0.005475142632056563), ('well', 0.0053079359165529435), ('im', 0.005236820828152318)]",neutral
1,0,97,0_message_health_messages_health message,"[('message', 0.02579924213919348), ('health', 0.022488945233122053), ('messages', 0.01972803188588046), ('health message', 0.010929438213313764), ('people', 0.010712798030638246), ('public health', 0.009812785087845312), ('public', 0.009025587533079842), ('amp', 0.008641639591986971), ('im', 0.00848109334330443), ('messaging', 0.0072220092886081215)]",neutral
2,1,85,1_mental_mental health_health_travel,"[('mental', 0.029687177858552474), ('mental health', 0.026141578363090508), ('health', 0.022477133812306337), ('travel', 0.01265498529253049), ('good', 0.012504441212325341), ('bonus', 0.012076499705665704), ('dont', 0.011766028830881542), ('amp', 0.01148059092913995), ('holiday', 0.010646280164952273), ('medical', 0.008776122566926803)]",neutral
3,2,61,2_nurses_bonus_pay_workers,"[('nurses', 0.02510244172732933), ('bonus', 0.024454911903973052), ('pay', 0.0239325320277971), ('workers', 0.018018211072776385), ('care', 0.01412708427124324), ('salary', 0.01395077766691952), ('paid', 0.013245254010466577), ('teachers', 0.012953088551806768), ('pay rise', 0.012183975066381563), ('wage', 0.011935534827360525)]",neutral
4,3,60,3_vaccine_travel_vaccinated_vaccines,"[('vaccine', 0.026173557527903527), ('travel', 0.019700733860804225), ('vaccinated', 0.018490383593413054), ('vaccines', 0.016563509892023678), ('health', 0.016523730802560335), ('need', 0.013785249109703917), ('care', 0.012936725819135304), ('amp', 0.011287886842420389), ('people', 0.011244597160675444), ('agree', 0.010309819337876686)]",neutral
5,4,42,4_risk_covid_19_covid 19,"[('risk', 0.033022237940477865), ('covid', 0.032181399223126766), ('19', 0.020401547334181595), ('covid 19', 0.020401547334181595), ('travel', 0.018462957489944486), ('logic', 0.01553564787931966), ('quarantine', 0.01536468110875017), ('long', 0.013930827890865279), ('may', 0.013296527136230965), ('corridor', 0.01272383111040402)]",neutral
6,5,32,5_mask_masks_wearing_wear,"[('mask', 0.05143130298422649), ('masks', 0.038367654829648025), ('wearing', 0.02210748397102051), ('wear', 0.017936714143182243), ('required', 0.015080169224597909), ('wearing masks', 0.014686041374656346), ('travel', 0.013219939993089888), ('wear mask', 0.012848256329595898), ('without', 0.012772209224378484), ('flight', 0.01198881846498267)]",neutral
7,6,25,6_quarantine_nsw_beaches_northern beaches,"[('quarantine', 0.029270949973220575), ('nsw', 0.02778516270221227), ('beaches', 0.02713026743631191), ('northern beaches', 0.02713026743631191), ('northern', 0.026664995529817225), ('vic', 0.02123136555022549), ('applied', 0.02034770057723393), ('hotel', 0.019667597465981887), ('sa', 0.01853039592814043), ('holiday', 0.018209474671275833)]",neutral
8,7,24,7_travel_restrictions_travel restrictions_meet,"[('travel', 0.03419066201841571), ('restrictions', 0.029551733412268633), ('travel restrictions', 0.024347820574178676), ('meet', 0.015308809441627687), ('saying', 0.013706027181534968), ('health', 0.013495043302515304), ('im', 0.013483308798920911), ('every country', 0.01313017546635931), ('country restrictions', 0.01313017546635931), ('every country restrictions', 0.01313017546635931)]",neutral
9,8,21,8_travel_advice_report_following,"[('travel', 0.02657546911431403), ('advice', 0.023395743300567595), ('report', 0.023109689911040104), ('following', 0.0228048064318761), ('covid19', 0.02267333804905233), ('international travel', 0.02088718594788092), ('work', 0.020494629374359787), ('covid19 cases', 0.01910664813709127), ('travel contributing', 0.01910664813709127), ('us health', 0.01910664813709127)]",neutral
10,9,21,9_get thanks_pay_nurses_thanks,"[('get thanks', 0.0359206382543175), ('pay', 0.03492181859296392), ('nurses', 0.029547332682869173), ('thanks', 0.02945342797340034), ('tulungan', 0.025663778248160976), ('natin', 0.025663778248160976), ('sa research', 0.025663778248160976), ('duterte approves', 0.025663778248160976), ('duterte approves hazard', 0.025663778248160976), ('tulungan natin 210720', 0.025663778248160976)]",neutral
11,10,21,10_parking_problem_savings_local,"[('parking', 0.030677418920136732), ('problem', 0.026724382537354804), ('savings', 0.02316125685577622), ('local', 0.020143018785565212), ('small', 0.01647194808633223), ('like', 0.015943159092301738), ('go', 0.0152116943061087), ('cbd', 0.015035223246076621), ('added bonus', 0.014393959255063177), ('added', 0.014393959255063177)]",neutral
12,11,20,11_holiday_lockdown_season_holiday season,"[('holiday', 0.03191351231048342), ('lockdown', 0.03010358487861222), ('season', 0.028528734829936234), ('holiday season', 0.02530096405784473), ('holidays', 0.02358224681101566), ('easter', 0.02215977232394606), ('year', 0.02212181917860502), ('high', 0.02103207677226357), ('mates', 0.020769140128666357), ('feel', 0.017412154156236762)]",neutral
13,12,20,12_care_aged_cards_aged care,"[('care', 0.04018087174213653), ('aged', 0.0352914837281719), ('cards', 0.027285868069715166), ('aged care', 0.024569092183913153), ('discounts', 0.02342267059004006), ('pension', 0.022738223391429307), ('health care', 0.021875248270285006), ('health', 0.015627442921422915), ('transport health care', 0.015204921025377712), ('carer', 0.015204921025377712)]",neutral
14,13,18,13_receive_vaccination_gov_school holidays,"[('receive', 0.03219183493441665), ('vaccination', 0.03101055813035469), ('gov', 0.024224829063263953), ('school holidays', 0.02265203590247242), ('zoo face painting', 0.02215977232394606), ('covid19 vaccination blitz', 0.02215977232394606), ('blitz school', 0.02215977232394606), ('school holidays offering', 0.02215977232394606), ('covid19 vaccination', 0.02215977232394606), ('clinics children', 0.02215977232394606)]",neutral
15,14,16,14_schools_would_meki_saleh meki,"[('schools', 0.03920597094305347), ('would', 0.0369056507673006), ('meki', 0.034635070357833295), ('saleh meki', 0.034635070357833295), ('saleh', 0.034635070357833295), ('children', 0.03395474334731101), ('country', 0.02776714895053369), ('therefore', 0.024636079259859802), ('students', 0.023090046905222195), ('imagine', 0.023090046905222195)]",neutral
16,15,16,15_football_sydney_open_doublestandards covid19,"[('football', 0.025779485891646577), ('sydney', 0.023354224678916187), ('open', 0.022833482567843368), ('doublestandards covid19', 0.020918571472802256), ('important public', 0.020918571472802256), ('doublestandards', 0.020918571472802256), ('team sydney', 0.020918571472802256), ('make planned school', 0.020918571472802256), ('enter', 0.020918571472802256), ('sydney enter southaustralia', 0.020918571472802256)]",neutral
17,16,15,16_australia_covid19_remain australia_due covid19,"[('australia', 0.0606944634718926), ('covid19', 0.050509911495413604), ('remain australia', 0.039893199851101714), ('due covid19', 0.039893199851101714), ('remain', 0.036531845260776435), ('border', 0.03531080205113579), ('due', 0.028516366011056275), ('travel', 0.026312345657736668), ('nsw', 0.024942456287134446), ('borders', 0.023555741545598606)]",neutral
18,17,14,17_hotel_accommodation_quarantine_special health accommodation,"[('hotel', 0.0494823007160572), ('accommodation', 0.04869103821546699), ('quarantine', 0.047732004752493985), ('special health accommodation', 0.0434807178233231), ('special health', 0.0434807178233231), ('sha', 0.0434807178233231), ('shah', 0.0434807178233231), ('health accommodation', 0.0434807178233231), ('special', 0.033267540948373045), ('queensland sent remote', 0.03092802756003982)]",neutral
19,18,14,18_nsw_sydney_greater sydney_greater,"[('nsw', 0.04920289228516756), ('sydney', 0.041125330020528976), ('greater sydney', 0.03358590492848074), ('greater', 0.029984001139923375), ('health', 0.029501238128652067), ('travel', 0.02802881508150308), ('residents', 0.026311640680634088), ('nsw health', 0.02578094388241666), ('bit', 0.024514502933271887), ('delta', 0.02431931969856503)]",neutral
20,19,13,19_minister_health issues_issues_health,"[('minister', 0.06097539404747074), ('health issues', 0.04515237818717873), ('issues', 0.04480244746154341), ('health', 0.03948923901142446), ('premier', 0.03446662717709529), ('melbourne', 0.027989763483593635), ('health minister', 0.027989763483593635), ('safetysecurity logistics food', 0.026414823585264025), ('say melbourne would', 0.026414823585264025), ('food distribution', 0.026414823585264025)]",neutral
21,20,13,20_leave_nurses_sick leave_reduce,"[('leave', 0.05808146468069939), ('nurses', 0.03151651758505974), ('sick leave', 0.027948111187028484), ('reduce', 0.02581095652708287), ('sick', 0.024672266808939615), ('work', 0.024615435636464157), ('hope nurses covered', 0.02397074738164529), ('nurses covered', 0.02397074738164529), ('work cover', 0.02397074738164529), ('covered work', 0.02397074738164529)]",neutral
22,21,11,21_countries_rapid_testing_singapore,"[('countries', 0.05797832143697314), ('rapid', 0.05691878182493929), ('testing', 0.04894009686153672), ('singapore', 0.04779271360955803), ('aviation', 0.043967131658422656), ('avgeeks', 0.043967131658422656), ('avgeeks aviation', 0.043967131658422656), ('international trip covid19', 0.03643216805801301), ('tests including singapore', 0.03643216805801301), ('covid testing needed', 0.03643216805801301)]",neutral
23,22,11,22_nurses covid19 tagajourno_coordinator_nurses covid19_hear nurses,"[('nurses covid19 tagajourno', 0.04998832361448297), ('coordinator', 0.04998832361448297), ('nurses covid19', 0.04998832361448297), ('hear nurses', 0.04998832361448297), ('international day', 0.04998832361448297), ('needs hear nurses', 0.04998832361448297), ('needs hear', 0.04998832361448297), ('australia needs hear', 0.04998832361448297), ('covid19 tagajourno', 0.04998832361448297), ('tagajourno', 0.04998832361448297)]",neutral
