Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,85,-1_health_people_covid_airline,"[('health', 0.01770677112550679), ('people', 0.011868534707758236), ('covid', 0.011773118475662795), ('airline', 0.010126680079414703), ('covid19', 0.009963806933216), ('flight', 0.00900149340392418), ('care', 0.008821137362454348), ('lockdown', 0.008761975257387263), ('emergency', 0.007727292991734217), ('go', 0.007488461349127541)]",negative,"['health', 'people', 'covid', 'airline', 'covid', 'flight', 'care', 'lockdown', 'emergency', 'go ']"
1,0,126,0_health_care_pay_government,"[('health', 0.019245471778470837), ('care', 0.014669158589587542), ('pay', 0.011051550975477746), ('government', 0.009939880359528235), ('protest', 0.009464081258779119), ('healthcare', 0.008911695079778735), ('people', 0.008771930960344933), ('amp', 0.008546997082050947), ('dont', 0.008390146243397), ('im', 0.008298471705834826)]",negative,"['health', 'care', 'pay', 'government', 'protest', 'healthcare', 'people', 'amp', 'dont', 'im ']"
2,1,48,1_mask_masks_wearing_wear,"[('mask', 0.03781032518691181), ('masks', 0.026904966810115845), ('wearing', 0.019500543431415926), ('wear', 0.018296513876898082), ('health', 0.016691396129512787), ('people', 0.01530982200887838), ('wearing mask', 0.014896969651416037), ('face', 0.013286213505971764), ('like', 0.011136875784873159), ('dont', 0.010942384921719875)]",negative,"['mask', 'masks', 'wearing', 'wear', 'health', 'people', 'wearing mask', 'face', 'like', 'dont ']"
3,2,44,2_mental_mental health_health_help,"[('mental', 0.08725167143598658), ('mental health', 0.08248719080874439), ('health', 0.059696768042149774), ('help', 0.014059736860929477), ('issues', 0.012676166773845431), ('kids', 0.012300172466341353), ('times', 0.011982412140073319), ('want', 0.011707275273903694), ('awareness', 0.010297755214339739), ('severe', 0.010297755214339739)]",negative,"['mental', 'mental health', 'health', 'help', 'issues', 'kids', 'times', 'want', 'awareness', 'severe ']"
4,3,29,3_czech_people_care_health,"[('czech', 0.03839795813870967), ('people', 0.022058826385573282), ('care', 0.01900322817287477), ('health', 0.0179507764042828), ('prague', 0.01739060118878202), ('dont', 0.01630357963205553), ('go', 0.016132266603955267), ('deaths', 0.015325358856545733), ('czech republic', 0.014492167657318351), ('republic', 0.014492167657318351)]",negative,"['czech', 'people', 'care', 'health', 'prague', 'dont', 'go', 'deaths', 'czech republic', 'republic ']"
5,4,23,4_vaccine_people_delta_vaccinated,"[('vaccine', 0.050914181388364975), ('people', 0.028206368165159285), ('delta', 0.02438610012537963), ('vaccinated', 0.023756114232624873), ('virus', 0.02155599655560039), ('vaccines', 0.020942949716009997), ('get', 0.020649892917051417), ('think', 0.01857093580897392), ('sell', 0.01736285445058873), ('get vaccine', 0.01736285445058873)]",negative,"['vaccine', 'people', 'delta', 'vaccinated', 'virus', 'vaccines', 'get', 'think', 'sell', 'get vaccine ']"
6,5,23,5_covid19_covid_increasing_czechrepublic,"[('covid19', 0.03522611164006509), ('covid', 0.02421688094587039), ('increasing', 0.02399098465120394), ('czechrepublic', 0.023279375706543936), ('dismissed', 0.019889842657012442), ('spain', 0.019889842657012442), ('hospital', 0.019709773195188022), ('czech', 0.01933418314730804), ('places', 0.019192787720963153), ('health', 0.018077190322622817)]",negative,"['covid', 'covid', 'increasing', 'czechrepublic', 'dismissed', 'spain', 'hospital', 'czech', 'places', 'health ']"
7,6,19,6_nurse_said_hospital_could,"[('nurse', 0.09286300513714392), ('said', 0.04961105643796996), ('hospital', 0.04643150256857196), ('could', 0.040396798460572154), ('doctor', 0.0386929188071433), ('nurses', 0.03767800723101523), ('results', 0.03407708217199868), ('deserving sued existence', 0.03060853508409738), ('deserving', 0.03060853508409738), ('deserving sued', 0.03060853508409738)]",negative,"['nurse', 'said', 'hospital', 'could', 'doctor', 'nurses', 'results', 'deserving sued existence', 'deserving', 'deserving sued ']"
8,7,13,7_minister_vaccination_covid19_health,"[('minister', 0.06145114830299962), ('vaccination', 0.0571691027585248), ('covid19', 0.05645011996990995), ('health', 0.0413074188061772), ('2022', 0.039057892508626985), ('minister said covid19', 0.03524192917728579), ('ongoing health forum', 0.03524192917728579), ('relaunch president upped', 0.03524192917728579), ('republic africa', 0.03524192917728579), ('learnt covid19', 0.03524192917728579)]",negative,"['minister', 'vaccination', 'covid', 'health', '', 'minister said covid', 'ongoing health forum', 'relaunch president upped', 'republic africa', 'learnt covid ']"
9,8,10,8_covid_symptoms_scared_everything,"[('covid', 0.07124579615290598), ('symptoms', 0.04517197552005693), ('scared', 0.040081901769279615), ('everything', 0.040081901769279615), ('aches', 0.025956104398538623), ('lock everything im', 0.025956104398538623), ('proper', 0.025956104398538623), ('im toilet', 0.025956104398538623), ('muscle', 0.025956104398538623), ('mild cough', 0.025956104398538623)]",negative,"['covid', 'symptoms', 'scared', 'everything', 'aches', 'lock everything im', 'proper', 'im toilet', 'muscle', 'mild cough ']"
