Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2535,-1_singapore_health_thank_safe,"[('singapore', 0.004467762708508237), ('health', 0.003779352230692569), ('thank', 0.003679178862332381), ('safe', 0.0036788203087480937), ('stay', 0.0034865466075901554), ('appreciate', 0.003301990991064881), ('care', 0.003187610187791678), ('covid19', 0.0031607243070966243), ('good', 0.0031603514938290302), ('amp', 0.003069371158181904)]",positive,"['singapore', 'health', 'thank', 'safe', 'stay', 'appreciate', 'care', 'covid', 'good', 'amp ']"
1,0,264,0_birthday_happy birthday_happy_may,"[('birthday', 0.027183930106248103), ('happy birthday', 0.01800651721096329), ('happy', 0.017687329184123725), ('may', 0.011538458747295045), ('good', 0.010807530242166317), ('good health', 0.010289603273746138), ('love', 0.009893719260095895), ('happiness', 0.009484289851180048), ('allah', 0.007828931611475147), ('health', 0.007790854699584479)]",positive,"['birthday', 'happy birthday', 'happy', 'may', 'good', 'good health', 'love', 'happiness', 'allah', 'health ']"
2,1,254,1_nurses_hospital_nurses day_healthcare,"[('nurses', 0.02125840065279889), ('hospital', 0.01748015545884565), ('nurses day', 0.010771318262849898), ('healthcare', 0.009481660231606662), ('doctors', 0.009387747056254711), ('nurse', 0.009046796848231455), ('nursing', 0.008418367113067747), ('hospital singapore', 0.007544552826165359), ('general hospital', 0.007130823036439799), ('happy nurses day', 0.006792732631918696)]",positive,"['nurses', 'hospital', 'nurses day', 'healthcare', 'doctors', 'nurse', 'nursing', 'hospital singapore', 'general hospital', 'happy nurses day ']"
3,2,251,2_cases_covid19 cases_covid19_cases singapore,"[('cases', 0.020650787002786074), ('covid19 cases', 0.01714643471480479), ('covid19', 0.015230972433131358), ('cases singapore', 0.01448960833126629), ('new', 0.01384899202722759), ('singapore', 0.012812260740453538), ('covid19 cases singapore', 0.011851544685599803), ('covid', 0.011211202515464045), ('new covid19', 0.009963248255016923), ('community covid19 cases', 0.00988900776132466)]",positive,"['cases', 'covid cases', 'covid', 'cases singapore', 'new', 'singapore', 'covid cases singapore', 'covid', 'new covid', 'community covid cases ']"
4,3,188,3_vaccine_vaccination_vaccines_dose,"[('vaccine', 0.03050039851762966), ('vaccination', 0.026908904827576477), ('vaccines', 0.01377010830326053), ('dose', 0.013526548116379853), ('covid19 vaccine', 0.012392798148306945), ('covid19 vaccination', 0.011439505983052564), ('first', 0.009522195945473176), ('2nd', 0.008462095596625632), ('vaccinated', 0.008453452926354535), ('volunteers', 0.008334620103643818)]",positive,"['vaccine', 'vaccination', 'vaccines', 'dose', 'covid vaccine', 'covid vaccination', 'first', 'nd', 'vaccinated', 'volunteers ']"
5,4,162,4_stayhealthy_stayhome_staysafe_staysafe stayhealthy,"[('stayhealthy', 0.019602286030037216), ('stayhome', 0.016633920778342085), ('staysafe', 0.01553772222524163), ('staysafe stayhealthy', 0.010459224255106805), ('stayhome staysafe', 0.010427394661667429), ('home', 0.010279135030164357), ('stay', 0.009019144295648825), ('stayathome', 0.008542450229587089), ('stayhealthy stayhome', 0.00835359028901441), ('staystrong', 0.007598113011858452)]",positive,"['stayhealthy', 'stayhome', 'staysafe', 'staysafe stayhealthy', 'stayhome staysafe', 'home', 'stay', 'stayathome', 'stayhealthy stayhome', 'staystrong ']"
6,5,160,5_singapore foodwaste free_singapore foodwaste_foodwaste_foodwaste free,"[('singapore foodwaste free', 0.09655003321968149), ('singapore foodwaste', 0.09655003321968149), ('foodwaste', 0.09655003321968149), ('foodwaste free', 0.09655003321968149), ('singapore singapore foodwaste', 0.09396439414640133), ('singapore singapore', 0.07186338783712685), ('free', 0.06920993951514468), ('chocolate', 0.06195518791766682), ('free chocolate', 0.04279657722552873), ('foodwaste free chocolate', 0.042481267128063153)]",positive,"['singapore foodwaste free', 'singapore foodwaste', 'foodwaste', 'foodwaste free', 'singapore singapore foodwaste', 'singapore singapore', 'free', 'chocolate', 'free chocolate', 'foodwaste free chocolate ']"
7,6,153,6_mask_masks_wear_wearing,"[('mask', 0.036417920170094216), ('masks', 0.027430186869810164), ('wear', 0.011933807430148238), ('wearing', 0.011060523934006123), ('reusable', 0.010681721456752113), ('wear mask', 0.01030492850179828), ('singapore', 0.008787040094359728), ('face', 0.008679173824328616), ('mydurian', 0.006515953436458513), ('esplanade', 0.006515953436458513)]",positive,"['mask', 'masks', 'wear', 'wearing', 'reusable', 'wear mask', 'singapore', 'face', 'mydurian', 'esplanade ']"
8,7,148,7_victors_victors home_victors home singapore_stayhome victors,"[('victors', 0.17323753557200322), ('victors home', 0.17323753557200322), ('victors home singapore', 0.17323753557200322), ('stayhome victors', 0.17238956242193423), ('stayhome victors home', 0.17238956242193423), ('sgunited stayhome victors', 0.1715389145695563), ('singapore sgunited stayhome', 0.17068557073503654), ('home singapore sgunited', 0.16810914580844566), ('singapore sgunited', 0.16728109090128385), ('home singapore', 0.165618960795689)]",positive,"['victors', 'victors home', 'victors home singapore', 'stayhome victors', 'stayhome victors home', 'sgunited stayhome victors', 'singapore sgunited stayhome', 'home singapore sgunited', 'singapore sgunited', 'home singapore ']"
9,8,129,8_allah_may allah_may_alhamdulillah,"[('allah', 0.031241253141883668), ('may allah', 0.022898625431506375), ('may', 0.022735217862747417), ('alhamdulillah', 0.01194809913181634), ('ramadan', 0.01156470388581427), ('health', 0.011112066954882302), ('allah bless', 0.010996605397697985), ('may allah bless', 0.010996605397697985), ('blessings', 0.010893690859433224), ('bless', 0.010664508482002896)]",positive,"['allah', 'may allah', 'may', 'alhamdulillah', 'ramadan', 'health', 'allah bless', 'may allah bless', 'blessings', 'bless ']"
10,9,119,9_mental_mental health_health_help,"[('mental', 0.051909689826295964), ('mental health', 0.05078746314228221), ('health', 0.018720256973144854), ('help', 0.009443033328434495), ('important', 0.008294534158120757), ('awareness', 0.007628616072879292), ('friends', 0.007475001075538), ('mental health important', 0.00674247863744075), ('health important', 0.005883387303308918), ('mental health issues', 0.005650108993398555)]",positive,"['mental', 'mental health', 'health', 'help', 'important', 'awareness', 'friends', 'mental health important', 'health important', 'mental health issues ']"
11,10,112,10_circuitbreakersg_circuitbreakingorange_circuitbreakingorange day_singapore circuitbreakersg,"[('circuitbreakersg', 0.03750974401311913), ('circuitbreakingorange', 0.026068447447628453), ('circuitbreakingorange day', 0.02466667842684385), ('singapore circuitbreakersg', 0.0218524313309881), ('stayathome', 0.018125623085897262), ('stayhome', 0.017964634440609452), ('circuitbreakersg home', 0.017705909584351063), ('stayathome stayhome', 0.01685149996807826), ('stayathome stayhome singapore', 0.016829457189940097), ('circuitbreakersgphase2 circuitbreakersg', 0.016768387318709443)]",positive,"['circuitbreakersg', 'circuitbreakingorange', 'circuitbreakingorange day', 'singapore circuitbreakersg', 'stayathome', 'stayhome', 'circuitbreakersg home', 'stayathome stayhome', 'stayathome stayhome singapore', 'circuitbreakersgphase circuitbreakersg ']"
12,11,108,11_pandemic_covid19_help_us,"[('pandemic', 0.009396056265677338), ('covid19', 0.009006215627716299), ('help', 0.008563364863087767), ('us', 0.008274937565494501), ('people', 0.007895720927928543), ('join', 0.007249252822828413), ('global', 0.007143275622679786), ('impacts', 0.006926835186145073), ('covid19 pandemic', 0.006912224375052538), ('say', 0.006190685840518013)]",positive,"['pandemic', 'covid', 'help', 'us', 'people', 'join', 'global', 'impacts', 'covid pandemic', 'say ']"
13,12,93,12_archives_exploring archives_sgmemory_singapore sgmemory,"[('archives', 0.08354310455291863), ('exploring archives', 0.08354310455291863), ('sgmemory', 0.08301278441705087), ('singapore sgmemory', 0.08210765050802309), ('exploring', 0.08173902417576935), ('exploringsgfromhome', 0.07772281353062772), ('exploringsgfromhome singapore', 0.07548405202496285), ('exploringsgfromhome singapore sgmemory', 0.07397349445760255), ('stayhome covid19', 0.07215336862395366), ('covid19 exploringsgfromhome', 0.0669844948194873)]",positive,"['archives', 'exploring archives', 'sgmemory', 'singapore sgmemory', 'exploring', 'exploringsgfromhome', 'exploringsgfromhome singapore', 'exploringsgfromhome singapore sgmemory', 'stayhome covid', 'covid exploringsgfromhome ']"
14,13,86,13_covid19singapore_singapore circuit_singapore circuit breaker_circuit,"[('covid19singapore', 0.031211510493619345), ('singapore circuit', 0.03105882430504455), ('singapore circuit breaker', 0.03105882430504455), ('circuit', 0.030954839426912743), ('circuit breaker', 0.03049831774426432), ('breaker', 0.030281764722064966), ('covid19 covid19 covid19singapore', 0.029112104348997473), ('covid19 covid19singapore', 0.029112104348997473), ('covid19singapore sgunited', 0.029112104348997473), ('circuitbreaker', 0.02669942672123351)]",positive,"['covidsingapore', 'singapore circuit', 'singapore circuit breaker', 'circuit', 'circuit breaker', 'breaker', 'covid covid covidsingapore', 'covid covidsingapore', 'covidsingapore sgunited', 'circuitbreaker ']"
15,14,81,14_appreciate_care_love_didnt,"[('appreciate', 0.047023111277653344), ('care', 0.019108781477564514), ('love', 0.014745023706839607), ('didnt', 0.013126404099431464), ('appreciate take care', 0.012285411738205736), ('appreciate take', 0.012285411738205736), ('people', 0.012005639768951519), ('care appreciate', 0.011356525855382599), ('appreciate every', 0.010720068883142551), ('really', 0.010665550704982612)]",positive,"['appreciate', 'care', 'love', 'didnt', 'appreciate take care', 'appreciate take', 'people', 'care appreciate', 'appreciate every', 'really ']"
16,15,81,15_dinner_singapore phase1reopening day_singapore phase1reopening_phase1reopening day,"[('dinner', 0.02395177023186691), ('singapore phase1reopening day', 0.015470949072138996), ('singapore phase1reopening', 0.015470949072138996), ('phase1reopening day', 0.015470949072138996), ('phase1reopening', 0.015470949072138996), ('stayhome', 0.012860145799995752), ('lunch', 0.012081472686723469), ('food', 0.011532610817182305), ('chicken', 0.010822444734928239), ('homecooking', 0.010313966048092664)]",positive,"['dinner', 'singapore phasereopening day', 'singapore phasereopening', 'phasereopening day', 'phasereopening', 'stayhome', 'lunch', 'food', 'chicken', 'homecooking ']"
17,16,77,16_discount_voucher_win_vouchers,"[('discount', 0.02292284651817791), ('voucher', 0.020297536283293616), ('win', 0.016421089610478844), ('vouchers', 0.015621222674558878), ('cash', 0.015249746552258001), ('free', 0.013153401702776735), ('lucky', 0.012915545341240274), ('zerowaste free', 0.012290268986859955), ('singapore zerowaste', 0.012290268986859955), ('singapore zerowaste free', 0.012290268986859955)]",positive,"['discount', 'voucher', 'win', 'vouchers', 'cash', 'free', 'lucky', 'zerowaste free', 'singapore zerowaste', 'singapore zerowaste free ']"
