,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,696,-1_gift_health_amp_giving,"[('gift', 0.013223117822338043), ('health', 0.009657972567263336), ('amp', 0.007633021524925421), ('giving', 0.0071518696291764), ('care', 0.006198818498846285), ('gifts', 0.006195836843425107), ('get', 0.006113335639915165), ('people', 0.0055126656666684625), ('like', 0.005498267616427855), ('one', 0.005268217565325541)]",negative
1,0,938,0_gift_health_giving_amp,"[('gift', 0.012415164228027648), ('health', 0.010769322345266858), ('giving', 0.008335138489211642), ('amp', 0.006922720415317853), ('people', 0.006229719879834675), ('gifts', 0.006203937538886546), ('healthcare', 0.006168192835324292), ('get', 0.006121328469862756), ('covid19', 0.005969497878842506), ('trump', 0.005574967142434812)]",negative
2,1,241,1_care_package_care package_quarantine,"[('care', 0.03380449375195066), ('package', 0.03365462672430089), ('care package', 0.032029425649908405), ('quarantine', 0.026979454338968638), ('packages', 0.015144497760800717), ('care packages', 0.014386895162534514), ('covid', 0.013375473164556256), ('covid19', 0.011315529240328115), ('send', 0.011286356081270542), ('quarantine care', 0.01097429142511509)]",negative
3,2,87,2_masks_mask_provide_provide masks,"[('masks', 0.042636195208147445), ('mask', 0.03349472162136308), ('provide', 0.026462619711909108), ('provide masks', 0.024627007800595152), ('workers', 0.02166243269364462), ('face', 0.014043314302063134), ('free', 0.01184424274515935), ('wearing', 0.011628388265022611), ('wear', 0.010896191388150149), ('wear mask', 0.010629703709972745)]",negative
4,3,61,3_amp_worker_gift_co,"[('amp', 0.027729037615809627), ('worker', 0.026042752840154674), ('gift', 0.023398699214151112), ('co', 0.021169156108155007), ('co worker', 0.020268046978445465), ('im', 0.01565201931596029), ('need', 0.012522192469118417), ('want', 0.010867938066736565), ('gift bags', 0.009486362586620526), ('got', 0.008980259600053336)]",negative
5,4,59,4_mothers_day_mom_mothers day,"[('mothers', 0.02007414659043638), ('day', 0.01998969128188506), ('mom', 0.019951811571748794), ('mothers day', 0.01988212853770279), ('gifts', 0.01582220540919271), ('gift', 0.01519721637735427), ('dont', 0.01310611392436695), ('appreciate', 0.011879778485218673), ('amp', 0.011493387019918814), ('doesnt', 0.010398462777955501)]",negative
6,5,39,5_compensate_steal_compensate upssteals_steal compensate upssteals,"[('compensate', 0.07739439939696809), ('steal', 0.06370753317557022), ('compensate upssteals', 0.059829996349479), ('steal compensate upssteals', 0.059829996349479), ('packages steal compensate', 0.059829996349479), ('care packages steal', 0.059829996349479), ('upssteals', 0.059829996349479), ('steal compensate', 0.059829996349479), ('packages steal', 0.059829996349479), ('coronavirus', 0.056028699836088616)]",negative
7,6,36,6_patients_shops_gift shops_hospitals,"[('patients', 0.04351109071299307), ('shops', 0.04277513607251004), ('gift shops', 0.04208251762656581), ('hospitals', 0.027911011584181678), ('hospital', 0.023305009563211194), ('putting patients', 0.02149042993167556), ('patients gift shops', 0.02149042993167556), ('patients gift', 0.020670441636494504), ('gift', 0.019369001265255443), ('ambulances', 0.01885160553087392)]",negative
8,7,34,7_insurance_health insurance_health_gift,"[('insurance', 0.04016559872952893), ('health insurance', 0.04009387612542937), ('health', 0.0373515164789659), ('gift', 0.027464848874736627), ('youve', 0.019589524377414957), ('company', 0.01731716337625792), ('really', 0.016538775947453087), ('company sent', 0.016374274319942202), ('curse', 0.016374274319942202), ('gift curse', 0.016374274319942202)]",negative
9,8,32,8_local_keeping_giving_restaurant,"[('local', 0.019153438338709822), ('keeping', 0.018181917626000684), ('giving', 0.01812746329076899), ('restaurant', 0.016702820985847758), ('restaurants', 0.01604672197043189), ('keeping people away', 0.015933945659943362), ('margins', 0.015933945659943362), ('small margins', 0.015933945659943362), ('people away', 0.015933945659943362), ('operate small margins', 0.015933945659943362)]",negative
10,9,31,9_donate_nurses_donors_doctors nurses,"[('donate', 0.03758311646111713), ('nurses', 0.0196584656603099), ('donors', 0.016856983755226165), ('doctors nurses', 0.015395909787744794), ('family', 0.013832763848527956), ('donations', 0.013498313184758056), ('gift', 0.012525178332984287), ('app', 0.012038059203634911), ('back', 0.011899074949619901), ('go', 0.01179507939618594)]",negative
11,10,29,10_protest_people_streets_bar,"[('protest', 0.031398247818761195), ('people', 0.0281233448924974), ('streets', 0.023200935867096994), ('bar', 0.022815198792108315), ('giving', 0.018027724840751002), ('hits bar', 0.015846276082722214), ('worlds gone', 0.015846276082722214), ('provide mask ect', 0.015846276082722214), ('hits bar via', 0.015846276082722214), ('lock people', 0.015846276082722214)]",negative
12,11,21,11_local restaurants_local_restaurants_support,"[('local restaurants', 0.0364576327197129), ('local', 0.03571888233046302), ('restaurants', 0.029596377511791474), ('support', 0.022828267742362716), ('cards', 0.020623636495187544), ('used', 0.019845162689888455), ('coronavirus', 0.01926912957325799), ('lines coronavirus local', 0.018875899563266706), ('support nurses front', 0.018875899563266706), ('please support nurses', 0.018875899563266706)]",negative
13,12,21,12_get_gift_even get sorry_someone tell essential,"[('get', 0.02429052379937994), ('gift', 0.02390573362729885), ('even get sorry', 0.021573488224979495), ('someone tell essential', 0.021573488224979495), ('tell essential workers', 0.021573488224979495), ('25hour dont', 0.021573488224979495), ('lost husband due', 0.021573488224979495), ('essential workers make', 0.021573488224979495), ('gift govtand gift', 0.021573488224979495), ('gift govtand', 0.021573488224979495)]",negative
14,13,21,13_giving free_free_doughnuts_giving,"[('giving free', 0.06838418792653489), ('free', 0.05320422999713456), ('doughnuts', 0.04945084905562728), ('giving', 0.04580687732459738), ('healthcare workers', 0.04447042052794283), ('drink', 0.04427646825343414), ('workers', 0.03586652781513528), ('healthcare', 0.03506130664289597), ('worker', 0.03384435336770101), ('worker giving', 0.028257628031787017)]",negative
15,14,20,14_give healthcare_give healthcare workers_home thanksgiving stayhome_break dont turkey,"[('give healthcare', 0.032650884885556584), ('give healthcare workers', 0.032650884885556584), ('home thanksgiving stayhome', 0.030236857512175988), ('break dont turkey', 0.030236857512175988), ('covid19 outreach campaign', 0.030236857512175988), ('workers christmas gift', 0.030236857512175988), ('thanksgiving stayhome', 0.030236857512175988), ('campaign would', 0.030236857512175988), ('break dont', 0.030236857512175988), ('dont turkey', 0.030236857512175988)]",negative
16,15,19,15_yummysweetsgifts_food_ktlaopenforbusiness abc7eyewitnessnews_yummysweetsgifts thankshealthheroes,"[('yummysweetsgifts', 0.061767892163651694), ('food', 0.04879320084330684), ('ktlaopenforbusiness abc7eyewitnessnews', 0.04539585029258841), ('yummysweetsgifts thankshealthheroes', 0.04539585029258841), ('abc7eyewitnessnews', 0.04539585029258841), ('thankshealthheroes', 0.04539585029258841), ('ktla', 0.04539585029258841), ('calling south bay', 0.04539585029258841), ('ktlaopenforbusiness', 0.04539585029258841), ('calling south', 0.04539585029258841)]",negative
17,16,16,16_gift shop_shop_end_doctor,"[('gift shop', 0.03897887842395793), ('shop', 0.03675949822045429), ('end', 0.029956895931286753), ('doctor', 0.02835411529444924), ('filming', 0.026648328795200057), ('panda', 0.026648328795200057), ('express', 0.026648328795200057), ('panda express', 0.026648328795200057), ('hours', 0.023485695428585085), ('covid', 0.02149791108453744)]",negative
18,17,15,17_lanyard_retractable_reel_badge reel,"[('lanyard', 0.349041862654069), ('retractable', 0.14385830379914585), ('reel', 0.13923541167083908), ('badge reel', 0.13923541167083908), ('badge', 0.1252173503614267), ('retractable lanyard', 0.10497333208083152), ('badge reel nurse', 0.10497333208083152), ('breakaway', 0.10497333208083152), ('breakaway lanyard', 0.10497333208083152), ('reel nurse', 0.10497333208083152)]",negative
19,18,15,18_coffee_text_medical_nurses,"[('coffee', 0.034654397649446764), ('text', 0.03035448382213164), ('medical', 0.027025916014799815), ('nurses', 0.026549348322863757), ('medicalpersonnel doctors', 0.02622817287638751), ('loosing hope', 0.02622817287638751), ('hospital arent', 0.02622817287638751), ('phoenixarizona', 0.02622817287638751), ('phoenixarizona arizona', 0.02622817287638751), ('hospital arent giving', 0.02622817287638751)]",negative
20,19,14,19_one spot_spot_freedom_gather,"[('one spot', 0.060096556238633136), ('spot', 0.059177606733447026), ('freedom', 0.05341868282310782), ('gather', 0.03339200786127261), ('hospitals care', 0.03339200786127261), ('hospitals care packages', 0.03339200786127261), ('outside true', 0.03339200786127261), ('liberty', 0.03339200786127261), ('one spot wks', 0.03339200786127261), ('outside true patriots', 0.03339200786127261)]",negative
21,20,13,20_survey_receive_participate_low socioeconomic,"[('survey', 0.05108875374604285), ('receive', 0.03577218813088493), ('participate', 0.028853261198379377), ('low socioeconomic', 0.02386679396790246), ('purifier link pinned', 0.02386679396790246), ('tchr low socioeconomic', 0.02386679396790246), ('tchr low', 0.02386679396790246), ('trying keep ss', 0.02386679396790246), ('grade sciss tchr', 0.02386679396790246), ('grade sciss', 0.02386679396790246)]",negative
22,21,13,21_tested positive_facility_tested_im gift shop,"[('tested positive', 0.030625816493842956), ('facility', 0.027113655998326498), ('tested', 0.027113655998326498), ('im gift shop', 0.025333013392551756), ('house im gift', 0.025333013392551756), ('facility resident go', 0.025333013392551756), ('guest house', 0.025333013392551756), ('end last', 0.025333013392551756), ('airbnb guest house', 0.025333013392551756), ('airbnb guest', 0.025333013392551756)]",negative
23,22,12,22_hospitality_hospitality workers_singapore_workers,"[('hospitality', 0.062248142127669735), ('hospitality workers', 0.03958846292831288), ('singapore', 0.03167077034265031), ('workers', 0.026228168794023322), ('hit', 0.02489768831762787), ('covid19', 0.023964669283321857), ('crisis', 0.023638283157913078), ('gave', 0.018708987788364096), ('industry', 0.01810192400018984), ('pizza gift certificates', 0.017933193147983938)]",negative
24,23,12,23_unused_died_covid_glad,"[('unused', 0.034720632773308106), ('died', 0.03278386341323762), ('covid', 0.03151130853769105), ('glad', 0.030779343750692547), ('pick', 0.028299380035416384), ('still', 0.022801877324045546), ('friend', 0.022193694321328988), ('friends', 0.021843471884791615), ('gift', 0.021353752938983186), ('see', 0.019925725752853726)]",negative
25,24,12,24_story_publisher_book_true,"[('story', 0.03593481726280175), ('publisher', 0.024336304668910375), ('book', 0.019067287204190382), ('true', 0.01739895830452349), ('pathological', 0.01711003018381418), ('millionth weird', 0.01711003018381418), ('bethlehem', 0.01711003018381418), ('pathological liarnope irishgift', 0.01711003018381418), ('true tale looked', 0.01711003018381418), ('nurse came back', 0.01711003018381418)]",negative
26,25,12,25_god_dad_praying_amp,"[('god', 0.05126890021547512), ('dad', 0.03938976703089539), ('praying', 0.023943255150720856), ('amp', 0.023690647573775606), ('prayers', 0.02206735422514336), ('made', 0.019641753083583867), ('mom', 0.01924000197487609), ('memorial', 0.017511943644507803), ('said leu', 0.017511943644507803), ('dad mom', 0.017511943644507803)]",negative
27,26,11,26_teachers nurses_nurses_teachers_trauma,"[('teachers nurses', 0.034006210434232895), ('nurses', 0.03029623215875179), ('teachers', 0.030289231436862893), ('trauma', 0.02508061923668762), ('public', 0.024041068781524566), ('absolutely', 0.024025104458194547), ('union', 0.023449687892250267), ('salary', 0.022716923577647166), ('talking', 0.022499711354829824), ('workers', 0.021982710596373238)]",negative
