Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,277,-1_people_covid19_whatshappeninginmyanmar_amp,"[('people', 0.011310639599072938), ('covid19', 0.009737703889478092), ('whatshappeninginmyanmar', 0.008246994038208826), ('amp', 0.007342309073047921), ('thailand', 0.007198230130137706), ('health', 0.006691905577587894), ('help', 0.006551343861489801), ('cases', 0.006259553785942278), ('please', 0.006031613663852928), ('hospital', 0.006020727362567985)]",negative,"['people', 'covid', 'whatshappeninginmyanmar', 'amp', 'thailand', 'health', 'help', 'cases', 'please', 'hospital ']"
1,0,653,0_whatshappeninginmyanmar_military_covid19_help,"[('whatshappeninginmyanmar', 0.01137338012409308), ('military', 0.011128296746067131), ('covid19', 0.010821819751719204), ('help', 0.010327750837589458), ('people', 0.00989533925263508), ('thailand', 0.009221362107224953), ('myanmar', 0.00847557709253175), ('protest', 0.007924676104804795), ('health', 0.007356200822635024), ('using', 0.0071778248903860975)]",negative,"['whatshappeninginmyanmar', 'military', 'covid', 'help', 'people', 'thailand', 'myanmar', 'protest', 'health', 'using ']"
2,1,57,1_hong_kong_hong kong_view,"[('hong', 0.06757011969821627), ('kong', 0.04934299967206201), ('hong kong', 0.04658445549733787), ('view', 0.045451933438463814), ('view article', 0.04376707619821824), ('article', 0.041889072335525766), ('stigmabase', 0.02483266980661642), ('kongs', 0.024702962576096582), ('hong kongs', 0.024702962576096582), ('article stigmabase', 0.019539305630645605)]",negative,"['hong', 'kong', 'hong kong', 'view', 'view article', 'article', 'stigmabase', 'kongs', 'hong kongs', 'article stigmabase ']"
3,2,53,2_day_myanmar_help_help myanmar,"[('day', 0.06781559932006499), ('myanmar', 0.06733576531283707), ('help', 0.05445765355259436), ('help myanmar', 0.047507093575784025), ('international help', 0.0466256868066966), ('without international help', 0.04570412466926331), ('without international', 0.04570412466926331), ('healthcare system going', 0.04570412466926331), ('rising day', 0.04570412466926331), ('system going collapse', 0.04570412466926331)]",negative,"['day', 'myanmar', 'help', 'help myanmar', 'international help', 'without international help', 'without international', 'healthcare system going', 'rising day', 'system going collapse ']"
4,3,50,3_health_everything_vaccine_vaccines,"[('health', 0.01909917607436911), ('everything', 0.01702517846057352), ('vaccine', 0.014738849246908308), ('vaccines', 0.013430461234094923), ('risk', 0.012846629806880411), ('public health', 0.012823130333113447), ('australia', 0.01263548791440188), ('two five years', 0.012005545591759512), ('two five', 0.012005545591759512), ('five years', 0.012005545591759512)]",negative,"['health', 'everything', 'vaccine', 'vaccines', 'risk', 'public health', 'australia', 'two five years', 'two five', 'five years ']"
5,4,32,4_mental_mental health_health_amp,"[('mental', 0.04639913054311907), ('mental health', 0.044273103942515), ('health', 0.034580240275121646), ('amp', 0.023848743391683663), ('im', 0.01328069800692311), ('help', 0.01310822676006366), ('mental health issues', 0.013106154435452847), ('kids', 0.012194013523914552), ('health issues', 0.01196554425929879), ('issues', 0.01140776853864679)]",negative,"['mental', 'mental health', 'health', 'amp', 'im', 'help', 'mental health issues', 'kids', 'health issues', 'issues ']"
6,5,25,5_wave_public government led_enough medics_added another,"[('wave', 0.041048655788507145), ('public government led', 0.038174288865910726), ('enough medics', 0.038174288865910726), ('added another', 0.038174288865910726), ('led ruin', 0.038174288865910726), ('provided public', 0.038174288865910726), ('provided public government', 0.038174288865910726), ('myanmar amid', 0.038174288865910726), ('services provided public', 0.038174288865910726), ('added another burden', 0.038174288865910726)]",negative,"['wave', 'public government led', 'enough medics', 'added another', 'led ruin', 'provided public', 'provided public government', 'myanmar amid', 'services provided public', 'added another burden ']"
7,6,23,6_housings_cdm_military council_leave,"[('housings', 0.06672638287303928), ('cdm', 0.059456246168264566), ('military council', 0.04118999209899654), ('leave', 0.04116564431552654), ('civil', 0.04005576508509419), ('mandalay', 0.03949911522997362), ('council', 0.0390515859423), ('civil housings', 0.038317048888439176), ('cdm workers mandalay', 0.0347099306116406), ('workers mandalay', 0.0347099306116406)]",negative,"['housings', 'cdm', 'military council', 'leave', 'civil', 'mandalay', 'council', 'civil housings', 'cdm workers mandalay', 'workers mandalay ']"
8,7,23,7_bullet_wound_rubber_rubber bullet,"[('bullet', 0.04724001911713184), ('wound', 0.045803351383700716), ('rubber', 0.04367454550208488), ('rubber bullet', 0.04098290854411204), ('shot', 0.04000935667663425), ('one', 0.03412857019964052), ('blood', 0.03399840272388191), ('tw', 0.033869808151226644), ('victims', 0.031369349659249125), ('twice live', 0.031369349659249125)]",negative,"['bullet', 'wound', 'rubber', 'rubber bullet', 'shot', 'one', 'blood', 'tw', 'victims', 'twice live ']"
9,8,23,8_singapores_lockdown_singapore_covid19,"[('singapores', 0.06702082008528895), ('lockdown', 0.06123770775461647), ('singapore', 0.058992613675743086), ('covid19', 0.05017014291791884), ('singapores covid19', 0.049999788041281024), ('extended june', 0.049999788041281024), ('lockdown extended june', 0.049999788041281024), ('covid19 lockdown extended', 0.049999788041281024), ('lockdown extended', 0.049999788041281024), ('singapores covid19 lockdown', 0.049999788041281024)]",negative,"['singapores', 'lockdown', 'singapore', 'covid', 'singapores covid', 'extended june', 'lockdown extended june', 'covid lockdown extended', 'lockdown extended', 'singapores covid lockdown ']"
