Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1725,-1_health_covid19_amp_care,"[('health', 0.022343449025603035), ('covid19', 0.011657658455849939), ('amp', 0.009471847495378076), ('care', 0.007855669212704515), ('new', 0.006950191006270133), ('covid', 0.006939078878110229), ('healthcare', 0.005889822974360569), ('people', 0.005698366849081036), ('safe', 0.005597153886291551), ('good', 0.005515229222892704)]",positive,"['health', 'covid', 'amp', 'care', 'new', 'covid', 'healthcare', 'people', 'safe', 'good ']"
1,0,2910,0_health_amp_covid19_new,"[('health', 0.025174756209686493), ('amp', 0.012714553400630607), ('covid19', 0.011243767923540917), ('new', 0.007795736651638253), ('mental', 0.007684247483802644), ('safe', 0.007561026898986049), ('mental health', 0.007553822096393716), ('care', 0.007452373403184403), ('healthcare', 0.006930588315728219), ('global', 0.00640652522147304)]",positive,"['health', 'amp', 'covid', 'new', 'mental', 'safe', 'mental health', 'care', 'healthcare', 'global ']"
2,1,133,1_mask_face mask_face_handmade,"[('mask', 0.12507803542035284), ('face mask', 0.07908767572093302), ('face', 0.07664673042230828), ('handmade', 0.04861627973832566), ('reusable', 0.046339994825487466), ('handmade fashion', 0.046339994825487466), ('breathable', 0.04545462627157086), ('velvet', 0.04545462627157086), ('alt breathable', 0.04545462627157086), ('alt', 0.04487656591230061)]",positive,"['mask', 'face mask', 'face', 'handmade', 'reusable', 'handmade fashion', 'breathable', 'velvet', 'alt breathable', 'alt ']"
3,2,30,2_kingsarmy muscle_kingkamali_contestprep_contestprep transformations,"[('kingsarmy muscle', 0.09313660392776688), ('kingkamali', 0.09313660392776688), ('contestprep', 0.09313660392776688), ('contestprep transformations', 0.09313660392776688), ('contestprep transformations health', 0.09313660392776688), ('joinkingsarmy', 0.09313660392776688), ('ifbb', 0.09313660392776688), ('transformations health', 0.09313660392776688), ('ifbb bodybuilding', 0.09313660392776688), ('bodybuilding contestprep transformations', 0.09313660392776688)]",positive,"['kingsarmy muscle', 'kingkamali', 'contestprep', 'contestprep transformations', 'contestprep transformations health', 'joinkingsarmy', 'ifbb', 'transformations health', 'ifbb bodybuilding', 'bodybuilding contestprep transformations ']"
4,3,19,3_eye_eye health_studi di_di milano,"[('eye', 0.16653933912229166), ('eye health', 0.11928928894482346), ('studi di', 0.0573528982809864), ('di milano', 0.0573528982809864), ('universit degli studi', 0.0573528982809864), ('degli', 0.0573528982809864), ('degli studi di', 0.0573528982809864), ('degli studi', 0.0573528982809864), ('studi', 0.0573528982809864), ('studi di milano', 0.0573528982809864)]",positive,"['eye', 'eye health', 'studi di', 'di milano', 'universit degli studi', 'degli', 'degli studi di', 'degli studi', 'studi', 'studi di milano ']"
5,4,18,4_gnlfootwear_gnl_gnlshoes_gnlschuhe,"[('gnlfootwear', 0.09199139698616683), ('gnl', 0.07776242455660352), ('gnlshoes', 0.07291249942320883), ('gnlschuhe', 0.0680024401161101), ('sneakers', 0.0680024401161101), ('gesundeschuhe', 0.048386676986384755), ('healthyshoes', 0.048386676986384755), ('shoes', 0.047646261491321555), ('gesundheit', 0.04698397503244036), ('zurich', 0.04329006916996086)]",positive,"['gnlfootwear', 'gnl', 'gnlshoes', 'gnlschuhe', 'sneakers', 'gesundeschuhe', 'healthyshoes', 'shoes', 'gesundheit', 'zurich ']"
6,5,18,5_yoga_meditation_yoga meditation_health yoga,"[('yoga', 0.18284967806057528), ('meditation', 0.08984106756141927), ('yoga meditation', 0.03618727465443889), ('health yoga', 0.03618727465443889), ('practice', 0.03402671904673528), ('health', 0.03294072651350541), ('practice yoga', 0.02807128150628811), ('back', 0.023279353845990496), ('body', 0.021213642199018945), ('scientific', 0.021213642199018945)]",positive,"['yoga', 'meditation', 'yoga meditation', 'health yoga', 'practice', 'health', 'practice yoga', 'back', 'body', 'scientific ']"
7,6,18,6_topic_diabetes_new research topic_research topic,"[('topic', 0.08128519887427844), ('diabetes', 0.050064446109843175), ('new research topic', 0.037629596434001815), ('research topic', 0.036421901813077535), ('share insights topic', 0.03270558627716148), ('submit new research', 0.03270558627716148), ('call papers submit', 0.03270558627716148), ('papers submit new', 0.03270558627716148), ('submit new', 0.03270558627716148), ('papers submit', 0.03270558627716148)]",positive,"['topic', 'diabetes', 'new research topic', 'research topic', 'share insights topic', 'submit new research', 'call papers submit', 'papers submit new', 'submit new', 'papers submit ']"
8,7,17,7_refugees_refugee_migrant refugee health_refugee health,"[('refugees', 0.08088471087355008), ('refugee', 0.0604492696377045), ('migrant refugee health', 0.045503424385615984), ('refugee health', 0.04448745685432529), ('migrant refugee', 0.04448745685432529), ('migration', 0.04222829195719135), ('migrant', 0.03806639195237065), ('migration nonstop', 0.03739755139873451), ('topics related migrant', 0.03739755139873451), ('articles reviews topics', 0.03739755139873451)]",positive,"['refugees', 'refugee', 'migrant refugee health', 'refugee health', 'migrant refugee', 'migration', 'migrant', 'migration nonstop', 'topics related migrant', 'articles reviews topics ']"
9,8,16,8_hepatitis_evolving_elimination_achieving,"[('hepatitis', 0.10545447246525567), ('evolving', 0.07003987479396165), ('elimination', 0.05845000296930808), ('achieving', 0.05229341688906953), ('evolving health systems', 0.04547606700664363), ('viralhepatitis', 0.04547606700664363), ('achieving elimination viralhepatitis', 0.04547606700664363), ('achieving elimination', 0.04547606700664363), ('within evolving', 0.04547606700664363), ('evolving health', 0.04547606700664363)]",positive,"['hepatitis', 'evolving', 'elimination', 'achieving', 'evolving health systems', 'viralhepatitis', 'achieving elimination viralhepatitis', 'achieving elimination', 'within evolving', 'evolving health ']"
10,9,14,9_le chat viens_gaymer_warcraft avec_warcraft,"[('le chat viens', 0.08647524407116237), ('gaymer', 0.08647524407116237), ('warcraft avec', 0.08647524407116237), ('warcraft', 0.08647524407116237), ('play french livestream', 0.08647524407116237), ('un petit', 0.08647524407116237), ('viens', 0.08647524407116237), ('un petit coucou', 0.08647524407116237), ('stream twitch gaymer', 0.08647524407116237), ('french livestream', 0.08647524407116237)]",positive,"['le chat viens', 'gaymer', 'warcraft avec', 'warcraft', 'play french livestream', 'un petit', 'viens', 'un petit coucou', 'stream twitch gaymer', 'french livestream ']"
11,10,14,10_princess_charmant_charmant didi_charmant didi princess,"[('princess', 0.11596224553151198), ('charmant', 0.10571394382299082), ('charmant didi', 0.10571394382299082), ('charmant didi princess', 0.10571394382299082), ('didi princess', 0.10571394382299082), ('didi', 0.10436602097836079), ('stay', 0.09541621442295249), ('tc', 0.08222195630677062), ('attention', 0.07406287403904957), ('stayed', 0.052744659755762355)]",positive,"['princess', 'charmant', 'charmant didi', 'charmant didi princess', 'didi princess', 'didi', 'stay', 'tc', 'attention', 'stayed ']"
