Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,583,-1_health_people_care_taiwan,"[('health', 0.009108730258737404), ('people', 0.008228755672977256), ('care', 0.006537800136830013), ('taiwan', 0.00636039613563443), ('healthcare', 0.005944584656605249), ('dont', 0.005831359207782041), ('amp', 0.005418357310253947), ('get', 0.004967645596980645), ('like', 0.004951219792045387), ('covid19', 0.004628460476489784)]",negative,"['health', 'people', 'care', 'taiwan', 'healthcare', 'dont', 'amp', 'get', 'like', 'covid ']"
1,0,689,0_health_taiwan_covid19_coronavirus,"[('health', 0.012554947290157877), ('taiwan', 0.01093033152031561), ('covid19', 0.008404731558811324), ('coronavirus', 0.007510813077192476), ('cases', 0.007465434406754344), ('quarantine', 0.007288208637036518), ('china', 0.006460109759459031), ('amp', 0.006216048942047846), ('covid', 0.005804721006835794), ('mental', 0.005292538782320747)]",negative,"['health', 'taiwan', 'covid', 'coronavirus', 'cases', 'quarantine', 'china', 'amp', 'covid', 'mental ']"
2,1,140,1_mask_masks_wearing_wear,"[('mask', 0.045641943396917725), ('masks', 0.0183984031690573), ('wearing', 0.014459294893920867), ('wear', 0.013296754760919226), ('wear mask', 0.011475174592708057), ('card', 0.009972222252813594), ('medical', 0.00935438890153647), ('getting', 0.009109080214193523), ('even', 0.008931772298829608), ('wearing mask', 0.008839724524598393)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'card', 'medical', 'getting', 'even', 'wearing mask ']"
3,2,84,2_taiwancanhelp preventing spread_health human right_believe health human_human right taiwancanhelp,"[('taiwancanhelp preventing spread', 0.11620664203618979), ('health human right', 0.11620664203618979), ('believe health human', 0.11620664203618979), ('human right taiwancanhelp', 0.11620664203618979), ('preventing spread covid19', 0.11620664203618979), ('believe health', 0.11620664203618979), ('taiwancanhelp preventing', 0.11620664203618979), ('right taiwancanhelp', 0.11620664203618979), ('right taiwancanhelp preventing', 0.11620664203618979), ('preventing spread', 0.11581265365491725)]",negative,"['taiwancanhelp preventing spread', 'health human right', 'believe health human', 'human right taiwancanhelp', 'preventing spread covid', 'believe health', 'taiwancanhelp preventing', 'right taiwancanhelp', 'right taiwancanhelp preventing', 'preventing spread ']"
4,3,73,3_protest_protests_hong_kong,"[('protest', 0.03406628673235476), ('protests', 0.03079629942547474), ('hong', 0.020997585138039194), ('kong', 0.018724051809993283), ('hong kong', 0.018724051809993283), ('police', 0.013910418580293809), ('hongkong', 0.012737699482014675), ('power', 0.01077805340785857), ('people', 0.010477772496781328), ('last', 0.009603028786368515)]",negative,"['protest', 'protests', 'hong', 'kong', 'hong kong', 'police', 'hongkong', 'power', 'people', 'last ']"
5,4,66,4_hospital_wuhan_hospitals_medical,"[('hospital', 0.03315219635580646), ('wuhan', 0.02181569301224979), ('hospitals', 0.01910114287495467), ('medical', 0.018784661488852366), ('staff', 0.014320880815813628), ('supplies', 0.013729860205021323), ('supply', 0.011960327672173471), ('medical supply', 0.011875645049608549), ('red cross', 0.010620450234339943), ('patients', 0.010549939386192373)]",negative,"['hospital', 'wuhan', 'hospitals', 'medical', 'staff', 'supplies', 'supply', 'medical supply', 'red cross', 'patients ']"
6,5,50,5_wuhan_wuhancoronavirus_infected_wuhancoronovirus,"[('wuhan', 0.02297637260163939), ('wuhancoronavirus', 0.019610756912606223), ('infected', 0.017627136162747154), ('wuhancoronovirus', 0.015678589118051752), ('doctors', 0.01557612347881245), ('virus', 0.015293232608462269), ('chinas', 0.01346679222346968), ('medical', 0.01210564239610202), ('frontline', 0.012029124175616766), ('samples', 0.011166551239608427)]",negative,"['wuhan', 'wuhancoronavirus', 'infected', 'wuhancoronovirus', 'doctors', 'virus', 'chinas', 'medical', 'frontline', 'samples ']"
7,6,44,6_cases_number_singapore_total number,"[('cases', 0.06194835110753546), ('number', 0.04037835779239593), ('singapore', 0.03667997470059762), ('total number', 0.036432833833082635), ('total', 0.03596117468025609), ('covid19 cases', 0.03516600059554985), ('cases bringing', 0.03354921418761792), ('cases bringing total', 0.03354921418761792), ('bringing total number', 0.0328034179600828), ('bringing total', 0.032447215290995715)]",negative,"['cases', 'number', 'singapore', 'total number', 'total', 'covid cases', 'cases bringing', 'cases bringing total', 'bringing total number', 'bringing total ']"
8,7,41,7_symptoms_health commission_commission_province,"[('symptoms', 0.03383099780923285), ('health commission', 0.025089357006707284), ('commission', 0.025089357006707284), ('province', 0.02413406902508468), ('patients', 0.023205723413801786), ('chinas', 0.02309233516677098), ('chinas national', 0.022561477842202658), ('chinas national health', 0.022561477842202658), ('national health commission', 0.02184942286134657), ('covid19', 0.021465430305585252)]",negative,"['symptoms', 'health commission', 'commission', 'province', 'patients', 'chinas', 'chinas national', 'chinas national health', 'national health commission', 'covid ']"
9,8,33,8_due_late start_supply issues_late,"[('due', 0.04238264086594421), ('late start', 0.040535188047299456), ('supply issues', 0.040535188047299456), ('late', 0.03910587294163377), ('issues', 0.03731155194140634), ('supply', 0.03598333764319195), ('taiwan', 0.03355858190692666), ('start', 0.03180749981834754), ('vaccine', 0.03063742909302004), ('taiwans', 0.025241652401709922)]",negative,"['due', 'late start', 'supply issues', 'late', 'issues', 'supply', 'taiwan', 'start', 'vaccine', 'taiwans ']"
10,9,30,9_organization taiwan_health organization taiwan_letter world_letter world health,"[('organization taiwan', 0.21902696562341542), ('health organization taiwan', 0.21902696562341542), ('letter world', 0.2176606889509101), ('letter world health', 0.2176606889509101), ('open letter', 0.2176606889509101), ('open letter world', 0.2176606889509101), ('letter', 0.21378681074380904), ('world health organization', 0.20088690298725895), ('open', 0.19727813040204384), ('health organization', 0.19157176303694737)]",negative,"['organization taiwan', 'health organization taiwan', 'letter world', 'letter world health', 'open letter', 'open letter world', 'letter', 'world health organization', 'open', 'health organization ']"
11,10,30,10_ibuprofen_covid19_professional stop_believe covid19 take,"[('ibuprofen', 0.03839517505842789), ('covid19', 0.0225927702568983), ('professional stop', 0.0215531559701471), ('believe covid19 take', 0.0215531559701471), ('confirmed covid19 believe', 0.0215531559701471), ('preference ibuprofen currently', 0.0215531559701471), ('stop using', 0.0215531559701471), ('use ibuprofen healthcare', 0.0215531559701471), ('preference ibuprofen', 0.0215531559701471), ('use ibuprofen', 0.0215531559701471)]",negative,"['ibuprofen', 'covid', 'professional stop', 'believe covid take', 'confirmed covid believe', 'preference ibuprofen currently', 'stop using', 'use ibuprofen healthcare', 'preference ibuprofen', 'use ibuprofen ']"
12,11,28,11_coronavirus_stayhome socialdistanacing taiwan_pandemic quarantine covid19_socialdistanacing taiwan paying,"[('coronavirus', 0.04958337375812828), ('stayhome socialdistanacing taiwan', 0.0308578111084789), ('pandemic quarantine covid19', 0.0308578111084789), ('socialdistanacing taiwan paying', 0.0308578111084789), ('attention coronavirus', 0.0308578111084789), ('socialdistanacing taiwan', 0.0308578111084789), ('cdc nhs outbreak', 0.0308578111084789), ('stayhome socialdistanacing', 0.0308578111084789), ('cdc nhs', 0.0308578111084789), ('paying attention coronavirus', 0.0308578111084789)]",negative,"['coronavirus', 'stayhome socialdistanacing taiwan', 'pandemic quarantine covid', 'socialdistanacing taiwan paying', 'attention coronavirus', 'socialdistanacing taiwan', 'cdc nhs outbreak', 'stayhome socialdistanacing', 'cdc nhs', 'paying attention coronavirus ']"
13,12,27,12_immunity_omicron_understand_yet,"[('immunity', 0.045612699520566624), ('omicron', 0.038701473586230314), ('understand', 0.03763616112780531), ('yet', 0.03335535411398383), ('immune', 0.029892456187886874), ('dont yet', 0.027867186243339975), ('respiratory', 0.024821550395701733), ('people', 0.02446876686898523), ('understand longterm', 0.023890875731159594), ('without immunity', 0.023890875731159594)]",negative,"['immunity', 'omicron', 'understand', 'yet', 'immune', 'dont yet', 'respiratory', 'people', 'understand longterm', 'without immunity ']"
14,13,27,13_resources_wealth_etc_80,"[('resources', 0.05740797771010173), ('wealth', 0.025896255923056936), ('etc', 0.021723073118482813), ('80', 0.02070377793794013), ('poor', 0.0196947096618363), ('1ers', 0.01896233842997632), ('healthcare', 0.017622286531438484), ('majority', 0.01759547059360707), ('owns', 0.017253148281616778), ('middle', 0.01641751730718034)]",negative,"['resources', 'wealth', 'etc', '', 'poor', 'ers', 'healthcare', 'majority', 'owns', 'middle ']"
15,14,25,14_state_death_added_preexisting health,"[('state', 0.05316332957906323), ('death', 0.052726272930109536), ('added', 0.049873844169008724), ('preexisting health', 0.04913052429302321), ('preexisting', 0.048102591364314155), ('preexisting health conditions', 0.04137756938178166), ('patient', 0.04078870087433312), ('total number', 0.04020526860431608), ('cases', 0.03984220405190086), ('health conditions', 0.037330918410870786)]",negative,"['state', 'death', 'added', 'preexisting health', 'preexisting', 'preexisting health conditions', 'patient', 'total number', 'cases', 'health conditions ']"
16,15,21,15_sanitation_people world_healthcare_safe sanitation,"[('sanitation', 0.02829338019207262), ('people world', 0.026662426540865702), ('healthcare', 0.025744464174415827), ('safe sanitation', 0.02485599716007141), ('system', 0.0200156769661602), ('lack', 0.01942990524513208), ('safe', 0.018156297623452212), ('problem', 0.017960214019525), ('none', 0.01794674688313637), ('sanitation hygiene', 0.017631223907314787)]",negative,"['sanitation', 'people world', 'healthcare', 'safe sanitation', 'system', 'lack', 'safe', 'problem', 'none', 'sanitation hygiene ']"
17,16,20,16_campaign_taiwanelection_scapegoat_discredit,"[('campaign', 0.02234342799961928), ('taiwanelection', 0.021027541229161204), ('scapegoat', 0.019467012947555807), ('discredit', 0.01882248604242335), ('interest', 0.017851044955395058), ('news', 0.0161382607251028), ('taiwans', 0.01594608643298411), ('another', 0.015548909502151608), ('talking points part', 0.015223651488396968), ('points part efforts', 0.015223651488396968)]",negative,"['campaign', 'taiwanelection', 'scapegoat', 'discredit', 'interest', 'news', 'taiwans', 'another', 'talking points part', 'points part efforts ']"
18,17,20,17_politics_courage_educators people work_stuck muck mire,"[('politics', 0.03775815858292096), ('courage', 0.026010689644955527), ('educators people work', 0.026010689644955527), ('stuck muck mire', 0.026010689644955527), ('stuck muck', 0.026010689644955527), ('provincial leaders stuck', 0.026010689644955527), ('provincial leaders', 0.026010689644955527), ('care workers educators', 0.026010689644955527), ('politics havent courage', 0.026010689644955527), ('politics havent', 0.026010689644955527)]",negative,"['politics', 'courage', 'educators people work', 'stuck muck mire', 'stuck muck', 'provincial leaders stuck', 'provincial leaders', 'care workers educators', 'politics havent courage', 'politics havent ']"
19,18,19,18_babies_parents_baby_nurses,"[('babies', 0.06579980912706862), ('parents', 0.030802015778260552), ('baby', 0.02839556773129593), ('nurses', 0.02528795135103633), ('postpartum', 0.023426474259063617), ('baby quarantine', 0.023426474259063617), ('crib', 0.023426474259063617), ('center', 0.022595297987830082), ('horrifying', 0.02173781680246921), ('quarantine center covid', 0.01938292217888386)]",negative,"['babies', 'parents', 'baby', 'nurses', 'postpartum', 'baby quarantine', 'crib', 'center', 'horrifying', 'quarantine center covid ']"
20,19,18,19_demdebate_healthcare_demdebate democraticdebate_democraticdebate,"[('demdebate', 0.07010175547940567), ('healthcare', 0.06519369285959033), ('demdebate democraticdebate', 0.04464822372548869), ('democraticdebate', 0.04464822372548869), ('im', 0.03522476995551019), ('universal', 0.034698583643002746), ('health care', 0.026580695768443196), ('democraticdebate healthcare', 0.02462112733742706), ('demdebate democraticdebate healthcare', 0.02462112733742706), ('demdebate wants', 0.02462112733742706)]",negative,"['demdebate', 'healthcare', 'demdebate democraticdebate', 'democraticdebate', 'im', 'universal', 'health care', 'democraticdebate healthcare', 'demdebate democraticdebate healthcare', 'demdebate wants ']"
21,20,16,20_tested_recently_koreas_tests,"[('tested', 0.06527433407140598), ('recently', 0.03552871545989233), ('koreas', 0.03100907488842242), ('tests', 0.0295960517061661), ('antibodies', 0.026394979320068315), ('people', 0.026138400372986575), ('positive', 0.022708454533077918), ('far', 0.02213674415726416), ('far 20000', 0.020641480400444123), ('koreas deputy health', 0.020641480400444123)]",negative,"['tested', 'recently', 'koreas', 'tests', 'antibodies', 'people', 'positive', 'far', 'far', ' koreas deputy health ']"
22,21,16,21_died_hospital_doctor_whistleblower,"[('died', 0.07778736126182477), ('hospital', 0.06683246210243494), ('doctor', 0.051368340489892694), ('whistleblower', 0.04697107148651325), ('dead nurses', 0.040978506706955374), ('covid19 pneumonia', 0.040978506706955374), ('nanjing', 0.040978506706955374), ('friday morning another', 0.040978506706955374), ('morning another doctor', 0.040978506706955374), ('morning another', 0.040978506706955374)]",negative,"['died', 'hospital', 'doctor', 'whistleblower', 'dead nurses', 'covid pneumonia', 'nanjing', 'friday morning another', 'morning another doctor', 'morning another ']"
23,22,15,22_michigan_usa_covid19_via,"[('michigan', 0.05822039943929919), ('usa', 0.04735646851976625), ('covid19', 0.04480390588107872), ('via', 0.03363337572251052), ('joebiden', 0.032571944690529896), ('tops', 0.032571944690529896), ('covidtesting', 0.032571944690529896), ('uselection2020', 0.032571944690529896), ('usa uselection2020', 0.032571944690529896), ('usa uselection2020 coronavirus', 0.032571944690529896)]",negative,"['michigan', 'usa', 'covid', 'via', 'joebiden', 'tops', 'covidtesting', 'uselection', 'usa uselection', 'usa uselection coronavirus ']"
24,23,15,23_healthy covid19_safe healthy covid19_stay safe healthy_safe healthy,"[('healthy covid19', 0.061936056489496884), ('safe healthy covid19', 0.061936056489496884), ('stay safe healthy', 0.061936056489496884), ('safe healthy', 0.05867903143424734), ('stay safe', 0.05485128194359475), ('safe', 0.04569999967749153), ('stay', 0.0447936931762147), ('hope', 0.04267937227745775), ('healthy', 0.04176981751833019), ('everyone stay safe', 0.0417171445459479)]",negative,"['healthy covid', 'safe healthy covid', 'stay safe healthy', 'safe healthy', 'stay safe', 'safe', 'stay', 'hope', 'healthy', 'everyone stay safe ']"
25,24,15,24_alyamani_nasser_imam_09,"[('alyamani', 0.06542693634270569), ('nasser', 0.06374842300195938), ('imam', 0.06374842300195938), ('09', 0.06276975784718246), ('healing without', 0.06276975784718246), ('medicine imam', 0.06276975784718246), ('2020 ad', 0.06276975784718246), ('12 2020 ad', 0.06276975784718246), ('12 2020', 0.06276975784718246), ('09 12 2020', 0.06276975784718246)]",negative,"['alyamani', 'nasser', 'imam', '', 'healing without', 'medicine imam', ' ad', '', 'ad', '', '', '', '']"
26,25,15,25_lockdown_masks_people_taiwanese,"[('lockdown', 0.03855917275184564), ('masks', 0.03601355163451176), ('people', 0.03312534232572314), ('taiwanese', 0.03288977440360594), ('wear masks', 0.030970276379052124), ('wear', 0.02999046769587994), ('social distance wear', 0.028671862520202006), ('strange sat', 0.028671862520202006), ('anyway covid19 coronavirus', 0.028671862520202006), ('anyway covid19', 0.028671862520202006)]",negative,"['lockdown', 'masks', 'people', 'taiwanese', 'wear masks', 'wear', 'social distance wear', 'strange sat', 'anyway covid coronavirus', 'anyway covid ']"
27,26,14,26_taoyuan_airport_landed taiwans_taoyuan airport every,"[('taoyuan', 0.04155730874308987), ('airport', 0.03499959449623147), ('landed taiwans', 0.034384264248364854), ('taoyuan airport every', 0.034384264248364854), ('hand health declaration', 0.034384264248364854), ('good boy', 0.034384264248364854), ('reminded monitor temperature', 0.034384264248364854), ('reminded monitor', 0.034384264248364854), ('reminded', 0.034384264248364854), ('hand health', 0.034384264248364854)]",negative,"['taoyuan', 'airport', 'landed taiwans', 'taoyuan airport every', 'hand health declaration', 'good boy', 'reminded monitor temperature', 'reminded monitor', 'reminded', 'hand health ']"
28,27,14,27_egypt_first covid19_travel histories_histories israel egypt,"[('egypt', 0.11469822268092357), ('first covid19', 0.04691310748145887), ('travel histories', 0.040243466227906845), ('histories israel egypt', 0.040243466227906845), ('histories israel', 0.040243466227906845), ('histories', 0.040243466227906845), ('greece', 0.040243466227906845), ('26 recovered patients', 0.040243466227906845), ('26 recovered', 0.040243466227906845), ('travel histories israel', 0.040243466227906845)]",negative,"['egypt', 'first covid', 'travel histories', 'histories israel egypt', 'histories israel', 'histories', 'greece', ' recovered patients', ' recovered', 'travel histories israel ']"
29,28,13,28_chen_minister_minister chen shihchung_chen shihchung,"[('chen', 0.05529189970125157), ('minister', 0.044889307411565604), ('minister chen shihchung', 0.044713013410740174), ('chen shihchung', 0.044713013410740174), ('shihchung', 0.044713013410740174), ('health minister chen', 0.04391966054789852), ('minister chen', 0.042547404076343096), ('taiwans', 0.03568517400779453), ('daily', 0.03451577268153591), ('health minister', 0.03410061559500887)]",negative,"['chen', 'minister', 'minister chen shihchung', 'chen shihchung', 'shihchung', 'health minister chen', 'minister chen', 'taiwans', 'daily', 'health minister ']"
30,29,13,29_police brutality_brutality_racism_proud,"[('police brutality', 0.036378105468228596), ('brutality', 0.036378105468228596), ('racism', 0.033942722529062004), ('proud', 0.02872091147007588), ('police', 0.02850431216989799), ('behind', 0.02828560210755167), ('trump', 0.024823849823725475), ('coronavirus', 0.02396053551171993), ('think', 0.02301501410190258), ('go', 0.022008595863686784)]",negative,"['police brutality', 'brutality', 'racism', 'proud', 'police', 'behind', 'trump', 'coronavirus', 'think', 'go ']"
31,30,13,30_job_pay_time_better,"[('job', 0.050272791461770244), ('pay', 0.04258245909203104), ('time', 0.035645768549776996), ('better', 0.02797711715723176), ('much', 0.025946846758834456), ('salary', 0.02537646111686675), ('comes', 0.025136395730885122), ('perhaps theyre', 0.0244992405684299), ('theyre proud health', 0.0244992405684299), ('theyre proud', 0.0244992405684299)]",negative,"['job', 'pay', 'time', 'better', 'much', 'salary', 'comes', 'perhaps theyre', 'theyre proud health', 'theyre proud ']"
