Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,95,-1_health_covid19_quarantine_dont,"[('health', 0.013271260822547261), ('covid19', 0.011480876385731798), ('quarantine', 0.009600612061158621), ('dont', 0.008557551482405399), ('care', 0.008178900739969063), ('read', 0.008087194009043971), ('still', 0.007061705529908951), ('im', 0.007013059478630191), ('people', 0.006968225520274847), ('made', 0.006931880579180546)]",neutral,"['health', 'covid', 'quarantine', 'dont', 'care', 'read', 'still', 'im', 'people', 'made ']"
1,0,106,0_health_healthcare_good_people,"[('health', 0.03450608486716925), ('healthcare', 0.014899745563417886), ('good', 0.013893505515785123), ('people', 0.012384325778120361), ('good health', 0.009756872578319866), ('system', 0.00888714853525022), ('right', 0.007787031862517967), ('free', 0.007690474288125245), ('better', 0.0067930929082259135), ('make', 0.00667441409366813)]",neutral,"['health', 'healthcare', 'good', 'people', 'good health', 'system', 'right', 'free', 'better', 'make ']"
2,1,86,1_italy_europe_health_florence,"[('italy', 0.028507679761546195), ('europe', 0.010467582820632579), ('health', 0.010219799959375825), ('florence', 0.010083657938268348), ('safe', 0.00979423475525638), ('covid19', 0.008302925987248374), ('fotografia', 0.007804870317291735), ('covid', 0.007557710409914971), ('coronavirus', 0.00732518710547814), ('ok', 0.0071845101315817315)]",neutral,"['italy', 'europe', 'health', 'florence', 'safe', 'covid', 'fotografia', 'covid', 'coronavirus', 'ok ']"
3,2,57,2_mental_mental health_health_lockdown,"[('mental', 0.0646773039922355), ('mental health', 0.0638035858947017), ('health', 0.05122348391074734), ('lockdown', 0.02721236481884918), ('dont', 0.016826521462161587), ('better', 0.013152256081393298), ('amp', 0.012296923688679337), ('good', 0.012296923688679337), ('team', 0.011584961937103403), ('grief', 0.010665830507372834)]",neutral,"['mental', 'mental health', 'health', 'lockdown', 'dont', 'better', 'amp', 'good', 'team', 'grief ']"
4,3,45,3_system_vaccine_vaccination_health,"[('system', 0.016373083586540906), ('vaccine', 0.015370613450051064), ('vaccination', 0.014858394899399208), ('health', 0.014484687837999747), ('data', 0.013613787814866352), ('would', 0.013392684884380354), ('rate', 0.013001095536974308), ('amp', 0.012798229163028847), ('africa', 0.012447298168061815), ('need', 0.012279812689905679)]",neutral,"['system', 'vaccine', 'vaccination', 'health', 'data', 'would', 'rate', 'amp', 'africa', 'need ']"
5,4,26,4_amp_covid_ubi_enough,"[('amp', 0.02793986688793252), ('covid', 0.024900354336792548), ('ubi', 0.022644789987475912), ('enough', 0.022553940066009744), ('covid19', 0.022226435344793936), ('need', 0.01985785907156107), ('deaths', 0.017204864043938617), ('tested', 0.01615590436382015), ('also', 0.016120406149456958), ('want', 0.015676135372567273)]",neutral,"['amp', 'covid', 'ubi', 'enough', 'covid', 'need', 'deaths', 'tested', 'also', 'want ']"
6,5,24,5_nurses_covid19_nurses doctors_hospital,"[('nurses', 0.03736538058497874), ('covid19', 0.03453374722374882), ('nurses doctors', 0.03190002019109544), ('hospital', 0.03055215551682568), ('doctors', 0.029287205373579473), ('roma', 0.029009157703852814), ('department', 0.028975997629267253), ('covid19 department casalpalocco', 0.028975997629267253), ('department casalpalocco rome', 0.028975997629267253), ('medical staff covid19', 0.028975997629267253)]",neutral,"['nurses', 'covid', 'nurses doctors', 'hospital', 'doctors', 'roma', 'department', 'covid department casalpalocco', 'department casalpalocco rome', 'medical staff covid ']"
7,6,23,6_im_emergency_good_worried,"[('im', 0.05021315256424766), ('emergency', 0.028259303754080402), ('good', 0.023881431143505716), ('worried', 0.023549419795067), ('sleep', 0.020713741363185025), ('sleep well', 0.020713741363185025), ('hope', 0.019846296468145848), ('careful', 0.01960852154338402), ('day', 0.019383722780950206), ('health', 0.01876969064929718)]",neutral,"['im', 'emergency', 'good', 'worried', 'sleep', 'sleep well', 'hope', 'careful', 'day', 'health ']"
8,7,20,7_pay_salary_workers_work,"[('pay', 0.04406194480084793), ('salary', 0.039070947827158926), ('workers', 0.036753852867043496), ('work', 0.030550539814684398), ('workers pay', 0.029576601548714665), ('average', 0.02867213458613244), ('stayathome trump detroit', 0.02454732931696852), ('coronaviruslockdown', 0.02454732931696852), ('coronavirususa', 0.02454732931696852), ('wagoner', 0.02454732931696852)]",neutral,"['pay', 'salary', 'workers', 'work', 'workers pay', 'average', 'stayathome trump detroit', 'coronaviruslockdown', 'coronavirususa', 'wagoner ']"
9,8,18,8_mask_masks_covid19_movie,"[('mask', 0.07700079081575972), ('masks', 0.046745598293208), ('covid19', 0.03263439112644264), ('movie', 0.02689447632055129), ('cases covid19 family', 0.02689447632055129), ('like movie', 0.02689447632055129), ('several cases', 0.02689447632055129), ('several cases covid19', 0.02689447632055129), ('shop food', 0.02689447632055129), ('shop food mask', 0.02689447632055129)]",neutral,"['mask', 'masks', 'covid', 'movie', 'cases covid family', 'like movie', 'several cases', 'several cases covid', 'shop food', 'shop food mask ']"
10,9,18,9_covid19_italia italy_coronavirus_italy,"[('covid19', 0.05784141831071404), ('italia italy', 0.04857284041181904), ('coronavirus', 0.04824664776028065), ('italy', 0.04493476370873324), ('agr', 0.044120552281422046), ('italia', 0.042333080045021815), ('covid19 covid19', 0.04233124252985985), ('rome', 0.041010957723469445), ('contagio contagion', 0.029934022715466503), ('prescriptions contagio', 0.029934022715466503)]",neutral,"['covid', 'italia italy', 'coronavirus', 'italy', 'agr', 'italia', 'covid covid', 'rome', 'contagio contagion', 'prescriptions contagio ']"
