Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,255,-1_health_covid19_safe_day,"[('health', 0.02217905922475378), ('covid19', 0.011686206860963687), ('safe', 0.010012804956370799), ('day', 0.007941190137811324), ('care', 0.007693997196665245), ('world', 0.006924396364650288), ('good', 0.006569359209973761), ('people', 0.006560113592105006), ('belize', 0.006006449239624499), ('take', 0.005979567320547694)]",positive,"['health', 'covid', 'safe', 'day', 'care', 'world', 'good', 'people', 'belize', 'take ']"
1,0,79,0_covid19_belize_coronavirus_care,"[('covid19', 0.04400347254825963), ('belize', 0.022411660728728106), ('coronavirus', 0.018332996405347034), ('care', 0.0152305358460499), ('covid', 0.01494622426193678), ('health', 0.01413777621951518), ('doctor', 0.013969904459581042), ('pandemic', 0.01282186798845278), ('keep', 0.012228728941584636), ('us', 0.012124611333176452)]",positive,"['covid', 'belize', 'coronavirus', 'care', 'covid', 'health', 'doctor', 'pandemic', 'keep', 'us ']"
2,1,62,1_guatemala_honduras_health_covid19,"[('guatemala', 0.02753119098846664), ('honduras', 0.026066188935717487), ('health', 0.02556304413133652), ('covid19', 0.017861380491288905), ('vaccination', 0.01422432599812796), ('vaccines', 0.012815059751566436), ('national', 0.012721086786234407), ('community', 0.010550589393681734), ('amp', 0.010283175002009334), ('mexico', 0.009610251817654193)]",positive,"['guatemala', 'honduras', 'health', 'covid', 'vaccination', 'vaccines', 'national', 'community', 'amp', 'mexico ']"
3,2,40,2_health_amp_good_love,"[('health', 0.05687777319222376), ('amp', 0.028600080474338457), ('good', 0.024339475872952786), ('love', 0.02160846086623514), ('good health', 0.018653916428334773), ('benefits', 0.018653916428334773), ('like', 0.018102678928502765), ('improves', 0.01772491565454838), ('creatine', 0.01772491565454838), ('prevents', 0.01772491565454838)]",positive,"['health', 'amp', 'good', 'love', 'good health', 'benefits', 'like', 'improves', 'creatine', 'prevents ']"
4,3,39,3_mental health_mental_health_mean,"[('mental health', 0.11670657038248644), ('mental', 0.11670657038248644), ('health', 0.06984989690273093), ('mean', 0.01900694248380496), ('check', 0.016314007976361657), ('health mental health', 0.015435713538003246), ('mental health check', 0.015435713538003246), ('worth', 0.015435713538003246), ('mental health mental', 0.015435713538003246), ('health mental', 0.015435713538003246)]",positive,"['mental health', 'mental', 'health', 'mean', 'check', 'health mental health', 'mental health check', 'worth', 'mental health mental', 'health mental ']"
5,4,23,4_birthday_happy_love_happy birthday,"[('birthday', 0.0492573001978532), ('happy', 0.048920497132293794), ('love', 0.04205764061300913), ('happy birthday', 0.0397905087555302), ('many', 0.03749777761745215), ('happiness', 0.03735394054222968), ('life', 0.03453161583943532), ('give', 0.03408888874313832), ('health', 0.032942309456309785), ('year', 0.032355061391348416)]",positive,"['birthday', 'happy', 'love', 'happy birthday', 'many', 'happiness', 'life', 'give', 'health', 'year ']"
6,5,17,5_needs_cleaners_station_drivers,"[('needs', 0.046621949808392855), ('cleaners', 0.03567970692118169), ('station', 0.025396894072188723), ('drivers', 0.025396894072188723), ('card', 0.025396894072188723), ('workers', 0.020720866581507933), ('lives may god', 0.01990515895049971), ('bless keep', 0.01990515895049971), ('sacrifice dedication healthcare', 0.01990515895049971), ('may god', 0.01990515895049971)]",positive,"['needs', 'cleaners', 'station', 'drivers', 'card', 'workers', 'lives may god', 'bless keep', 'sacrifice dedication healthcare', 'may god ']"
7,6,13,6_nurses_without nurses_without_nurse,"[('nurses', 0.157718676488853), ('without nurses', 0.11553526960308583), ('without', 0.10796807371393499), ('nurse', 0.07379031046023393), ('without nurses would', 0.06531531048413043), ('patients without nurses', 0.06531531048413043), ('patients without', 0.06531531048413043), ('nursing', 0.06531531048413043), ('nurses would', 0.06531531048413043), ('patients', 0.053984036856967496)]",positive,"['nurses', 'without nurses', 'without', 'nurse', 'without nurses would', 'patients without nurses', 'patients without', 'nursing', 'nurses would', 'patients ']"
8,7,12,7_mask_wear_wear mask_wearing mask,"[('mask', 0.08463336889047007), ('wear', 0.05085260394646916), ('wear mask', 0.04481986437229117), ('wearing mask', 0.02911890064811093), ('health', 0.02823626524826553), ('masks', 0.027864496225490903), ('everywhere', 0.026891918623374703), ('10', 0.026097602224008445), ('wearing', 0.026097602224008445), ('pls', 0.02542630197323458)]",positive,"['mask', 'wear', 'wear mask', 'wearing mask', 'health', 'masks', 'everywhere', '', 'wearing', 'pls ']"
9,8,12,8_vaccines_fairs_country_week,"[('vaccines', 0.04224223399590418), ('fairs', 0.04223764996401102), ('country', 0.03749805146097291), ('week', 0.03520186166325348), ('rosario', 0.03501217907071285), ('units', 0.03501217907071285), ('el', 0.028161489330602783), ('vaccination', 0.027785240358483145), ('hospital community', 0.027441268512005776), ('special days hospital', 0.027441268512005776)]",positive,"['vaccines', 'fairs', 'country', 'week', 'rosario', 'units', 'el', 'vaccination', 'hospital community', 'special days hospital ']"
10,9,11,9_latino_en_nicepic_monterrico,"[('latino', 0.08610392544204051), ('en', 0.07535780798488075), ('nicepic', 0.05634410274293525), ('monterrico', 0.05634410274293525), ('instagood', 0.05634410274293525), ('johnnys place', 0.04416045197627419), ('johnnys', 0.04416045197627419), ('en johnnys', 0.04416045197627419), ('en johnnys place', 0.04416045197627419), ('monterrico health', 0.04416045197627419)]",positive,"['latino', 'en', 'nicepic', 'monterrico', 'instagood', 'johnnys place', 'johnnys', 'en johnnys', 'en johnnys place', 'monterrico health ']"
