Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2092,-1_health_good_care_covid19,"[('health', 0.00897456846664701), ('good', 0.0055325504394530805), ('care', 0.004869997962002138), ('covid19', 0.004792525571987742), ('thailand', 0.004670628500198561), ('take', 0.0043146904737663425), ('amp', 0.004189683758269322), ('safe', 0.004164798978991382), ('stay', 0.003934216905264224), ('people', 0.003914948590775856)]",positive,"['health', 'good', 'care', 'covid', 'thailand', 'take', 'amp', 'safe', 'stay', 'people ']"
1,0,4150,0_covid19_health_good_care,"[('covid19', 0.008289064416311612), ('health', 0.008055552981814169), ('good', 0.006884020594910486), ('care', 0.00677415372365943), ('safe', 0.006571569500699291), ('take', 0.006324293049930519), ('happy', 0.006122181370903559), ('take care', 0.005936543417334833), ('stay', 0.005343755726990892), ('thailand', 0.005249314501985457)]",positive,"['covid', 'health', 'good', 'care', 'safe', 'take', 'happy', 'take care', 'stay', 'thailand ']"
2,1,95,1_winmetawin_win metawin_metawin_win,"[('winmetawin', 0.07511547615420593), ('win metawin', 0.05874525203542553), ('metawin', 0.05874525203542553), ('win', 0.056791246985639296), ('bunny', 0.044363700559627885), ('safety body', 0.04235875955791211), ('care health safety', 0.04178309507864162), ('health safety body', 0.04167817932188499), ('body', 0.036388706649540505), ('health safety', 0.03618602263723065)]",positive,"['winmetawin', 'win metawin', 'metawin', 'win', 'bunny', 'safety body', 'care health safety', 'health safety body', 'body', 'health safety ']"
3,2,89,2_mental health_mental_health_health mental,"[('mental health', 0.09114896567887455), ('mental', 0.09047271795783404), ('health', 0.02457389111739328), ('health mental', 0.016494988125520832), ('health mental health', 0.01539860519099164), ('mental health mental', 0.013786306548805067), ('care mental health', 0.013198804449421406), ('care mental', 0.013198804449421406), ('mental health important', 0.011798958125661943), ('important', 0.009826450566928786)]",positive,"['mental health', 'mental', 'health', 'health mental', 'health mental health', 'mental health mental', 'care mental health', 'care mental', 'mental health important', 'important ']"
4,3,88,3_bright_bbrightvc_vachirawit_bright vachirawit,"[('bright', 0.05509026917252382), ('bbrightvc', 0.05480614470061562), ('vachirawit', 0.04449276242679688), ('bright vachirawit', 0.04278214440877101), ('bbrightvc bright', 0.03750007587055135), ('bbrightvc bright vachirawit', 0.03750007587055135), ('guy', 0.03717291560154855), ('take care health', 0.029326014418119613), ('care health', 0.028882052557459383), ('hi', 0.028369312211992608)]",positive,"['bright', 'bbrightvc', 'vachirawit', 'bright vachirawit', 'bbrightvc bright', 'bbrightvc bright vachirawit', 'guy', 'take care health', 'care health', 'hi ']"
5,4,78,4_healthy stay safe_healthy stay_colinfarrell_daystay,"[('healthy stay safe', 0.08774796103014933), ('healthy stay', 0.08618512062261344), ('colinfarrell', 0.08512615979135542), ('daystay', 0.08497443752070796), ('daystay healthy stay', 0.08438469688370975), ('daystay healthy', 0.08438469688370975), ('safe voyagers', 0.07370373607488934), ('voyagers colinfarrell', 0.07370373607488934), ('stay safe voyagers', 0.07370373607488934), ('voyagers', 0.07342510245357375)]",positive,"['healthy stay safe', 'healthy stay', 'colinfarrell', 'daystay', 'daystay healthy stay', 'daystay healthy', 'safe voyagers', 'voyagers colinfarrell', 'stay safe voyagers', 'voyagers ']"
6,5,68,5_im kasetsart veterinary_im kasetsart_veterinary teaching_veterinary teaching hospital,"[('im kasetsart veterinary', 0.21216821265538105), ('im kasetsart', 0.21216821265538105), ('veterinary teaching', 0.2082293437297125), ('veterinary teaching hospital', 0.2082293437297125), ('kasetsart', 0.2082293437297125), ('teaching hospital', 0.2068369116266099), ('bangkok im kasetsart', 0.20633087378931259), ('hospital bangkok im', 0.20609716407598944), ('kasetsart veterinary', 0.2053389946663834), ('teaching hospital bangkok', 0.2053389946663834)]",positive,"['im kasetsart veterinary', 'im kasetsart', 'veterinary teaching', 'veterinary teaching hospital', 'kasetsart', 'teaching hospital', 'bangkok im kasetsart', 'hospital bangkok im', 'kasetsart veterinary', 'teaching hospital bangkok ']"
7,6,58,6_vadhana_boxing_bangkok_toei bangkok,"[('vadhana', 0.0359690302990269), ('boxing', 0.032051219565536866), ('bangkok', 0.030258485557062023), ('toei bangkok', 0.029589103587315358), ('khlong toei bangkok', 0.029589103587315358), ('theptarin hospital khlong', 0.029589103587315358), ('hospital khlong toei', 0.029589103587315358), ('hospital khlong', 0.029589103587315358), ('khlong toei', 0.02872524641516982), ('toei', 0.028346109912433148)]",positive,"['vadhana', 'boxing', 'bangkok', 'toei bangkok', 'khlong toei bangkok', 'theptarin hospital khlong', 'hospital khlong toei', 'hospital khlong', 'khlong toei', 'toei ']"
8,7,57,7_spa_massage spa_thape mala_mala,"[('spa', 0.20221345614232072), ('massage spa', 0.19692045141053954), ('thape mala', 0.19388035169926562), ('mala', 0.19388035169926562), ('mala health massage', 0.19388035169926562), ('health massage spa', 0.19388035169926562), ('thape', 0.19388035169926562), ('mala health', 0.19388035169926562), ('thape mala health', 0.19388035169926562), ('spa bangkok', 0.19388035169926562)]",positive,"['spa', 'massage spa', 'thape mala', 'mala', 'mala health massage', 'health massage spa', 'thape', 'mala health', 'thape mala health', 'spa bangkok ']"
9,8,50,8_summicron street_leicacamera camera_summicron35 summicron street_summicron35,"[('summicron street', 0.05092614339094531), ('leicacamera camera', 0.05092614339094531), ('summicron35 summicron street', 0.05092614339094531), ('summicron35', 0.05092614339094531), ('streetphotography stayhome', 0.05092614339094531), ('summicron35 summicron', 0.05092614339094531), ('streetlife streetphotography stayhome', 0.05092614339094531), ('summicron street life', 0.05092614339094531), ('street life streetlife', 0.05092614339094531), ('bangkok summicron35 summicron', 0.05092614339094531)]",positive,"['summicron street', 'leicacamera camera', 'summicron summicron street', 'summicron', 'streetphotography stayhome', 'summicron summicron', 'streetlife streetphotography stayhome', 'summicron street life', 'street life streetlife', 'bangkok summicron summicron ']"
