,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,128,-1_us_health_bonus_amp,"[('us', 0.010686921058158386), ('health', 0.010657864799951509), ('bonus', 0.010121762256787764), ('amp', 0.009805434720642789), ('travel', 0.009340089777923518), ('holiday', 0.009319096631571055), ('sales', 0.008997860905305188), ('get', 0.008135499165318652), ('work', 0.007310761985560466), ('appreciate', 0.007303272034629256)]",positive
1,0,76,0_health_travel_healthy_fitness,"[('health', 0.033490658008514425), ('travel', 0.020664819866527306), ('healthy', 0.016263456651053748), ('fitness', 0.013982951196690548), ('wellness', 0.012595486429221966), ('mexico', 0.012531016174697757), ('safety', 0.010310058650792908), ('traveling', 0.010154503489135517), ('priority', 0.00983170412814594), ('summer', 0.009560089159873325)]",positive
2,1,57,1_happy_holiday_holidays_health,"[('happy', 0.037218388285777726), ('holiday', 0.030773571821851343), ('holidays', 0.021876775821123885), ('health', 0.019105563665220798), ('year', 0.017240341375964866), ('safe', 0.01713156681907868), ('love', 0.01653435759716775), ('happiness', 0.016245780291788275), ('happy holidays', 0.01532679890792005), ('holiday season', 0.015254952875734598)]",positive
3,2,51,2_safe_travels_safe travels_travel,"[('safe', 0.03734631172860794), ('travels', 0.026921588357306885), ('safe travels', 0.0261885869705451), ('travel', 0.025234808561826635), ('must', 0.017929007347291248), ('learn', 0.017233469989759616), ('fly', 0.013982293298088274), ('could fly', 0.013982293298088274), ('safety', 0.013516654947062926), ('traveling', 0.013312719594552021)]",positive
4,3,44,3_health_mental_mental health_messages,"[('health', 0.03597226666559758), ('mental', 0.03220380682999405), ('mental health', 0.0314638046413653), ('messages', 0.018619333481621515), ('message', 0.017869464296881084), ('accommodation', 0.014689362491417645), ('zoom', 0.014300864249860563), ('advice', 0.014300864249860563), ('nurses', 0.013074642442374312), ('stories', 0.011917386874883803)]",positive
5,4,35,4_bonus_nurse_job_hiring,"[('bonus', 0.03822457902741392), ('nurse', 0.038158760714086574), ('job', 0.03753591272250634), ('hiring', 0.03610106191572099), ('signon', 0.03331357164220978), ('tx', 0.031804761113162), ('signon bonus', 0.030836615746053658), ('sanantonio', 0.02532432332392169), ('apply', 0.023825431990731068), ('sanantonio tx', 0.023426010392588504)]",positive
6,5,31,5_supergirlbabygo jovialjill_jovialjill_millietv terrifictarrie goldenhearts_goldenhearts dougprays,"[('supergirlbabygo jovialjill', 0.07038424624242066), ('jovialjill', 0.07038424624242066), ('millietv terrifictarrie goldenhearts', 0.07038424624242066), ('goldenhearts dougprays', 0.07038424624242066), ('letgolifeflows sweetchristi skyfullofheart', 0.07038424624242066), ('goldenhearts', 0.07038424624242066), ('gerrinnesmac', 0.07038424624242066), ('letgolifeflows', 0.07038424624242066), ('letgolifeflows sweetchristi', 0.07038424624242066), ('skyfullofheart', 0.07038424624242066)]",positive
7,6,28,6_message_first_thanks_great,"[('message', 0.05609026293187673), ('first', 0.033047455468049367), ('thanks', 0.03255355188228866), ('great', 0.027334742402145996), ('covid19', 0.027062414379481998), ('sending', 0.02514977147692517), ('every', 0.024034513067672264), ('every day', 0.02194954139439596), ('great message', 0.020674480838881924), ('first responders', 0.020674480838881924)]",positive
8,7,26,7_amp_code_burstambassador_burst,"[('amp', 0.05273075720069695), ('code', 0.026443188295738468), ('burstambassador', 0.025137741381421566), ('burst', 0.024546487973271032), ('deals', 0.022131972820402582), ('free', 0.02072639597383141), ('health', 0.019967763461394866), ('bundles', 0.019020522371771372), ('coupon code', 0.01844331068366882), ('couponcode', 0.01844331068366882)]",positive
9,8,24,8_amp_vaccines_info_public health,"[('amp', 0.043519536455960975), ('vaccines', 0.039297817725926575), ('info', 0.032269883269653514), ('public health', 0.024587219749239605), ('public', 0.021712604490022023), ('get', 0.01949823825294207), ('travel etc', 0.019465446871695845), ('amp trends', 0.019465446871695845), ('coronavirus disease website', 0.019465446871695845), ('info amp feel', 0.019465446871695845)]",positive
