Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,293,-1_health_good_new_thank,"[('health', 0.01482177056640275), ('good', 0.0103599316693905), ('new', 0.009807979909502305), ('thank', 0.00954176406411772), ('nurses', 0.008817729007993583), ('amp', 0.008317632132617565), ('safe', 0.007690915058030015), ('stay', 0.0074747589230194375), ('care', 0.0073451313168209015), ('help', 0.007015902466823121)]",positive,"['health', 'good', 'new', 'thank', 'nurses', 'amp', 'safe', 'stay', 'care', 'help ']"
1,0,593,0_covid19_health_thank_help,"[('covid19', 0.014982154763999814), ('health', 0.012398697062233144), ('thank', 0.01150852306774146), ('help', 0.008833509510517938), ('thailand', 0.008137427100481704), ('care', 0.0077913431300907525), ('singapore', 0.0076859471803072425), ('happy', 0.007537026395924548), ('stay', 0.007399209630500402), ('good', 0.007394389676918116)]",positive,"['covid', 'health', 'thank', 'help', 'thailand', 'care', 'singapore', 'happy', 'stay', 'good ']"
2,1,46,1_mental_mental health_health_help,"[('mental', 0.05389744232932212), ('mental health', 0.05371696380564263), ('health', 0.03258867470448341), ('help', 0.018248496537834676), ('exercise', 0.016559520405317333), ('big', 0.010374769721056568), ('mentalhealth', 0.009852850264972922), ('workout', 0.009295879595636495), ('athletes', 0.009295879595636495), ('get', 0.009204532600790167)]",positive,"['mental', 'mental health', 'health', 'help', 'exercise', 'big', 'mentalhealth', 'workout', 'athletes', 'get ']"
3,2,43,2_staff_campaign_education_coliving,"[('staff', 0.02132009630090637), ('campaign', 0.019825681733824384), ('education', 0.01749872698471082), ('coliving', 0.016688899953983368), ('students', 0.015330659877849474), ('donated', 0.0149308067529279), ('housing', 0.014602787459735448), ('helping', 0.013850491751808552), ('priority', 0.012906741986085931), ('mask', 0.012342582100201319)]",positive,"['staff', 'campaign', 'education', 'coliving', 'students', 'donated', 'housing', 'helping', 'priority', 'mask ']"
4,3,41,3_leicacamera camera_street life streetlife_summicron35 summicron_leica,"[('leicacamera camera', 0.05748233419511108), ('street life streetlife', 0.05748233419511108), ('summicron35 summicron', 0.05748233419511108), ('leica', 0.05748233419511108), ('summicron35', 0.05748233419511108), ('thailand bangkok summicron35', 0.05748233419511108), ('leica leicacamera camera', 0.05748233419511108), ('bangkok summicron35 summicron', 0.05748233419511108), ('summicron35 summicron street', 0.05748233419511108), ('camera', 0.05748233419511108)]",positive,"['leicacamera camera', 'street life streetlife', 'summicron summicron', 'leica', 'summicron', 'thailand bangkok summicron', 'leica leicacamera camera', 'bangkok summicron summicron', 'summicron summicron street', 'camera ']"
5,4,37,4_vaccines_covid19 vaccines_covid19_vaccine,"[('vaccines', 0.0738140383365179), ('covid19 vaccines', 0.04225280345938708), ('covid19', 0.03979738868029689), ('vaccine', 0.026513491861642344), ('via', 0.018495807000671084), ('immunization', 0.0180912859696677), ('including', 0.016880547807583066), ('systems efficiently', 0.015516308854138312), ('delighted join hands', 0.015516308854138312), ('enhance capacity', 0.015516308854138312)]",positive,"['vaccines', 'covid vaccines', 'covid', 'vaccine', 'via', 'immunization', 'including', 'systems efficiently', 'delighted join hands', 'enhance capacity ']"
6,5,32,5_food_yoga_improve_oil,"[('food', 0.02021679276633174), ('yoga', 0.017587337722976666), ('improve', 0.01683676952063241), ('oil', 0.016704276250783273), ('natural', 0.01623033337643365), ('health', 0.014542696086875721), ('rambutan', 0.013827620898509285), ('fatloss', 0.013827620898509285), ('keto', 0.013827620898509285), ('detox', 0.013827620898509285)]",positive,"['food', 'yoga', 'improve', 'oil', 'natural', 'health', 'rambutan', 'fatloss', 'keto', 'detox ']"
7,6,23,6_protest_bahan_revolution_rally,"[('protest', 0.06597715948193623), ('bahan', 0.050386591484591306), ('revolution', 0.050386591484591306), ('rally', 0.050386591484591306), ('opposing', 0.04974442129607742), ('powerful', 0.04754590954527011), ('powerful today', 0.04742826891068162), ('protest rally', 0.04742826891068162), ('murderous regime', 0.04742826891068162), ('opposing murderous regime', 0.04742826891068162)]",positive,"['protest', 'bahan', 'revolution', 'rally', 'opposing', 'powerful', 'powerful today', 'protest rally', 'murderous regime', 'opposing murderous regime ']"
8,7,19,7_fans worried_protectenhypen_especially middle_safety especially middle,"[('fans worried', 0.08866267226238919), ('protectenhypen', 0.08866267226238919), ('especially middle', 0.08866267226238919), ('safety especially middle', 0.08866267226238919), ('dear fans worried', 0.08866267226238919), ('dear fans', 0.08866267226238919), ('safety especially', 0.08866267226238919), ('thank protectenhypen', 0.08866267226238919), ('response thank', 0.08866267226238919), ('response thank protectenhypen', 0.08866267226238919)]",positive,"['fans worried', 'protectenhypen', 'especially middle', 'safety especially middle', 'dear fans worried', 'dear fans', 'safety especially', 'thank protectenhypen', 'response thank', 'response thank protectenhypen ']"
9,8,17,8_cases_contact us_contact_enlivenhealthconcierge thailand,"[('cases', 0.04075700818200249), ('contact us', 0.036181389447433765), ('contact', 0.033346643058002036), ('enlivenhealthconcierge thailand', 0.03329450161021336), ('substantial increase', 0.03329450161021336), ('due substantial increase', 0.03329450161021336), ('due substantial', 0.03329450161021336), ('substantial', 0.03329450161021336), ('us', 0.032742868328080287), ('thailand', 0.031184383220429338)]",positive,"['cases', 'contact us', 'contact', 'enlivenhealthconcierge thailand', 'substantial increase', 'due substantial increase', 'due substantial', 'substantial', 'us', 'thailand ']"
