,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,4081,-1_health_travel_bonus_get,"[('health', 0.00835365521376662), ('travel', 0.006257331398319191), ('bonus', 0.0053425105950423825), ('get', 0.005124380171354796), ('people', 0.005075722152997333), ('covid19', 0.004689946709332446), ('care', 0.004651000526878618), ('amp', 0.004621857279755735), ('like', 0.004458132591782524), ('dont', 0.004449257784078307)]",neutral
1,0,522,0_mental_mental health_holiday_health,"[('mental', 0.018272761012717877), ('mental health', 0.01754735474762211), ('holiday', 0.012658840701620884), ('health', 0.01224767271493582), ('holidays', 0.012159552685438979), ('day', 0.009138336877578522), ('workers', 0.007828658114865363), ('family', 0.006733920881860155), ('bonus', 0.006692198141448947), ('people', 0.006612992587335779)]",neutral
2,1,317,1_nurse_nurses_travel_travel nurse,"[('nurse', 0.03851702859407227), ('nurses', 0.03653263840946178), ('travel', 0.02638608192829859), ('travel nurse', 0.023204948841750957), ('rn', 0.01612746658150923), ('travel nurses', 0.016042592090135505), ('hospitals', 0.014706491306812869), ('dialysis travel', 0.013449494151104142), ('dialysis', 0.013245467642497297), ('traveling', 0.01292875535726533)]",neutral
3,2,249,2_bonus_points_get_salary,"[('bonus', 0.02868552470316258), ('points', 0.007292466203948057), ('get', 0.006779369152495987), ('salary', 0.006622946126530812), ('bonus points', 0.006032273725824688), ('would', 0.005940548954523298), ('year', 0.005442790262188095), ('got', 0.004876207470181477), ('dont', 0.004869971510409894), ('signing bonus', 0.0047897322647080555)]",neutral
4,3,200,3_mask_wear_wearing_wear mask,"[('mask', 0.03836611020535488), ('wear', 0.021990472497984016), ('wearing', 0.020870953079240556), ('wear mask', 0.017887427992668046), ('masks', 0.014889163694201091), ('wearing mask', 0.011943842036797632), ('message', 0.007438866840042434), ('protest', 0.007141134407258886), ('people', 0.006740761157008856), ('travel', 0.006399026250203417)]",neutral
5,4,197,4_insurance_health insurance_healthcare_discount,"[('insurance', 0.02822928446104658), ('health insurance', 0.020443594011762194), ('healthcare', 0.018597351778701855), ('discount', 0.016508229133747315), ('health', 0.015356322840987546), ('discounts', 0.010352284221062416), ('travel', 0.01012131688983154), ('plan', 0.008382252103299298), ('also', 0.007837512289216107), ('cost', 0.0072909663062331875)]",neutral
6,5,173,5_message_gop_campaign_biden,"[('message', 0.017065046811502595), ('gop', 0.01686839930055285), ('campaign', 0.01606049160796407), ('biden', 0.011760415764623283), ('trump', 0.010447544252527167), ('voters', 0.009011283442161639), ('amp', 0.00881407076997374), ('election', 0.00795113244896615), ('healthcare', 0.0072096264702408595), ('democrats', 0.00697054309641311)]",neutral
7,6,144,6_vaccine_vaccination_travel_flu,"[('vaccine', 0.04168191831786666), ('vaccination', 0.018214426919029067), ('travel', 0.015617896311459444), ('flu', 0.011059304576532753), ('dont', 0.009620396679497465), ('vaccines', 0.009427535882489315), ('get', 0.009094937334838463), ('people', 0.00842183545896206), ('vaccinated', 0.008420169013483489), ('vegan', 0.00789437037959239)]",neutral
8,7,95,7_gun_sales_mental_mental health,"[('gun', 0.04966924975955162), ('sales', 0.025183846844200736), ('mental', 0.0246267718489464), ('mental health', 0.024166435229056437), ('guns', 0.022553591939978097), ('gun sales', 0.022067988019210706), ('checks', 0.018195468362364887), ('background', 0.017739472305311893), ('background checks', 0.01628731564945919), ('health', 0.01565938660518455)]",neutral
9,8,84,8_covid_scared_covid19_symptoms,"[('covid', 0.027755885008236832), ('scared', 0.018529109595170613), ('covid19', 0.01605128160827719), ('symptoms', 0.01534391094679045), ('travel', 0.015289742507194452), ('im', 0.01413956909042396), ('ok', 0.01205187062035589), ('traveling', 0.011591252936961177), ('home', 0.009406166860574121), ('19', 0.008947365126995116)]",neutral
10,9,81,9_safe_safe travels_travels_travel,"[('safe', 0.051667664213623864), ('safe travels', 0.03946111870177531), ('travels', 0.03764749711019701), ('travel', 0.018467317355877894), ('sure', 0.010855630018016987), ('im', 0.010236879007329489), ('travel safe', 0.009683291997574736), ('know', 0.009674477455934593), ('people still', 0.00919927754628377), ('still', 0.00898460739444585)]",neutral
11,10,80,10_apply_rn_job_nurse,"[('apply', 0.042472647763138104), ('rn', 0.04218098286423809), ('job', 0.041346796331932834), ('nurse', 0.035101156338505524), ('click link bio', 0.03427880247725684), ('click link', 0.033438485202107786), ('might', 0.03310679844026511), ('great fit', 0.033071296650250256), ('link bio', 0.03305963332384387), ('bio', 0.03236846182156261)]",neutral
12,11,73,11_weight_health_body_goals,"[('weight', 0.023723286450112395), ('health', 0.020705932062694297), ('body', 0.015900313249325514), ('goals', 0.014825780194472546), ('gut', 0.013108363594731233), ('healthy', 0.011973763610323113), ('stress', 0.010615630058246799), ('thats', 0.010542833955153461), ('better', 0.010456580665930386), ('fitness', 0.010404642368266956)]",neutral
