,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,531,-1_health_message_us_travel,"[('health', 0.010296633068740098), ('message', 0.005596438163524515), ('us', 0.0054678428343412685), ('travel', 0.005290087282276142), ('get', 0.005232646828806908), ('hospital', 0.004673670755101774), ('people', 0.00438866103451592), ('amp', 0.004376133298193108), ('nigeria', 0.004135783010305935), ('free', 0.003969052776955487)]",positive
1,0,261,0_travel_health_covid19_abroad,"[('travel', 0.01851840393815135), ('health', 0.011843109586706445), ('covid19', 0.008386980728907536), ('abroad', 0.007687339588759178), ('state', 0.007199623067296646), ('traveling', 0.0069552493611657416), ('travelling', 0.0068296618733696655), ('care', 0.006721350528505736), ('system', 0.006000309439279488), ('nigeria', 0.005997888915793988)]",positive
2,1,189,1_may_allah_us_good,"[('may', 0.02908779643784066), ('allah', 0.0284080118378297), ('us', 0.01833453212012415), ('good', 0.017401508178862022), ('reward', 0.01719733309127168), ('good health', 0.0159949591117301), ('may allah', 0.015875789596462034), ('grant', 0.01296073425170814), ('health', 0.012429986811197107), ('ramadan', 0.010385475105257561)]",positive
3,2,177,2_workers_frontline_health_frontline health,"[('workers', 0.016051884926160144), ('frontline', 0.015658154834009577), ('health', 0.014323590862599862), ('frontline health', 0.012764023023874195), ('allowances', 0.012752181223616781), ('health workers', 0.012541721454858955), ('covid19', 0.012473877570137081), ('spread', 0.010892629449745792), ('allowance', 0.009927467967642349), ('payment', 0.009894625858486689)]",positive
4,3,157,3_bonus_1xbet_sign_code,"[('bonus', 0.03299375564542614), ('1xbet', 0.02327476543707113), ('sign', 0.02261825140872853), ('code', 0.017785211266716693), ('get', 0.015298767995261829), ('prizes', 0.014736225795409716), ('deposit', 0.014673457444909388), ('win', 0.01347030663459597), ('promo code', 0.012622391722301842), ('promo', 0.0121993911402115)]",positive
5,4,148,4_mask_nose_nose mask_mask also,"[('mask', 0.028005859107158745), ('nose', 0.02338066597499059), ('nose mask', 0.02081185302405879), ('mask also', 0.019503025975206967), ('nose mask also', 0.019503025975206967), ('mask also available', 0.019503025975206967), ('available', 0.019184040097679943), ('also available', 0.018906401094168454), ('stay', 0.01821699404134397), ('safe', 0.017267345126804785)]",positive
6,5,86,5_sale_price_bedroom_duplex,"[('sale', 0.03333153863376119), ('price', 0.032250641163432806), ('bedroom', 0.02508657303703649), ('duplex', 0.019062180957304112), ('swimming pool', 0.019062180957304112), ('estate', 0.01890819635121934), ('swimming', 0.01876007191971012), ('pool', 0.017973340650201234), ('location', 0.017711332988320522), ('asking price', 0.016587713571358374)]",positive
7,6,76,6_nurses_nurse_doctors_doctors nurses,"[('nurses', 0.03958139055228313), ('nurse', 0.03273965402845969), ('doctors', 0.014759267145705562), ('doctors nurses', 0.014143604862828733), ('really good', 0.012670955532341675), ('pandemic', 0.012496751507391947), ('nurses week', 0.011952465906335936), ('know', 0.011763236679955132), ('appreciate', 0.011537780064096767), ('reward', 0.011349575091040814)]",positive
8,7,70,7_birthday_happy birthday_happy_good,"[('birthday', 0.054835422940004826), ('happy birthday', 0.040587965379715915), ('happy', 0.030141744725748026), ('good', 0.02411847676923838), ('good health', 0.021055489400115496), ('health', 0.014765417255247625), ('life', 0.014197003724631667), ('god', 0.013571100297897518), ('may', 0.013528611721633058), ('bless', 0.011045437123881657)]",positive
9,8,64,8_hazard_allowance_hazard allowance_workers,"[('hazard', 0.04657826975033427), ('allowance', 0.04557675147432699), ('hazard allowance', 0.04493335272631144), ('workers', 0.03338086901353139), ('health workers', 0.028260349705745154), ('covid19', 0.01693655641294344), ('allowances', 0.016816885533827295), ('health', 0.01591997392260793), ('doctors', 0.015309529798196655), ('pay', 0.01467119508667729)]",positive
