Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,20150,-1_mental_mental health_health_care,"[('mental', 0.001314158845915581), ('mental health', 0.0012839672236407199), ('health', 0.0010901780176807527), ('care', 0.0010184737647123251), ('people', 0.001015125046553509), ('good', 0.0009274147586549901), ('im', 0.0009170197130819911), ('take', 0.0009157733275564338), ('hospital', 0.000914253645017204), ('appreciate', 0.0009071897553487836)]",positive,"['mental', 'mental health', 'health', 'care', 'people', 'good', 'im', 'take', 'hospital', 'appreciate ']"
1,0,1777,0_happy birthday_birthday_happy_happiness,"[('happy birthday', 0.014864818381135174), ('birthday', 0.012083012594070398), ('happy', 0.010940114278848289), ('happiness', 0.007052970855228213), ('may', 0.006877278177895855), ('good health', 0.006844777515136787), ('wishing', 0.00681116875153343), ('year', 0.006558476306209207), ('new year', 0.00636440994299836), ('wealth', 0.005345026300087626)]",positive,"['happy birthday', 'birthday', 'happy', 'happiness', 'may', 'good health', 'wishing', 'year', 'new year', 'wealth ']"
2,1,1186,1_vaccine_coronavirus_covid19 vaccine_vaccination,"[('vaccine', 0.006832605771897246), ('coronavirus', 0.005852842786443647), ('covid19 vaccine', 0.004803682952249244), ('vaccination', 0.004080251705915109), ('coronavirussa', 0.0032703286166699576), ('virus', 0.0029789039659921983), ('covid19', 0.00286679411879061), ('rollout', 0.0027482988004140156), ('vaccines', 0.002688635631419754), ('corona', 0.002669425187508953)]",positive,"['vaccine', 'coronavirus', 'covid vaccine', 'vaccination', 'coronavirussa', 'virus', 'covid', 'rollout', 'vaccines', 'corona ']"
3,2,758,2_amp_health amp_safe amp_health amp safety,"[('amp', 0.011307367477225471), ('health amp', 0.005184320301859629), ('safe amp', 0.0046922966470561295), ('health amp safety', 0.004250744418282876), ('amp safety', 0.004243999098581764), ('mining', 0.0037678791550269613), ('mine', 0.0028928799143469386), ('safety', 0.0024275289397085466), ('amp safe', 0.0022852620634275303), ('mine health', 0.0022698505974936317)]",positive,"['amp', 'health amp', 'safe amp', 'health amp safety', 'amp safety', 'mining', 'mine', 'safety', 'amp safe', 'mine health ']"
4,3,707,3_health mental health_health mental_mental health_mental,"[('health mental health', 0.022989350464602636), ('health mental', 0.022412195510655687), ('mental health', 0.020942586959695256), ('mental', 0.020048349254712185), ('health health', 0.01882945394873286), ('health good health', 0.018164094483884355), ('health good', 0.016154801333296494), ('mental health important', 0.01280696886323182), ('care mental', 0.011945826211129192), ('care mental health', 0.011629954804227644)]",positive,"['health mental health', 'health mental', 'mental health', 'mental', 'health health', 'health good health', 'health good', 'mental health important', 'care mental', 'care mental health ']"
5,4,700,4_valuable current_current prospective clients_current prospective_clients family safe,"[('valuable current', 0.028624196683643396), ('current prospective clients', 0.028624196683643396), ('current prospective', 0.028624196683643396), ('clients family safe', 0.028624196683643396), ('valuable current prospective', 0.028624196683643396), ('prospective clients family', 0.028624196683643396), ('prospective clients', 0.028604623017384194), ('days wedding birthday', 0.028585082468485682), ('clients family', 0.02856557493932395), ('lockdown days wedding', 0.028546100332696864)]",positive,"['valuable current', 'current prospective clients', 'current prospective', 'clients family safe', 'valuable current prospective', 'prospective clients family', 'prospective clients', 'days wedding birthday', 'clients family', 'lockdown days wedding ']"
6,5,545,5_south_africa_south africa_african,"[('south', 0.010223292518361127), ('africa', 0.01020669573547943), ('south africa', 0.008878942561956229), ('african', 0.005615855376531963), ('africans', 0.005502863815631204), ('south africans', 0.004538840710962604), ('south african', 0.004021854320608096), ('africas', 0.0037303830369420886), ('nations', 0.003564686591555165), ('coronavirus latest', 0.0035008234808982268)]",positive,"['south', 'africa', 'south africa', 'african', 'africans', 'south africans', 'south african', 'africas', 'nations', 'coronavirus latest ']"
7,6,534,6_gym_fitness_workout_exercise,"[('gym', 0.01713123762730197), ('fitness', 0.01542268362516126), ('workout', 0.009700557727444105), ('exercise', 0.007222745279537743), ('health fitness', 0.0062408621196815665), ('fit', 0.005562059065371282), ('training', 0.00494538934957303), ('fitness health', 0.004023369179162969), ('wellness', 0.003970193820634508), ('yoga', 0.003907141626124133)]",positive,"['gym', 'fitness', 'workout', 'exercise', 'health fitness', 'fit', 'training', 'fitness health', 'wellness', 'yoga ']"
8,7,515,7_mask_skin_masks_skincare,"[('mask', 0.017342797285640605), ('skin', 0.014639799345853988), ('masks', 0.010236284249004366), ('skincare', 0.009274450887727203), ('wear', 0.007550568990665892), ('wearing', 0.006880059160920173), ('wear mask', 0.005921089977100311), ('face', 0.005750474052377477), ('face mask', 0.0055949606354419035), ('wearing mask', 0.005172671074368557)]",positive,"['mask', 'skin', 'masks', 'skincare', 'wear', 'wearing', 'wear mask', 'face', 'face mask', 'wearing mask ']"
9,8,389,8_minister_minister health_mkhize_zweli,"[('minister', 0.022895573595580275), ('minister health', 0.01918427699439323), ('mkhize', 0.01551751508650056), ('zweli', 0.01430457481945835), ('health minister', 0.01337081011875229), ('zweli mkhize', 0.013326557940574298), ('dr zweli', 0.012676653783939073), ('dr zweli mkhize', 0.011976067350187348), ('minister dr zweli', 0.008176577969839558), ('dr', 0.007823219342759917)]",positive,"['minister', 'minister health', 'mkhize', 'zweli', 'health minister', 'zweli mkhize', 'dr zweli', 'dr zweli mkhize', 'minister dr zweli', 'dr ']"
10,9,382,9_stay safe_safe_safe healthy_take care,"[('stay safe', 0.01920023289119055), ('safe', 0.018800166933548867), ('safe healthy', 0.01694301494768685), ('take care', 0.014972418739853674), ('safe take', 0.014459938912075145), ('safe take care', 0.014075348812870158), ('stay', 0.014058432580440858), ('care stay', 0.012415841550081758), ('care stay safe', 0.01225972312622901), ('care safe', 0.011745278152226035)]",positive,"['stay safe', 'safe', 'safe healthy', 'take care', 'safe take', 'safe take care', 'stay', 'care stay', 'care stay safe', 'care safe ']"
11,10,356,10_pray_prayers_praying_prayer,"[('pray', 0.018814339331264834), ('prayers', 0.01299111573569658), ('praying', 0.010970759810176343), ('prayer', 0.00885408853993129), ('pray health', 0.007612953113678798), ('god', 0.006635206694415871), ('pray good', 0.005655411504529897), ('strength', 0.005636816836288882), ('praying health', 0.00511605033575765), ('workers', 0.004965438344352776)]",positive,"['pray', 'prayers', 'praying', 'prayer', 'pray health', 'god', 'pray good', 'strength', 'praying health', 'workers ']"
12,11,343,11_1111_health 1111_1111 health_wealth 1111,"[('1111', 0.11919986293119546), ('health 1111', 0.06007567714020939), ('1111 health', 0.05345955826406927), ('wealth 1111', 0.04544029734843312), ('wealth', 0.036779937691797646), ('1111 love', 0.03482030561441534), ('1111 good', 0.031725167337578415), ('1111 health wealth', 0.030336985801325256), ('health wealth 1111', 0.030222621696935285), ('1111 good health', 0.030011367642463926)]",positive,"['', 'health', '', 'health', 'wealth', ' wealth', ' love', ' good', ' health wealth', 'health wealth', '', 'good health ']"
13,12,343,12_sport_soccer_players_football,"[('sport', 0.00933986255037851), ('soccer', 0.00732305850677162), ('players', 0.007275455884654163), ('football', 0.006484918996869848), ('sports', 0.005096286450126707), ('handsome soccer loving', 0.004550478743809892), ('beautiful handsome soccer', 0.004550478743809892), ('handsome soccer', 0.004550478743809892), ('soccer loving', 0.004550478743809892), ('beautiful handsome', 0.004450142335920819)]",positive,"['sport', 'soccer', 'players', 'football', 'sports', 'handsome soccer loving', 'beautiful handsome soccer', 'handsome soccer', 'soccer loving', 'beautiful handsome ']"
14,13,332,13_food_chef_mushrooms_organic,"[('food', 0.011362541448747083), ('chef', 0.006814694804710329), ('mushrooms', 0.0065638945622312084), ('organic', 0.0065403804486303995), ('vegan health', 0.00650591002242736), ('mushroom', 0.00639510658882225), ('porcini', 0.0060802531664278375), ('bread', 0.005787293643203355), ('foodie', 0.005667866092457952), ('organic vegan', 0.005584797112059685)]",positive,"['food', 'chef', 'mushrooms', 'organic', 'vegan health', 'mushroom', 'porcini', 'bread', 'foodie', 'organic vegan ']"
15,14,329,14_happiness_peace_wealth_money,"[('happiness', 0.015231260974961428), ('peace', 0.012898234329545847), ('wealth', 0.011879271367385834), ('money', 0.011709359832989315), ('wealth happiness', 0.008671082553693164), ('health wealth', 0.007333661404263851), ('health wealth happiness', 0.0071498465810505875), ('love', 0.006374805751526382), ('rich', 0.006065795258415098), ('health happiness', 0.005830196253280163)]",positive,"['happiness', 'peace', 'wealth', 'money', 'wealth happiness', 'health wealth', 'health wealth happiness', 'love', 'rich', 'health happiness ']"
16,15,300,15_good morning_morning_safe good_safe good morning,"[('good morning', 0.023831887889149906), ('morning', 0.023424329943159506), ('safe good', 0.014594837799681125), ('safe good morning', 0.014521288681406381), ('care safe', 0.013921574601490872), ('take care safe', 0.013275428377523962), ('safe', 0.01113988758408182), ('blessed', 0.011036476949298607), ('weekend', 0.01078809213234686), ('take care', 0.00969020094226547)]",positive,"['good morning', 'morning', 'safe good', 'safe good morning', 'care safe', 'take care safe', 'safe', 'blessed', 'weekend', 'take care ']"
17,16,295,16_youth_children_young people_young,"[('youth', 0.013393141425393834), ('children', 0.011131197093365871), ('young people', 0.008339493072248409), ('young', 0.008266166437821043), ('parents', 0.00818366775059321), ('child', 0.006552124939499333), ('caregivers', 0.004144981504770042), ('kids', 0.0037826143570391783), ('childprotectionweek', 0.0035301563400478566), ('fp', 0.0032513049681357317)]",positive,"['youth', 'children', 'young people', 'young', 'parents', 'child', 'caregivers', 'kids', 'childprotectionweek', 'fp ']"
18,17,288,17_lockdown_lockdown lockdown_lockdown still_21 days lockdown,"[('lockdown', 0.016926015355134105), ('lockdown lockdown', 0.006327777182174492), ('lockdown still', 0.004182531637444092), ('21 days lockdown', 0.0041480250007191405), ('since lockdown', 0.0037066240058705176), ('safe let us', 0.0034459608254749437), ('21 days', 0.003417596952735), ('lock', 0.0034097882167335187), ('days lockdown', 0.003350789627762821), ('stay safe let', 0.0032671814404802695)]",positive,"['lockdown', 'lockdown lockdown', 'lockdown still', ' days lockdown', 'since lockdown', 'safe let us', ' days', 'lock', 'days lockdown', 'stay safe let ']"
