,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,335,-1_gift_health_gifts_amp,"[('gift', 0.00889952242386), ('health', 0.0076566477821253184), ('gifts', 0.00672601740266077), ('amp', 0.006375750401736715), ('healthy', 0.005035051970998401), ('healthcare', 0.004999469545598758), ('gifted', 0.00491573176055218), ('hamper', 0.004624729089682762), ('food', 0.004584084651818426), ('care', 0.004523680334995979)]",positive
1,0,203,0_food_provide_provide food_health,"[('food', 0.01700498552060849), ('provide', 0.014805359327384943), ('provide food', 0.014397435574978258), ('health', 0.013247625524858399), ('gift', 0.010003540369443736), ('families', 0.008074302156228381), ('good', 0.007566352495454941), ('us', 0.007412387371869095), ('people', 0.007238855106522296), ('worldhealthday', 0.006842991749242358)]",positive
2,1,155,1_birthday_happy birthday_happy_good,"[('birthday', 0.025092834123731454), ('happy birthday', 0.016323061444327713), ('happy', 0.012797902027928893), ('good', 0.012161768721691451), ('gift', 0.00984291894258628), ('health', 0.009663816723555319), ('wish', 0.009566719993033955), ('ji', 0.009076985580300968), ('bless', 0.008755614049941542), ('good health', 0.00822582262676744)]",positive
3,2,85,2_patients_doctors_patients first_always put patients,"[('patients', 0.08129430733155052), ('doctors', 0.06271000137634035), ('patients first', 0.05103727466111084), ('always put patients', 0.05103727466111084), ('always put', 0.05103727466111084), ('put patients', 0.05103727466111084), ('put patients first', 0.05103727466111084), ('best gift health', 0.050677242391018326), ('put', 0.04981551076525622), ('patients first best', 0.04793768056971819)]",positive
4,3,53,3_health day_world health day_world health_health,"[('health day', 0.03676491635642584), ('world health day', 0.0336193633272461), ('world health', 0.03242996209566391), ('health', 0.03104220460088939), ('health like', 0.030809968106038782), ('god never', 0.029817506570224736), ('god never ignore', 0.029817506570224736), ('ignore', 0.029817506570224736), ('never ignore', 0.029817506570224736), ('never', 0.029290949417157063)]",positive
5,4,53,4_mothers_mothers day_parents_mother,"[('mothers', 0.03788716110953568), ('mothers day', 0.025442492392860273), ('parents', 0.02476127680002657), ('mother', 0.024542500184800652), ('day', 0.02421319645970644), ('mothersday', 0.0208816654026369), ('mom', 0.020086178204889688), ('fathers day', 0.01707356629471935), ('fathers', 0.01707356629471935), ('love', 0.014260564116509777)]",positive
6,5,46,5_buddha_greatest_gift contentment_contentment,"[('buddha', 0.09374324257435829), ('greatest', 0.08281153819063108), ('gift contentment', 0.05904346966953174), ('contentment', 0.05745930506461127), ('gift contentment greatest', 0.056156647021644766), ('contentment greatest wealth', 0.0557991284658055), ('contentment greatest', 0.0557991284658055), ('greatest gift contentment', 0.05562332363035386), ('greatest wealth', 0.05527741770641444), ('health greatest', 0.05492988396328268)]",positive
7,6,46,6_rakshabandhan_brothers_sisters_rakhi,"[('rakshabandhan', 0.0238798493462803), ('brothers', 0.019870586430730378), ('sisters', 0.01672491354359716), ('rakhi', 0.015343332439937823), ('raksha bandhan', 0.013927720331198776), ('raksha', 0.013927720331198776), ('bandhan', 0.013927720331198776), ('gift', 0.012874349616161974), ('appointment', 0.012736557419495956), ('book appointment', 0.012736557419495956)]",positive
8,7,45,7_greatest_greatest gift contentment_gift contentment_faithfulness best,"[('greatest', 0.10981377056204193), ('greatest gift contentment', 0.07545149030341428), ('gift contentment', 0.07475143499632422), ('faithfulness best', 0.07356506584063495), ('faithfulness', 0.07331966394448423), ('greatest wealth', 0.07310772158178581), ('contentment', 0.07294349700275915), ('contentment greatest wealth', 0.07190546643594034), ('contentment greatest', 0.07190546643594034), ('faithfulness best relationship', 0.0718709520406628)]",positive
9,8,44,8_voucher_challenge_gift voucher_card,"[('voucher', 0.03703937847032805), ('challenge', 0.02731890027706515), ('gift voucher', 0.026266115237410338), ('card', 0.017510743491606893), ('gift', 0.016857319882237858), ('get', 0.016655312383050454), ('come join champion', 0.015090154668759839), ('lifecykul lovelifecykul', 0.015090154668759839), ('lifecykul lovelifecykul health', 0.015090154668759839), ('health giftalife', 0.015090154668759839)]",positive
10,9,42,9_love_amp_new year_safe,"[('love', 0.02205517325462592), ('amp', 0.021645751506676678), ('new year', 0.017096487716561717), ('safe', 0.016567361479851384), ('care', 0.016410129611410116), ('year', 0.01522010031320571), ('happy', 0.014600079419132555), ('new', 0.014492802228791147), ('happy new year', 0.014224454394349991), ('happy new', 0.014224454394349991)]",positive
11,10,39,10_christmas_merry christmas_merry_merrychristmas,"[('christmas', 0.0769068366896319), ('merry christmas', 0.039873856718007555), ('merry', 0.039873856718007555), ('merrychristmas', 0.026914580200703423), ('happiness', 0.02634304819551271), ('santa', 0.02456920191452948), ('wishing', 0.02010743443517936), ('good', 0.019015715056285718), ('may', 0.018853821987884434), ('good health', 0.018612990124594393)]",positive
12,11,39,11_sant shri asharamji_sant shri_sant_asharamji,"[('sant shri asharamji', 0.05187887114157841), ('sant shri', 0.05187887114157841), ('sant', 0.05163842678881983), ('asharamji', 0.05163842678881983), ('shri asharamji', 0.05163842678881983), ('bapu', 0.05035302199035551), ('asharamji bapu', 0.05035302199035551), ('shri asharamji bapu', 0.05035302199035551), ('shri', 0.047746293849384794), ('products', 0.021656779815793094)]",positive
13,12,37,12_easter_gift give_stay_home amp,"[('easter', 0.022648684447493485), ('gift give', 0.02123478231285531), ('stay', 0.021158902724037365), ('home amp', 0.02055906329925931), ('epidemiologist', 0.02055906329925931), ('mask wash', 0.018412847896014713), ('stopthespread', 0.018412847896014713), ('itsonus stopthespread omicron', 0.018412847896014713), ('wash hands watch', 0.018412847896014713), ('watch distance stay', 0.018412847896014713)]",positive
14,13,32,13_womens_womens day_women_day,"[('womens', 0.05127090050924421), ('womens day', 0.04394582243738684), ('women', 0.03524711539324886), ('day', 0.025996465658428062), ('womensday', 0.02560650446061501), ('march', 0.020364585673455508), ('package', 0.019209505697643844), ('womensdayoffer', 0.016048583411235127), ('health', 0.015841592088486314), ('healthcare package', 0.01563314769240786)]",positive
15,14,32,14_diwali_happydiwali_diwaligifts_festival,"[('diwali', 0.08165527575172954), ('happydiwali', 0.03465313488405907), ('diwaligifts', 0.030254362303412486), ('festival', 0.028926679209984027), ('diwalidecorations', 0.02646566979731677), ('happy diwali', 0.024059699815742516), ('diwalidecor', 0.02246479797024726), ('diwali india', 0.02246479797024726), ('love', 0.01844397438614184), ('occasion diwali', 0.018263352513909047)]",positive
16,15,32,15_may_peace_leave_leave gift,"[('may', 0.03719388232577675), ('peace', 0.034912885326813185), ('leave', 0.03470575799408127), ('leave gift', 0.03252837132474881), ('health behind', 0.03252837132474881), ('good health behind', 0.03252837132474881), ('knock', 0.03252837132474881), ('behind', 0.032217068162934674), ('pray happiness', 0.031059711626669578), ('knock early', 0.030616943189962546)]",positive
17,16,30,16_food amp_home care_home_emergency nos hospitals,"[('food amp', 0.034514277949976), ('home care', 0.029295398392588972), ('home', 0.029191102738637988), ('emergency nos hospitals', 0.02697673100719599), ('labs home care', 0.02697673100719599), ('isolation centers', 0.02697673100719599), ('food amp tiffin', 0.02697673100719599), ('helplines', 0.02697673100719599), ('nursing staff surgical', 0.02697673100719599), ('nos hospitals', 0.02697673100719599)]",positive
18,17,29,17_yoga_biggest_ancient_holistic approach,"[('yoga', 0.10480419538148203), ('biggest', 0.030702787700076402), ('ancient', 0.029805180789968987), ('holistic approach', 0.027055284377660818), ('approach', 0.025991176235794798), ('holistic', 0.02553697402345956), ('tradition', 0.024741391612019072), ('ancient tradition', 0.024230911145024746), ('world', 0.02386076985443975), ('invaluable gift', 0.023181807281086986)]",positive
19,18,29,18_nutrition_vegan_business_amazon,"[('nutrition', 0.039593890877790715), ('vegan', 0.03601260375226656), ('business', 0.02196549044489447), ('amazon', 0.02155821490548444), ('via', 0.020673752380246938), ('fitness', 0.0206680833043202), ('amazon business', 0.019547454082120032), ('nuts', 0.01914413830890608), ('healthyliving', 0.01831527185186589), ('organic', 0.017746703201228793)]",positive
20,19,28,19_workers_covid19 lockdown_lockdown_appreciation,"[('workers', 0.024401952003460185), ('covid19 lockdown', 0.02297839027977577), ('lockdown', 0.021196983426966385), ('appreciation', 0.01879387803372297), ('kanjaks', 0.018344897367734956), ('hardwork', 0.017799687836202026), ('association', 0.016939965600671174), ('bmc', 0.016588215127910397), ('giving', 0.015862857158836934), ('gesture', 0.015491181573622554)]",positive
21,20,28,20_valentines_valentine_rose_jewellery,"[('valentines', 0.039904658345980136), ('valentine', 0.021487348001459707), ('rose', 0.019952329172990068), ('jewellery', 0.019391184289849116), ('valentines day', 0.019391184289849116), ('nutrition', 0.01857375014086475), ('gift', 0.016394224307526194), ('love', 0.016195457546766656), ('tagged', 0.016077468853568193), ('valentinesdaygift', 0.016077468853568193)]",positive
22,21,26,21_tulsi_tulsi pujan diwas_tulsi pujan_pujan diwas,"[('tulsi', 0.10064563708912735), ('tulsi pujan diwas', 0.05492055620697999), ('tulsi pujan', 0.05492055620697999), ('pujan diwas', 0.05492055620697999), ('diwas', 0.05492055620697999), ('pujan', 0.05438111806633154), ('priceless gift sanatan', 0.04860827193438077), ('gift sanatan culture', 0.04860827193438077), ('sanatan culture society', 0.04860827193438077), ('bapu given priceless', 0.04860827193438077)]",positive
23,22,24,22_diwali_diwali gift_happydussehra_happydussehra come lets,"[('diwali', 0.07622815728354734), ('diwali gift', 0.05615584928504904), ('happydussehra', 0.05314004266977917), ('happydussehra come lets', 0.050906736631803326), ('ones goodness health', 0.050906736631803326), ('know diwalifestiveseason gifts', 0.050906736631803326), ('gift know diwalifestiveseason', 0.050906736631803326), ('call 919920223889', 0.050906736631803326), ('lets celebrate diwali', 0.050906736631803326), ('dear ones goodness', 0.050906736631803326)]",positive
24,23,24,23_sri_lanka_sri lanka_indias,"[('sri', 0.05616089240966847), ('lanka', 0.04847540482675647), ('sri lanka', 0.04847540482675647), ('indias', 0.037624292383207386), ('consignment', 0.032316936551170974), ('india', 0.02754349870078283), ('covid', 0.02540184046438761), ('vaccine', 0.024400991706316724), ('dedication qualities', 0.023556034495290153), ('internationalnursesday even though', 0.023556034495290153)]",positive
25,24,23,24_covid19 save_pandemic_covid19_covid19 save lot,"[('covid19 save', 0.0241381132608008), ('pandemic', 0.022056621893650447), ('covid19', 0.02107099653505733), ('covid19 save lot', 0.02073122548061105), ('save lot', 0.02073122548061105), ('fight covid19 save', 0.02073122548061105), ('fight covid19', 0.02073122548061105), ('medical staff whos', 0.02073122548061105), ('lot lives', 0.02073122548061105), ('gift god care', 0.02073122548061105)]",positive
