Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,391,-1_health_people_healthcare_vaccine,"[('health', 0.012849896812336978), ('people', 0.00828537489329884), ('healthcare', 0.007579527086485673), ('vaccine', 0.006891123631184871), ('dont', 0.006535477500240213), ('care', 0.0058634077461492936), ('get', 0.005495314925508547), ('us', 0.004983120178367772), ('covid19', 0.004545240481997477), ('one', 0.004513861858139634)]",negative,"['health', 'people', 'healthcare', 'vaccine', 'dont', 'care', 'get', 'us', 'covid', 'one ']"
1,0,241,0_covid19_panama_health_coronavirus,"[('covid19', 0.01921431001155263), ('panama', 0.015041521551602594), ('health', 0.013378668185024572), ('coronavirus', 0.012478408708721161), ('pandemic', 0.010023769914176157), ('vaccine', 0.008341397652343062), ('doctors', 0.007077349673943983), ('china', 0.006875693041856842), ('ministry', 0.006392407631915669), ('virus', 0.006221691601333319)]",negative,"['covid', 'panama', 'health', 'coronavirus', 'pandemic', 'vaccine', 'doctors', 'china', 'ministry', 'virus ']"
2,1,166,1_amp_democrat_trump_democrats,"[('amp', 0.027137316113126697), ('democrat', 0.014378401400206279), ('trump', 0.01433896375809577), ('democrats', 0.01249978382247243), ('dem', 0.011850588264583658), ('dems', 0.01073236787496983), ('police', 0.010539044488328691), ('safe', 0.010439276577096179), ('campaign', 0.010431485787721819), ('murder', 0.008370813107315517)]",negative,"['amp', 'democrat', 'trump', 'democrats', 'dem', 'dems', 'police', 'safe', 'campaign', 'murder ']"
3,2,78,2_nursing_homes_nursing homes_patients,"[('nursing', 0.05117975368448607), ('homes', 0.04105058363820672), ('nursing homes', 0.03988093999865423), ('patients', 0.03761610027437796), ('covid', 0.032232288367950196), ('covid patients', 0.030984044056838612), ('patients nursing', 0.026313279839874082), ('ny', 0.025130445628651514), ('patients nursing homes', 0.0249589744149791), ('covid patients nursing', 0.022171075891860032)]",negative,"['nursing', 'homes', 'nursing homes', 'patients', 'covid', 'covid patients', 'patients nursing', 'ny', 'patients nursing homes', 'covid patients nursing ']"
4,3,77,3_insurance_healthcare_health insurance_health,"[('insurance', 0.030970758315547874), ('healthcare', 0.026406613527740194), ('health insurance', 0.018540114292662453), ('health', 0.01794492542890448), ('care', 0.016598442788865266), ('health care', 0.015751201187730313), ('plan', 0.013382518465329868), ('option', 0.012725998629541995), ('would', 0.010653657174066954), ('years', 0.010509691340775331)]",negative,"['insurance', 'healthcare', 'health insurance', 'health', 'care', 'health care', 'plan', 'option', 'would', 'years ']"
5,4,76,4_mental_mental health_health_need,"[('mental', 0.06879598292047182), ('mental health', 0.06258624932135685), ('health', 0.03490774107308655), ('need', 0.010329212330386698), ('im', 0.009915336901995177), ('people', 0.009730512127497783), ('help', 0.00930952237957483), ('lockdown', 0.009140334906731709), ('day', 0.00879202090330763), ('uk', 0.00859566482272911)]",negative,"['mental', 'mental health', 'health', 'need', 'im', 'people', 'help', 'lockdown', 'day', 'uk ']"
6,5,52,5_mask_wearing_wear_wear mask,"[('mask', 0.05685131559721286), ('wearing', 0.025443413329176816), ('wear', 0.022935368697128117), ('wear mask', 0.0221745418388042), ('wearing mask', 0.01814280695902162), ('people', 0.016963015117537842), ('masks', 0.015873860857646072), ('dont', 0.013043566933428606), ('would', 0.012874627691187156), ('covid', 0.011517835794133353)]",negative,"['mask', 'wearing', 'wear', 'wear mask', 'wearing mask', 'people', 'masks', 'dont', 'would', 'covid ']"
7,6,38,6_sugar_health_nutrition_caffeine,"[('sugar', 0.06055216814930708), ('health', 0.02982935501301887), ('nutrition', 0.026442596022463277), ('caffeine', 0.01968170106445773), ('depression', 0.01968170106445773), ('sex', 0.01803471230900221), ('amp', 0.017839753259430862), ('fat', 0.01730445447659767), ('obesity', 0.014848714869142361), ('dairy', 0.014848714869142361)]",negative,"['sugar', 'health', 'nutrition', 'caffeine', 'depression', 'sex', 'amp', 'fat', 'obesity', 'dairy ']"
8,7,37,7_positive_coronavirus_positive coronavirus_tested,"[('positive', 0.04567774146718119), ('coronavirus', 0.045428355565890394), ('positive coronavirus', 0.03581536738750941), ('tested', 0.035627798275341065), ('tested positive', 0.03263073225781778), ('hospital', 0.032072387499579365), ('cruise', 0.0243665024284421), ('ship', 0.0243665024284421), ('cruise ship', 0.0243665024284421), ('israeli', 0.0243665024284421)]",negative,"['positive', 'coronavirus', 'positive coronavirus', 'tested', 'tested positive', 'hospital', 'cruise', 'ship', 'cruise ship', 'israeli ']"
9,8,35,8_canada_system_lockdown_literal god,"[('canada', 0.02617151461191802), ('system', 0.025888717702664286), ('lockdown', 0.020185764403081903), ('literal god', 0.01932421730194188), ('hes literal god', 0.01932421730194188), ('hes literal', 0.01932421730194188), ('literal', 0.01932421730194188), ('lmaooooo', 0.01932421730194188), ('open', 0.019184708910254852), ('covid19', 0.018778689727968676)]",negative,"['canada', 'system', 'lockdown', 'literal god', 'hes literal god', 'hes literal', 'literal', 'lmaooooo', 'open', 'covid ']"
