,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,247,-1_travel_health_message_amp,"[('travel', 0.0106137389093281), ('health', 0.010406713220496891), ('message', 0.009262037338591), ('amp', 0.008631229232811457), ('covid19', 0.008124540128163707), ('covid', 0.007966873726950393), ('people', 0.007511729046730127), ('one', 0.00632507025472476), ('lockdown', 0.005443475941438416), ('like', 0.0052647925554601014)]",neutral
1,0,301,0_travel_health_emergency_pass,"[('travel', 0.016841693451528954), ('health', 0.014133603812061399), ('emergency', 0.010276765242383556), ('pass', 0.009611971212014566), ('medical', 0.00946103931536352), ('help', 0.007873010512874952), ('please', 0.007478380137522662), ('need', 0.007396847449605077), ('medical emergency', 0.007305230244169474), ('take', 0.006400265216747451)]",neutral
2,1,192,1_voucher_salary_covid_please,"[('voucher', 0.01142200381491665), ('salary', 0.010431638328469484), ('covid', 0.010307018089854117), ('please', 0.01000598158751242), ('allowance', 0.0097788856539052), ('bonus', 0.008835050225823302), ('per', 0.00874480059404381), ('duty', 0.008566261920091406), ('pay', 0.008463968648114734), ('give', 0.00798223205240249)]",neutral
3,2,54,2_mask_passengers_masks_wear,"[('mask', 0.051655838653864854), ('passengers', 0.029470457412925793), ('masks', 0.020422203867335818), ('wear', 0.020156316372023145), ('wear mask', 0.01755579804586609), ('sir', 0.017353292529039825), ('inside', 0.014609416133175533), ('safety', 0.013611894698267433), ('inside compartment', 0.013497501875954372), ('compartment', 0.013497501875954372)]",neutral
4,3,50,3_hai_ko_main_amp,"[('hai', 0.01832131571814605), ('ko', 0.0179311041286701), ('main', 0.01720272796661909), ('amp', 0.016973950206963045), ('health', 0.01315643830199244), ('healthcare', 0.012991311193936287), ('smileonwheels', 0.01253194573651603), ('healthcannotwait', 0.01253194573651603), ('started visiting', 0.01253194573651603), ('smileonwheels started visiting', 0.01253194573651603)]",neutral
5,4,49,4_coronavirus_outbreak_keep_however travel,"[('coronavirus', 0.05297964687385887), ('outbreak', 0.03832365502600306), ('keep', 0.0378941367817468), ('however travel', 0.033872913141375936), ('follow tips keep', 0.033872913141375936), ('follow tips', 0.033872913141375936), ('safe preventcovid19 medlifepharmahealthcare', 0.033872913141375936), ('safe preventcovid19', 0.033872913141375936), ('coronavirus outbreak', 0.033872913141375936), ('tips keep', 0.033872913141375936)]",neutral
6,5,46,5_nurses_doctors_hospital_suggestion,"[('nurses', 0.03902476117862904), ('doctors', 0.02958037648494406), ('hospital', 0.028100567153030227), ('suggestion', 0.02446244590098007), ('worker', 0.023693605001310486), ('working', 0.021579887459972233), ('doctors nurses', 0.021513031170783157), ('staff', 0.02135148485442675), ('corona', 0.021317180222772694), ('worker whos', 0.017513537109739453)]",neutral
7,6,46,6_quarantine_whose_dont_travellers,"[('quarantine', 0.04990221580504642), ('whose', 0.023069015438266015), ('dont', 0.02237325216641947), ('travellers', 0.01580007052502345), ('quarantine period', 0.014779235583781565), ('healthy', 0.014752185241222923), ('city', 0.013327570456320423), ('chattarpur aero', 0.012992384848995701), ('aero city', 0.012992384848995701), ('chattarpur aero city', 0.012992384848995701)]",neutral
8,7,43,7_amp_govt_health_ride,"[('amp', 0.037468226889328486), ('govt', 0.022590998354293183), ('health', 0.015125764079663062), ('ride', 0.014251590635537575), ('free', 0.012783104912336316), ('liquor', 0.011652583573176846), ('take responsibility', 0.011652583573176846), ('congress', 0.011109580541230183), ('responsibility', 0.01088738425569868), ('care', 0.010115771378896823)]",neutral
9,8,38,8_vaccine_vaccination_dose_complete vaccination,"[('vaccine', 0.0587690409424453), ('vaccination', 0.030463766859303097), ('dose', 0.028416628135336214), ('complete vaccination', 0.023077470237179487), ('complete', 0.023077470237179487), ('covishield', 0.022656313789416606), ('success', 0.019491467589550966), ('covaxin', 0.018730902852172354), ('dose vaccine', 0.018730902852172354), ('gap', 0.016806443974744314)]",neutral
