,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,149,-1_health_nurses_donation_covid19,"[('health', 0.014134185419589178), ('nurses', 0.010534316450198979), ('donation', 0.010048725796614746), ('covid19', 0.009062896512352635), ('charity', 0.008991772606892153), ('grant', 0.008715709744296276), ('support', 0.008540622577947236), ('community', 0.008453141016832996), ('thank', 0.008413820817986918), ('thanks', 0.007863231329900333)]",positive
1,0,196,0_mental_mental health_health_charity,"[('mental', 0.03146242868298099), ('mental health', 0.029773831061477504), ('health', 0.028975097514360948), ('charity', 0.020078961426569703), ('support', 0.012714351129538795), ('donation', 0.011599328452184204), ('help', 0.010196703247425802), ('mens', 0.009974825330513774), ('donations', 0.009409407595414337), ('fundraising', 0.008567172016819103)]",positive
2,1,130,1_grant_grants_health_amp,"[('grant', 0.029508716841298986), ('grants', 0.023633597597085863), ('health', 0.019859468552198657), ('amp', 0.016533148155428123), ('great', 0.011551732455032946), ('covid19', 0.010087951110083627), ('research', 0.010047704041809928), ('awarded', 0.007228265842032556), ('support', 0.00712995422312639), ('see', 0.00711904209343119)]",positive
3,2,59,2_migrant_migrants_advancingtheevidence_women,"[('migrant', 0.03639993051309475), ('migrants', 0.029351099132168865), ('advancingtheevidence', 0.019966637866974092), ('women', 0.019277383540884697), ('health', 0.018858208496310314), ('australia', 0.016087437574839797), ('workers', 0.015473654725967059), ('refugee', 0.014334454522780041), ('sexual reproductive', 0.013331421591530506), ('sexual reproductive health', 0.013331421591530506)]",positive
4,3,38,3_allah_covid_health_dua,"[('allah', 0.03514644516420085), ('covid', 0.034170983593380534), ('health', 0.02983283509491496), ('dua', 0.028345575484895875), ('may', 0.02604327229603497), ('may allah', 0.023568463480341955), ('good health', 0.021628581639508218), ('good', 0.021574261118817894), ('home', 0.019531534286207713), ('wealth', 0.01853944926912916)]",positive
5,4,38,4_granted_health_happy_beautiful,"[('granted', 0.03378245991307217), ('health', 0.02861370481459392), ('happy', 0.024937675879126608), ('beautiful', 0.024937675879126608), ('take', 0.024584514674900675), ('life', 0.02363869117305812), ('wish', 0.02307673375850663), ('safe', 0.022440496156897315), ('best', 0.021609084720962988), ('say', 0.02131357837914604)]",positive
6,5,30,5_blood_donation_plasma_donateblood,"[('blood', 0.053185546488412595), ('donation', 0.03042871450773314), ('plasma', 0.02702246243866793), ('donateblood', 0.02125643752408774), ('save3lives', 0.02125643752408774), ('blood plasma', 0.02125643752408774), ('today', 0.018316444770377607), ('supporthealthcareworkers medical', 0.018236603072126684), ('selfie picoftheday supporthealthcareworkers', 0.018236603072126684), ('plasmadonation wearamask', 0.018236603072126684)]",positive
7,6,29,6_nurses_fundraising_im fundraising_breast,"[('nurses', 0.03714778313286807), ('fundraising', 0.03685805636788642), ('im fundraising', 0.02530456999944319), ('breast', 0.02310486905154875), ('care', 0.022701423025641595), ('im', 0.021877137493449366), ('breast care', 0.020310928770956985), ('breast care nurses', 0.020310928770956985), ('mcgrath', 0.020310928770956985), ('care nurses', 0.01936535611337817)]",positive
8,7,24,7_access_covid_granted_practice,"[('access', 0.03602108738096065), ('covid', 0.031560700124441746), ('granted', 0.02661648356787504), ('practice', 0.024489106585042813), ('masks', 0.022035895378819743), ('work', 0.02174303143744218), ('latest', 0.019999835924039082), ('public health', 0.0196042313373242), ('vaccines', 0.018471767928593234), ('equitable access', 0.01824758535497995)]",positive
9,8,18,8_covid19_aid_cause_receive,"[('covid19', 0.04649456312100559), ('aid', 0.03665715185829355), ('cause', 0.032519718195061616), ('receive', 0.0302443026740325), ('perth', 0.02435375671505912), ('india', 0.023571578563885927), ('cardiology', 0.022632664006176677), ('supporting covid19', 0.022632664006176677), ('cardiology clinic melbourne', 0.022632664006176677), ('perth hospital', 0.022632664006176677)]",positive
