,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,557,-1_gift_care_amp_health,"[('gift', 0.01923827874655245), ('care', 0.011773748588292192), ('amp', 0.010472058908540253), ('health', 0.009592431433076042), ('gifts', 0.009194315522145797), ('nurses', 0.00899195276167046), ('nurse', 0.008830285265379373), ('day', 0.00868761564406369), ('thank', 0.006872722954922381), ('safe', 0.006860909856573099)]",positive
1,0,616,0_gift_care_thank_gifts,"[('gift', 0.017801164368110845), ('care', 0.014216808036903394), ('thank', 0.011337195713883265), ('gifts', 0.010828764223050014), ('nurses', 0.010766999087845824), ('nurse', 0.010646043297204007), ('health', 0.010111034213222668), ('hospital', 0.008862950930644627), ('today', 0.008653199539272396), ('day', 0.00841663666624476)]",positive
2,1,148,1_vouchers_gift_gift vouchers_christmas,"[('vouchers', 0.04035012403752537), ('gift', 0.03783538157433613), ('gift vouchers', 0.033007023943906526), ('christmas', 0.028243320349742855), ('available', 0.024994590508181775), ('voucher', 0.022847503068469055), ('vouchers available', 0.01770695842861251), ('gift vouchers available', 0.017075139173907412), ('massage', 0.017042339228994157), ('gift voucher', 0.015810834340618998)]",positive
3,2,145,2_mental_mental health_health_gift,"[('mental', 0.04755860630097113), ('mental health', 0.04567153463929367), ('health', 0.03856105817631458), ('gift', 0.019085885088212635), ('wellbeing', 0.015144125665912566), ('amp', 0.013006073649818407), ('mentalhealth', 0.011778245456419844), ('time', 0.010210307204511156), ('us', 0.009499236556440839), ('mind', 0.009420625473069473)]",positive
4,3,46,3_amp_gift_safe amp_gifts amp,"[('amp', 0.08224955828620376), ('gift', 0.012839072020124942), ('safe amp', 0.012165765766918985), ('gifts amp', 0.011718343110586744), ('im', 0.011396311481651319), ('safe', 0.01139575454392376), ('care', 0.011237513636183919), ('lovely', 0.01029329296976483), ('happy', 0.010207755454357996), ('gifts', 0.010046230186058575)]",positive
5,4,30,4_vaccine_amp_vaccination_century,"[('vaccine', 0.03393494166394961), ('amp', 0.0228359253966674), ('vaccination', 0.02197064320534499), ('century', 0.020317292809055566), ('studies', 0.019868979898810923), ('participants', 0.019868979898810923), ('covid19', 0.018747094477868802), ('back', 0.017826820899120684), ('freedom', 0.016931077340879636), ('health', 0.01650780654329793)]",positive
6,5,25,5_young_children_amp_people,"[('young', 0.02575082122248591), ('children', 0.025635702870051184), ('amp', 0.02141988496644966), ('people', 0.020635959858060982), ('young people', 0.020419434530090777), ('school', 0.019770899764400333), ('provide', 0.019584506897589813), ('homeless', 0.01904357118098517), ('provide food', 0.01878893046674192), ('families', 0.018624074207196892)]",positive
7,6,23,6_hug_giftideas_hug box_box,"[('hug', 0.14571410020053907), ('giftideas', 0.09724011088882002), ('hug box', 0.08461842865802263), ('box', 0.07600976371716128), ('thank', 0.06650701387661853), ('thanks thankyou', 0.06314939778765918), ('doctor fathersday', 0.06065289048894988), ('teacher doctor fathersday', 0.06065289048894988), ('hug nurse', 0.06065289048894988), ('thankyou thanksdad', 0.06065289048894988)]",positive
8,7,19,7_fitness_christmas_training_gift,"[('fitness', 0.07611528191031196), ('christmas', 0.05084636810841864), ('training', 0.04942430418675101), ('gift', 0.0475252746551399), ('give', 0.045515317754461763), ('fitness health', 0.04197251668087291), ('gift fitness', 0.03752145204253004), ('give great', 0.03752145204253004), ('give great gift', 0.03752145204253004), ('health', 0.032831282740578886)]",positive
9,8,17,8_mask_daughter_gifting_loving,"[('mask', 0.06916919365872716), ('daughter', 0.03448110169940263), ('gifting', 0.03127559644270548), ('loving', 0.03098077151492612), ('behind', 0.024784617211940897), ('xx', 0.023234081372194976), ('isabelle nominate', 0.022045033133420374), ('joshuas teacher', 0.022045033133420374), ('joshuas', 0.022045033133420374), ('isabelle nominate frontline', 0.022045033133420374)]",positive
