,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,253,-1_gift_health_good_god,"[('gift', 0.016902001617117104), ('health', 0.01465092069287405), ('good', 0.01179249324769232), ('god', 0.011380880294824426), ('life', 0.011371356924265339), ('happy', 0.010247476401606524), ('may', 0.009618395582800804), ('love', 0.009570976618972918), ('good health', 0.008753572907341715), ('gift life', 0.008351541304864546)]",positive
1,0,216,0_birthday_health_gift_happy,"[('birthday', 0.02338917947534255), ('health', 0.019789633717113956), ('gift', 0.01969394759446435), ('happy', 0.019222024662588034), ('good', 0.01784218708883751), ('god', 0.017595398789821113), ('life', 0.0160979676458075), ('happy birthday', 0.015673138184787775), ('good health', 0.015535389243034896), ('thank', 0.01291245756749617)]",positive
2,1,146,1_alhamdulillah gift_gift life_alhamdulillah_gift,"[('alhamdulillah gift', 0.06808108328965723), ('gift life', 0.06246080166032946), ('alhamdulillah', 0.06215957218600874), ('gift', 0.06201996776785791), ('health alhamdulillah', 0.060699273531463316), ('health alhamdulillah gift', 0.05949663733176583), ('alhamdulillah gift life', 0.059386964323746606), ('health', 0.05848923169066028), ('good health alhamdulillah', 0.0571028263929822), ('gift life good', 0.05686185339723917)]",positive
3,2,91,2_alhamdulillah_alhamdulillah numerous_alhamdulillah numerous bounties_bounties upon,"[('alhamdulillah', 0.13539156881108652), ('alhamdulillah numerous', 0.10219872373179338), ('alhamdulillah numerous bounties', 0.10219872373179338), ('bounties upon', 0.10219872373179338), ('numerous bounties upon', 0.10219872373179338), ('numerous bounties', 0.10219872373179338), ('bounties', 0.1015622138294899), ('bounties upon us', 0.10139580732822072), ('family alhamdulillah numerous', 0.10139580732822072), ('numerous', 0.10124925173869861)]",positive
4,3,50,3_nigeria_state_lagos_gift,"[('nigeria', 0.03200475432863694), ('state', 0.022835749787649726), ('lagos', 0.02080349009350552), ('gift', 0.016340549917455142), ('security', 0.01586181687331752), ('health', 0.013790597367165532), ('commissioner', 0.013127730129942188), ('hon', 0.011545495456495202), ('hon commissioner', 0.011545495456495202), ('oyo', 0.01057454458221168)]",positive
5,4,49,4_allah_almighty_life_almighty allah,"[('allah', 0.0595881678181027), ('almighty', 0.026502186876867607), ('life', 0.02642099077818444), ('almighty allah', 0.024558891986329448), ('gift life', 0.02370048432515504), ('health', 0.022447043715384515), ('good', 0.02184519678718932), ('gift', 0.02139846059972592), ('allah gift life', 0.020343164694819265), ('allah gift', 0.020343164694819265)]",positive
6,5,34,5_nurses_pads_nurse_sanitary,"[('nurses', 0.054447400899903374), ('pads', 0.029639818275231326), ('nurse', 0.028111896855485503), ('sanitary', 0.027608523939992677), ('menstrual', 0.021247556333405856), ('sanitary pads', 0.021247556333405856), ('week', 0.017379369691694638), ('nurses week', 0.016728210958374956), ('gift', 0.01663700755743884), ('unique', 0.01593566725005439)]",positive
7,6,27,6_clinic_children_nigeria_nurse,"[('clinic', 0.02844281350446167), ('children', 0.026306006607180774), ('nigeria', 0.021521145699192404), ('nurse', 0.019570205118626446), ('healthcare', 0.019353383093838522), ('nurses', 0.01829837054116116), ('healthforall immunization', 0.016564860549157172), ('clinic maternal sdg', 0.016564860549157172), ('srhr health', 0.016564860549157172), ('srhr', 0.016564860549157172)]",positive
8,7,27,7_benefits_portharcourt_fruits_treatment,"[('benefits', 0.028688617294209188), ('portharcourt', 0.02844281350446167), ('fruits', 0.027511831322137796), ('treatment', 0.02672531205772247), ('brain', 0.026083010331325204), ('health benefits', 0.026044529614718474), ('fruit', 0.024393019327910978), ('jute', 0.0236665089005936), ('therapy', 0.021186136778937468), ('healthy', 0.01910906146761824)]",positive
9,8,24,8_jesus_amen_name_name amen,"[('jesus', 0.04497621819282891), ('amen', 0.04295489009826888), ('name', 0.04028827965652727), ('name amen', 0.0379544286370847), ('jesus name', 0.03479155958399431), ('thanks', 0.03362278139568713), ('may', 0.032687673172135924), ('jesus name amen', 0.029872613824255077), ('father', 0.02906699903487584), ('thanks gift', 0.028894831819480448)]",positive
10,9,24,9_gifts worth_enough bringing far_far life_thank enough,"[('gifts worth', 0.06324328323996921), ('enough bringing far', 0.06267804763811285), ('far life', 0.06267804763811285), ('thank enough', 0.06267804763811285), ('cant thank enough', 0.06267804763811285), ('bringing far life', 0.06267804763811285), ('bringing far', 0.06267804763811285), ('thank enough bringing', 0.06267804763811285), ('enough bringing', 0.06267804763811285), ('life might', 0.06267804763811285)]",positive
11,10,20,10_covid19_sokoto_children_former,"[('covid19', 0.03637503328480494), ('sokoto', 0.029183674057502336), ('children', 0.021974495479090767), ('former', 0.020755969844727058), ('head', 0.020040299019131527), ('team', 0.018156847887937224), ('cancer', 0.017819594002795265), ('bafarawa garkuwan sokoto', 0.016259244642962207), ('bafarawa', 0.016259244642962207), ('bafarawa garkuwan', 0.016259244642962207)]",positive
12,11,20,11_care_health care_preventive health_preventive health care,"[('care', 0.10900260859514035), ('health care', 0.09168028904909772), ('preventive health', 0.06717835019669448), ('preventive health care', 0.06717835019669448), ('preventive', 0.06424729548581684), ('healthcare', 0.05324740322114302), ('packages', 0.05250453385576428), ('health care packages', 0.044851737342225875), ('care packages', 0.04257783418902278), ('package', 0.041609337489374724)]",positive
13,12,19,12_greatest_health greatest_gift contentment greatest_greatest gift contentment,"[('greatest', 0.12576231651039457), ('health greatest', 0.07217766928109964), ('gift contentment greatest', 0.07165825107713211), ('greatest gift contentment', 0.07165825107713211), ('contentment greatest wealth', 0.07165825107713211), ('greatest wealth', 0.07165825107713211), ('gift contentment', 0.07165825107713211), ('contentment greatest', 0.07165825107713211), ('relationship', 0.06828364583609876), ('contentment', 0.06644486387219174)]",positive
14,13,18,13_covid19_prayer_safe_wrapped sincerity tied,"[('covid19', 0.04610360894081951), ('prayer', 0.038966061120704644), ('safe', 0.034661565104378914), ('wrapped sincerity tied', 0.031704776790218506), ('sincerity tied care', 0.031704776790218506), ('tied care sealed', 0.031704776790218506), ('care sealed', 0.031704776790218506), ('wrapped sincerity', 0.031704776790218506), ('sincerity', 0.031704776790218506), ('sincerity tied', 0.031704776790218506)]",positive
15,14,15,14_gift loved_valentines_loved_book,"[('gift loved', 0.0354473408027269), ('valentines', 0.03478892511970447), ('loved', 0.03470397253331756), ('book', 0.02930875561958167), ('call', 0.028843048966757368), ('07030044300', 0.027945981495092687), ('book appointment', 0.027945981495092687), ('appointment', 0.027945981495092687), ('call 07030044300', 0.027945981495092687), ('discount', 0.027130879780160096)]",positive
16,15,14,15_like_want_hospitals_patients,"[('like', 0.13968620343278468), ('want', 0.13926452372612685), ('hospitals', 0.06155979727115276), ('patients', 0.05194780266371356), ('like people graves', 0.051375626410186), ('people graves', 0.051375626410186), ('graves want time', 0.051375626410186), ('time like', 0.051375626410186), ('want freedom like', 0.051375626410186), ('want freedom', 0.051375626410186)]",positive
17,16,13,16_benefits_gifts_pray_god,"[('benefits', 0.04384723167237212), ('gifts', 0.031797840712449725), ('pray', 0.027233515221644335), ('god', 0.025609465571716276), ('coz benefits', 0.02082288303370556), ('schoolstrike', 0.02082288303370556), ('environment educating people', 0.02082288303370556), ('schoolstrike undermine', 0.02082288303370556), ('deserves clearly', 0.02082288303370556), ('trees benefits deserve', 0.02082288303370556)]",positive
