Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,9586,-1_covid19_amp_covid_care,"[('covid19', 0.0027002050489747667), ('amp', 0.0023685779206974204), ('covid', 0.0021114476531481478), ('care', 0.0020175240232909223), ('health', 0.0018926540340158029), ('people', 0.0018651177138360208), ('hospital', 0.0018457624404834305), ('safe', 0.0017286491139830637), ('workers', 0.0017176726173781468), ('medical', 0.001612273686543794)]",positive,"['covid', 'amp', 'covid', 'care', 'health', 'people', 'hospital', 'safe', 'workers', 'medical ']"
1,0,1117,0_birthday_happy birthday_ji_long life,"[('birthday', 0.02433868121619862), ('happy birthday', 0.016365350545728755), ('ji', 0.01377926588006439), ('long life', 0.013672137228866064), ('birthday greetings', 0.013494849822091919), ('greetings', 0.013282311011637972), ('long', 0.012676420185425481), ('shri', 0.011611470474348328), ('health long', 0.01145425439405374), ('good health long', 0.011450442605187829)]",positive,"['birthday', 'happy birthday', 'ji', 'long life', 'birthday greetings', 'greetings', 'long', 'shri', 'health long', 'good health long ']"
2,1,846,1_friday happiness life_friday happiness_blessed friday happiness_blessed friday,"[('friday happiness life', 0.04242141898155827), ('friday happiness', 0.04242141898155827), ('blessed friday happiness', 0.0423512092444901), ('blessed friday', 0.04231886342421266), ('friday', 0.04158402527961177), ('blessed', 0.03640755732834085), ('morning sister blessed', 0.03093093618481712), ('sister blessed friday', 0.03040118596289178), ('sister blessed', 0.030319962606382818), ('morning blessed', 0.023615929373600325)]",positive,"['friday happiness life', 'friday happiness', 'blessed friday happiness', 'blessed friday', 'friday', 'blessed', 'morning sister blessed', 'sister blessed friday', 'sister blessed', 'morning blessed ']"
3,2,829,2_sunday happiness life_sunday happiness_healthy sunday happiness_healthy sunday,"[('sunday happiness life', 0.03492499842965958), ('sunday happiness', 0.03492499842965958), ('healthy sunday happiness', 0.03477464700263536), ('healthy sunday', 0.03477464700263536), ('happy healthy sunday', 0.03477464700263536), ('sunday', 0.03453593227930678), ('morning sister wish', 0.02362118074442633), ('wish happy healthy', 0.023587126678421794), ('happy healthy', 0.023167099861439402), ('wish happy', 0.02253784314556841)]",positive,"['sunday happiness life', 'sunday happiness', 'healthy sunday happiness', 'healthy sunday', 'happy healthy sunday', 'sunday', 'morning sister wish', 'wish happy healthy', 'happy healthy', 'wish happy ']"
4,3,820,3_morning sister wonderful_sister wonderful_sister wonderful day_wonderful day happiness,"[('morning sister wonderful', 0.04468911457112386), ('sister wonderful', 0.042529702816812315), ('sister wonderful day', 0.04231417550990797), ('wonderful day happiness', 0.028132583320466524), ('wonderful day', 0.028032542983166635), ('wonderful', 0.025862721704729415), ('good morning sister', 0.02218221535136134), ('morning sister', 0.022170207679659215), ('day happiness life', 0.020180321216327925), ('day happiness', 0.020173681372092737)]",positive,"['morning sister wonderful', 'sister wonderful', 'sister wonderful day', 'wonderful day happiness', 'wonderful day', 'wonderful', 'good morning sister', 'morning sister', 'day happiness life', 'day happiness ']"
5,4,492,4_alaikum sister_assalamu alaikum sister_dua sister_remember dua sister,"[('alaikum sister', 0.030211667296516427), ('assalamu alaikum sister', 0.03013692607762885), ('dua sister', 0.02485681087143409), ('remember dua sister', 0.024710895495066214), ('alaikum', 0.02366001769754435), ('assalamu alaikum', 0.02361315348341815), ('assalamu', 0.022705235643675544), ('sister assalamu', 0.0211365275143207), ('dua sister assalamu', 0.020640101687116177), ('jummamubarak', 0.020536213883288492)]",positive,"['alaikum sister', 'assalamu alaikum sister', 'dua sister', 'remember dua sister', 'alaikum', 'assalamu alaikum', 'assalamu', 'sister assalamu', 'dua sister assalamu', 'jummamubarak ']"
6,5,453,5_morning sister wish_sister wish happy_sister wish_weekend happiness life,"[('morning sister wish', 0.03696891351571861), ('sister wish happy', 0.03498940491400521), ('sister wish', 0.03496069638975715), ('weekend happiness life', 0.0317701970346897), ('weekend happiness', 0.03175871299752804), ('joyful weekend happiness', 0.03173418655216857), ('joyful weekend', 0.03173418655216857), ('healthy joyful weekend', 0.03173418655216857), ('weekend', 0.03126274527510893), ('healthy joyful', 0.03123258820444969)]",positive,"['morning sister wish', 'sister wish happy', 'sister wish', 'weekend happiness life', 'weekend happiness', 'joyful weekend happiness', 'joyful weekend', 'healthy joyful weekend', 'weekend', 'healthy joyful ']"
7,6,451,6_good health assalamu_health assalamu_bhai_alaikum bhai,"[('good health assalamu', 0.05973959503087952), ('health assalamu', 0.05959465984810676), ('bhai', 0.05002156558782664), ('alaikum bhai', 0.04775415305292002), ('assalamu alaikum bhai', 0.04775415305292002), ('health assalamu alaikum', 0.047238874522445136), ('assalamu', 0.04270919544400425), ('assalamu alaikum', 0.03385889281636229), ('alaikum', 0.033822972578356494), ('bhai wonderful', 0.02890899125333898)]",positive,"['good health assalamu', 'health assalamu', 'bhai', 'alaikum bhai', 'assalamu alaikum bhai', 'health assalamu alaikum', 'assalamu', 'assalamu alaikum', 'alaikum', 'bhai wonderful ']"
8,7,403,7_mask_socks_masks_wear,"[('mask', 0.025414988539781188), ('socks', 0.011849452522669366), ('masks', 0.011765471859654326), ('wear', 0.010366961780934804), ('face', 0.008603567377873362), ('skin', 0.008542449182832553), ('wear mask', 0.007872403612691897), ('wearing', 0.007531781766122709), ('wearing mask', 0.0058891600823714335), ('covid covid19', 0.00563732383701175)]",positive,"['mask', 'socks', 'masks', 'wear', 'face', 'skin', 'wear mask', 'wearing', 'wearing mask', 'covid covid ']"
9,8,385,8_mental_mental health_mentalhealth_mentalhealthmatters,"[('mental', 0.04529391294802491), ('mental health', 0.04392491284693361), ('mentalhealth', 0.00869675421811644), ('mentalhealthmatters', 0.006020044983898581), ('mental health important', 0.005855679099726575), ('care mental health', 0.005245608623147056), ('care mental', 0.005166087088333905), ('mental health day', 0.005087684682670567), ('mental health issues', 0.004899850798305473), ('important', 0.004792695311487465)]",positive,"['mental', 'mental health', 'mentalhealth', 'mentalhealthmatters', 'mental health important', 'care mental health', 'care mental', 'mental health day', 'mental health issues', 'important ']"
