Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,157,-1_health_amp_care_like,"[('health', 0.01962337658498518), ('amp', 0.010401747325313107), ('care', 0.008894231857874465), ('like', 0.008748302394410849), ('program', 0.006551195785232528), ('one', 0.005936587664730975), ('life', 0.005880554082993414), ('time', 0.005695924849813741), ('take', 0.0056531710812543655), ('love', 0.00539050790941063)]",positive,"['health', 'amp', 'care', 'like', 'program', 'one', 'life', 'time', 'take', 'love ']"
1,0,58,0_mental_mental health_health_day,"[('mental', 0.06337078430860361), ('mental health', 0.06097991112160141), ('health', 0.036208477006686265), ('day', 0.015165680111816352), ('last', 0.014037867276993455), ('week', 0.013285346222197972), ('think', 0.01203245766599439), ('im', 0.011498301940586035), ('see', 0.011195879225702324), ('last day', 0.010053463011005502)]",positive,"['mental', 'mental health', 'health', 'day', 'last', 'week', 'think', 'im', 'see', 'last day ']"
2,1,43,1_nurse_nurses_patients_amp,"[('nurse', 0.04880292675692096), ('nurses', 0.03126378583479834), ('patients', 0.028195255697656935), ('amp', 0.02616940873068763), ('comfort', 0.019255524694155004), ('quality', 0.01743961217448783), ('quality care patients', 0.017429353264278743), ('cnas', 0.017429353264278743), ('safety comfort', 0.017429353264278743), ('care patients', 0.017429353264278743)]",positive,"['nurse', 'nurses', 'patients', 'amp', 'comfort', 'quality', 'quality care patients', 'cnas', 'safety comfort', 'care patients ']"
3,2,36,2_health_healthy_energy_take,"[('health', 0.05440580600007126), ('healthy', 0.031096067786410827), ('energy', 0.028846977728846365), ('take', 0.01789434449619594), ('sickness', 0.016270744455599846), ('fighting sickness', 0.016270744455599846), ('health health', 0.016270744455599846), ('mens', 0.016270744455599846), ('mens health', 0.016270744455599846), ('daily', 0.015503568961490436)]",positive,"['health', 'healthy', 'energy', 'take', 'sickness', 'fighting sickness', 'health health', 'mens', 'mens health', 'daily ']"
4,3,35,3_success_wish_sponsors_health success,"[('success', 0.10105280173105446), ('wish', 0.08472641502453408), ('sponsors', 0.0771011742498366), ('health success', 0.07038562541142813), ('good health success', 0.07038562541142813), ('good health', 0.0695864759206371), ('sponsors good', 0.0634266131416635), ('sponsors good health', 0.0634266131416635), ('wish sponsors', 0.0634266131416635), ('wish sponsors good', 0.0634266131416635)]",positive,"['success', 'wish', 'sponsors', 'health success', 'good health success', 'good health', 'sponsors good', 'sponsors good health', 'wish sponsors', 'wish sponsors good ']"
5,4,35,4_gun_violence_weapons_gop,"[('gun', 0.027478945311207047), ('violence', 0.025189033201939794), ('weapons', 0.01785252364938892), ('gop', 0.013566786139042131), ('republican', 0.013566786139042131), ('gun violence', 0.013566786139042131), ('thats', 0.013507970722846254), ('mental health', 0.013423086203667235), ('mental', 0.013174407443448548), ('appreciate', 0.012908312689504613)]",positive,"['gun', 'violence', 'weapons', 'gop', 'republican', 'gun violence', 'thats', 'mental health', 'mental', 'appreciate ']"
6,5,25,5_care_patients_healthcare_patient,"[('care', 0.031198228670698123), ('patients', 0.02397371329237588), ('healthcare', 0.020955962295785398), ('patient', 0.020110125574975247), ('health', 0.018306586994176026), ('experience', 0.017774886606697772), ('help', 0.016850745065214518), ('tools', 0.0165194723407334), ('digital', 0.0165194723407334), ('patient experience', 0.0165194723407334)]",positive,"['care', 'patients', 'healthcare', 'patient', 'health', 'experience', 'help', 'tools', 'digital', 'patient experience ']"
7,6,23,6_safe_free az511_route download_escape route download,"[('safe', 0.019701529345130916), ('free az511', 0.016536028332593322), ('route download', 0.016536028332593322), ('escape route download', 0.016536028332593322), ('traffic conditions plan', 0.016536028332593322), ('safe us use', 0.016536028332593322), ('plan escape route', 0.016536028332593322), ('nationalleavetheofficeearlyday', 0.016536028332593322), ('secret safe us', 0.016536028332593322), ('secret safe', 0.016536028332593322)]",positive,"['safe', 'free az', 'route download', 'escape route download', 'traffic conditions plan', 'safe us use', 'plan escape route', 'nationalleavetheofficeearlyday', 'secret safe us', 'secret safe ']"
8,7,22,7_good_birthday_good morning_morning,"[('good', 0.07082788042391724), ('birthday', 0.05455964503819371), ('good morning', 0.04629977679176268), ('morning', 0.044700289590095095), ('hope celebrate birthday', 0.03948379225070624), ('celebrate birthday', 0.03948379225070624), ('health faithful', 0.03948379225070624), ('birthday joy', 0.03948379225070624), ('health faithful companions', 0.03948379225070624), ('companions move forward', 0.03948379225070624)]",positive,"['good', 'birthday', 'good morning', 'morning', 'hope celebrate birthday', 'celebrate birthday', 'health faithful', 'birthday joy', 'health faithful companions', 'companions move forward ']"
9,8,20,8_pediatricians_doctors_doctor_side,"[('pediatricians', 0.05465976113452211), ('doctors', 0.04103684127460205), ('doctor', 0.031185397668603558), ('side', 0.024135950046059375), ('new', 0.020066595168293462), ('children', 0.01926091974175635), ('healthcare', 0.018283725492967126), ('nurses', 0.017317479580975542), ('hospital', 0.0157911724313564), ('surgeons', 0.014518936289000752)]",positive,"['pediatricians', 'doctors', 'doctor', 'side', 'new', 'children', 'healthcare', 'nurses', 'hospital', 'surgeons ']"
10,9,20,9_love_god_pray_health,"[('love', 0.03740977485832864), ('god', 0.03393460170434914), ('pray', 0.032109433543418275), ('health', 0.02390480667766289), ('good', 0.020363015621876205), ('life', 0.01870488742916432), ('may', 0.01806795527419836), ('healing', 0.01725694878451614), ('blessings', 0.01725694878451614), ('thank', 0.01708260143762914)]",positive,"['love', 'god', 'pray', 'health', 'good', 'life', 'may', 'healing', 'blessings', 'thank ']"
11,10,18,10_benefits_know_hiring_education,"[('benefits', 0.044799492086010445), ('know', 0.03828227519670094), ('hiring', 0.03392227101201501), ('education', 0.02822798386436323), ('career', 0.027552403573004963), ('visit', 0.025846962772100527), ('course', 0.02501978335101369), ('places', 0.02501978335101369), ('get', 0.024012101812335096), ('jobs', 0.023276741468367942)]",positive,"['benefits', 'know', 'hiring', 'education', 'career', 'visit', 'course', 'places', 'get', 'jobs ']"
12,11,17,11_healthcare_healthcare reform_reform_healthcare reform healthcare,"[('healthcare', 0.21794200787616813), ('healthcare reform', 0.17027385408117066), ('reform', 0.16637293863869115), ('healthcare reform healthcare', 0.09663891319329039), ('reform healthcare', 0.09663891319329039), ('reform healthcare reform', 0.07606573032992929), ('decisions', 0.05071048688661952), ('problems healthcare', 0.02992646713285526), ('need prioritize', 0.02992646713285526), ('need prioritize reducing', 0.02992646713285526)]",positive,"['healthcare', 'healthcare reform', 'reform', 'healthcare reform healthcare', 'reform healthcare', 'reform healthcare reform', 'decisions', 'problems healthcare', 'need prioritize', 'need prioritize reducing ']"
13,12,16,12_foster_foster care_parents_mental health,"[('foster', 0.14489775437125202), ('foster care', 0.10429962837473462), ('parents', 0.1014238024893981), ('mental health', 0.06414986546171202), ('care', 0.06366615269427349), ('montanas foster care', 0.0633577131464821), ('montanas', 0.0633577131464821), ('parents legislators mental', 0.0633577131464821), ('ask montanas', 0.0633577131464821), ('system tochange', 0.0633577131464821)]",positive,"['foster', 'foster care', 'parents', 'mental health', 'care', 'montanas foster care', 'montanas', 'parents legislators mental', 'ask montanas', 'system tochange ']"
14,13,15,13_safe_veterans_safe flight_flight,"[('safe', 0.05784704360910779), ('veterans', 0.04248250796052693), ('safe flight', 0.02965930374013998), ('flight', 0.02965930374013998), ('tribute', 0.027877611017852758), ('hope', 0.02745004742090804), ('enjoy', 0.026548873187025184), ('guys', 0.026548873187025184), ('take care', 0.024218748559031843), ('take', 0.023732215750274052)]",positive,"['safe', 'veterans', 'safe flight', 'flight', 'tribute', 'hope', 'enjoy', 'guys', 'take care', 'take ']"
15,14,13,14_pride_lgbtq_people_pridemonth,"[('pride', 0.06493261379332571), ('lgbtq', 0.043856787278815215), ('people', 0.03818620356856222), ('pridemonth', 0.03022194635851662), ('inclusive', 0.023570466632509855), ('health', 0.019590280594377393), ('lgbtqia', 0.017587979732204162), ('queer', 0.017587979732204162), ('lgbtq communities', 0.017587979732204162), ('solidarity', 0.017587979732204162)]",positive,"['pride', 'lgbtq', 'people', 'pridemonth', 'inclusive', 'health', 'lgbtqia', 'queer', 'lgbtq communities', 'solidarity ']"
16,15,12,15_years covid19 persistent_covid19 persistent cell_viruses around billion_viruses around,"[('years covid19 persistent', 0.08788327952576551), ('covid19 persistent cell', 0.08788327952576551), ('viruses around billion', 0.08788327952576551), ('viruses around', 0.08788327952576551), ('persistent cell', 0.08788327952576551), ('around billion', 0.08788327952576551), ('around billion years', 0.08788327952576551), ('billion years', 0.08788327952576551), ('billion years covid19', 0.08788327952576551), ('cell', 0.08788327952576551)]",positive,"['years covid persistent', 'covid persistent cell', 'viruses around billion', 'viruses around', 'persistent cell', 'around billion', 'around billion years', 'billion years', 'billion years covid', 'cell ']"
17,16,12,16_pet_make sure_sure_dawg,"[('pet', 0.0475410814562058), ('make sure', 0.04214363152573649), ('sure', 0.03899365749344324), ('dawg', 0.033801898547829876), ('collection', 0.033801898547829876), ('seeing', 0.033801898547829876), ('pets', 0.033801898547829876), ('dawg seeing', 0.033801898547829876), ('aspca', 0.033801898547829876), ('make', 0.03363137158033237)]",positive,"['pet', 'make sure', 'sure', 'dawg', 'collection', 'seeing', 'pets', 'dawg seeing', 'aspca', 'make ']"
18,17,11,17_healthgoodfats_avocadosfrommexicosweepstakes healthgoodfats_avocadosfrommexicosweepstakes_avocadosfrommexico avocadosfrommexicosweepstakes healthgoodfats,"[('healthgoodfats', 0.14189487840097553), ('avocadosfrommexicosweepstakes healthgoodfats', 0.14189487840097553), ('avocadosfrommexicosweepstakes', 0.14189487840097553), ('avocadosfrommexico avocadosfrommexicosweepstakes healthgoodfats', 0.14189487840097553), ('avocadosfrommexico avocadosfrommexicosweepstakes', 0.14189487840097553), ('avocadosfrommexico', 0.14189487840097553), ('healthgoodfats avocadosfrommexico', 0.12738519478991053), ('healthgoodfats avocadosfrommexico avocadosfrommexicosweepstakes', 0.12738519478991053), ('avocadosfrommexicosweepstakes healthgoodfats avocadosfrommexico', 0.12738519478991053), ('58', 0.045069198063773165)]",positive,"['healthgoodfats', 'avocadosfrommexicosweepstakes healthgoodfats', 'avocadosfrommexicosweepstakes', 'avocadosfrommexico avocadosfrommexicosweepstakes healthgoodfats', 'avocadosfrommexico avocadosfrommexicosweepstakes', 'avocadosfrommexico', 'healthgoodfats avocadosfrommexico', 'healthgoodfats avocadosfrommexico avocadosfrommexicosweepstakes', 'avocadosfrommexicosweepstakes healthgoodfats avocadosfrommexico', ' ']"
19,18,11,18_medicines_better_future patients translating_translating science regenerative,"[('medicines', 0.07556571101174654), ('better', 0.07452546013378378), ('future patients translating', 0.05561221479684815), ('translating science regenerative', 0.05561221479684815), ('health better future', 0.05561221479684815), ('science regenerative', 0.05561221479684815), ('better future patients', 0.05561221479684815), ('better future', 0.05561221479684815), ('future patients', 0.05561221479684815), ('patients translating', 0.05561221479684815)]",positive,"['medicines', 'better', 'future patients translating', 'translating science regenerative', 'health better future', 'science regenerative', 'better future patients', 'better future', 'future patients', 'patients translating ']"
