Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,843,-1_health_good_amp_safe,"[('health', 0.025829416140281974), ('good', 0.009280709109965356), ('amp', 0.008883326151802217), ('safe', 0.008456314119779101), ('healthcare', 0.006887811051474318), ('love', 0.0066023631935274345), ('people', 0.006351278783937082), ('care', 0.006328350608980359), ('us', 0.005685182406192237), ('good health', 0.005393899213237816)]",positive,"['health', 'good', 'amp', 'safe', 'healthcare', 'love', 'people', 'care', 'us', 'good health ']"
1,0,2175,0_health_egypt_stay_safe,"[('health', 0.025845301261642695), ('egypt', 0.014769735688218145), ('stay', 0.013567573313164449), ('safe', 0.012076350431648801), ('good', 0.011359526896744085), ('good health', 0.008602842037798451), ('stay safe', 0.008502431005260892), ('mental', 0.008166964642553311), ('hospital', 0.00813173205132647), ('mental health', 0.008026414502393983)]",positive,"['health', 'egypt', 'stay', 'safe', 'good', 'good health', 'stay safe', 'mental', 'hospital', 'mental health ']"
2,1,49,1_covid19_region_mediterranean_eastern mediterranean,"[('covid19', 0.10944413751879602), ('region', 0.08552630398201207), ('mediterranean', 0.07893830808514336), ('eastern mediterranean', 0.07893830808514336), ('eastern', 0.07858342491544915), ('organization eastern mediterranean', 0.06877598959536267), ('daily update', 0.06877598959536267), ('health organization eastern', 0.06877598959536267), ('eastern mediterranean regional', 0.06877598959536267), ('regional office region', 0.06877598959536267)]",positive,"['covid', 'region', 'mediterranean', 'eastern mediterranean', 'eastern', 'organization eastern mediterranean', 'daily update', 'health organization eastern', 'eastern mediterranean regional', 'regional office region ']"
3,2,26,2_stay_egypt see_show egypt see_king ramses ii,"[('stay', 0.07597622018799864), ('egypt see', 0.07136631900408787), ('show egypt see', 0.07136631900408787), ('king ramses ii', 0.0698579573721507), ('king ramses', 0.0698579573721507), ('ramses', 0.0698579573721507), ('ramses ii', 0.0698579573721507), ('luxor', 0.06879927907270704), ('ii', 0.06830559172140713), ('amazing', 0.06606992009375359)]",positive,"['stay', 'egypt see', 'show egypt see', 'king ramses ii', 'king ramses', 'ramses', 'ramses ii', 'luxor', 'ii', 'amazing ']"
4,3,24,3_im green_food health amp_buraydah_diet buraydah,"[('im green', 0.19046993689498604), ('food health amp', 0.19046993689498604), ('buraydah', 0.19046993689498604), ('diet buraydah', 0.19046993689498604), ('diet buraydah al', 0.19046993689498604), ('amp diet buraydah', 0.19046993689498604), ('amp diet', 0.19046993689498604), ('al qassim', 0.19046993689498604), ('buraydah al qassim', 0.19046993689498604), ('buraydah al', 0.19046993689498604)]",positive,"['im green', 'food health amp', 'buraydah', 'diet buraydah', 'diet buraydah al', 'amp diet buraydah', 'amp diet', 'al qassim', 'buraydah al qassim', 'buraydah al ']"
5,4,24,4_egypt_stay_egypt see soon_nile,"[('egypt', 0.07725150425811421), ('stay', 0.060888434871612815), ('egypt see soon', 0.059783297148097506), ('nile', 0.059073159919688506), ('egypt see', 0.05719399380430818), ('show egypt see', 0.05719399380430818), ('everyone standing wonder', 0.05520141059928723), ('earth dream', 0.05520141059928723), ('place earth', 0.05520141059928723), ('place earth dream', 0.05520141059928723)]",positive,"['egypt', 'stay', 'egypt see soon', 'nile', 'egypt see', 'show egypt see', 'everyone standing wonder', 'earth dream', 'place earth', 'place earth dream ']"
6,5,23,5_stay_stay home_heritage_home,"[('stay', 0.1339734661693717), ('stay home', 0.10303039184128962), ('heritage', 0.10019983493534815), ('home', 0.09934293276401156), ('heritage day stay', 0.08712376731221355), ('heritage day', 0.08712376731221355), ('day stay home', 0.08712376731221355), ('world heritage day', 0.08712376731221355), ('world heritage', 0.08712376731221355), ('day stay', 0.08641884922309208)]",positive,"['stay', 'stay home', 'heritage', 'home', 'heritage day stay', 'heritage day', 'day stay home', 'world heritage day', 'world heritage', 'day stay ']"
7,6,21,6_smoking_tobacco_worldnotobaccoday_health,"[('smoking', 0.07831701105744598), ('tobacco', 0.05782733700817254), ('worldnotobaccoday', 0.040759638921769155), ('health', 0.037729687447074875), ('worldnotobaccoday2022', 0.02864548822042771), ('lung', 0.026613395668753464), ('sports', 0.02570103867029891), ('years', 0.022348758998406063), ('jeddahnationalhospital jeddah health', 0.022267734558714183), ('smoking like', 0.022267734558714183)]",positive,"['smoking', 'tobacco', 'worldnotobaccoday', 'health', 'worldnotobaccoday', 'lung', 'sports', 'years', 'jeddahnationalhospital jeddah health', 'smoking like ']"
8,7,16,7_adolescent_health conference_conference_health,"[('adolescent', 0.04209963883807121), ('health conference', 0.0413327577692744), ('conference', 0.0378657448068082), ('health', 0.03529168215626689), ('3rd regional', 0.03522584457276684), ('regional adolescent health', 0.03522584457276684), ('regional adolescent', 0.03522584457276684), ('3rd regional adolescent', 0.03522584457276684), ('adolescent health', 0.03522584457276684), ('adolescent health conference', 0.03522584457276684)]",positive,"['adolescent', 'health conference', 'conference', 'health', 'rd regional', 'regional adolescent health', 'regional adolescent', 'rd regional adolescent', 'adolescent health', 'adolescent health conference ']"
9,8,15,8_book anappointment online_department dentistry_daily shift 900_online consultation,"[('book anappointment online', 0.036376796459851105), ('department dentistry', 0.036376796459851105), ('daily shift 900', 0.036376796459851105), ('online consultation', 0.036376796459851105), ('online consultation via', 0.036376796459851105), ('shift 900 0100', 0.036376796459851105), ('consultation via link', 0.036376796459851105), ('consultation via', 0.036376796459851105), ('0100 midnight get', 0.036376796459851105), ('0100 midnight', 0.036376796459851105)]",positive,"['book anappointment online', 'department dentistry', 'daily shift', ' online consultation', 'online consultation via', 'shift', '', 'consultation via link', 'consultation via', ' midnight get', ' midnight ']"
10,9,14,9_fijinews_fijinews covid19 health_fijinews covid19_covid19 health,"[('fijinews', 0.1726278803733831), ('fijinews covid19 health', 0.14536049782191315), ('fijinews covid19', 0.14536049782191315), ('covid19 health', 0.14319748864303888), ('new covid', 0.08746142916183547), ('thursday fijinews', 0.08746142916183547), ('cases since thursday', 0.08746142916183547), ('cases since', 0.08746142916183547), ('booster dose', 0.08746142916183547), ('since thursday', 0.08746142916183547)]",positive,"['fijinews', 'fijinews covid health', 'fijinews covid', 'covid health', 'new covid', 'thursday fijinews', 'cases since thursday', 'cases since', 'booster dose', 'since thursday ']"
11,10,13,10_vitamin_blood_zinc_vitamin vitamin,"[('vitamin', 0.10655513243196768), ('blood', 0.07254441390270013), ('zinc', 0.05950744558271421), ('vitamin vitamin', 0.04528144914052475), ('risk', 0.0292274951521642), ('vitamin d3', 0.02897964036541881), ('d3', 0.02897964036541881), ('enzymes', 0.02897964036541881), ('vitamin vitamin vitamin', 0.02897964036541881), ('thinner', 0.02795982493855577)]",positive,"['vitamin', 'blood', 'zinc', 'vitamin vitamin', 'risk', 'vitamin d', 'd', 'enzymes', 'vitamin vitamin vitamin', 'thinner ']"
12,11,13,11_refugees_youth_health_refugees migrants,"[('refugees', 0.08014590416679732), ('youth', 0.03720874082405149), ('health', 0.03528407782914854), ('refugees migrants', 0.029935013124718333), ('migrants', 0.02888157740905761), ('refugee', 0.026832736841847588), ('mental health', 0.023606752092178107), ('today', 0.02345056397520229), ('mental', 0.023199929221354876), ('wellbeing', 0.022325244494430897)]",positive,"['refugees', 'youth', 'health', 'refugees migrants', 'migrants', 'refugee', 'mental health', 'today', 'mental', 'wellbeing ']"
13,12,13,12_remarks_provide necessary health_host friends provide_host friends,"[('remarks', 0.08486017524311204), ('provide necessary health', 0.08486017524311204), ('host friends provide', 0.08486017524311204), ('host friends', 0.08486017524311204), ('kind fair', 0.08486017524311204), ('ambassador kind fair', 0.08486017524311204), ('happy host friends', 0.08486017524311204), ('ambassador kind', 0.08486017524311204), ('friends provide necessary', 0.08486017524311204), ('care may require', 0.08486017524311204)]",positive,"['remarks', 'provide necessary health', 'host friends provide', 'host friends', 'kind fair', 'ambassador kind fair', 'happy host friends', 'ambassador kind', 'friends provide necessary', 'care may require ']"
